|6.6.6
Archiving\03_Data\eqfrac/QFM_m2.25/EETA/EETA_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         O(HP)          an             San(TH)        ilm            q              hed           
  1461.54        2500.00        99.9051       0.687373E-001  0.261824E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1460.38        2500.00        99.4038       0.237983       0.358198                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1459.23        2500.00        99.3762       0.197760       0.426070                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1458.07        2500.00        99.3802       0.197278       0.422536                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1456.91        2500.00        99.3827       0.421055       0.196245                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1455.76        2500.00        99.3867       0.418521       0.194751                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1454.60        2500.00        99.3905       0.412770       0.195904                 NaN  0.852213E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1453.44        2500.00        99.3935       0.413714       0.192737                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1452.29        2500.00        99.3794       0.422896       0.197665                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1451.13        2500.00        99.8888       0.766107E-001  0.345872E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1449.97        2500.00        98.9308       0.728317       0.340902                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1448.82        2500.00        99.4053       0.191361       0.402464                 NaN  0.837078E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1447.66        2500.00        99.3631       0.435118       0.201794                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1446.50        2500.00        99.4609       0.356980       0.179246                 NaN  0.284671E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1445.35        2500.00        99.4168       0.396940       0.186258                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1444.19        2500.00        99.4183       0.396159       0.185561                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1443.03        2500.00        99.3789       0.423403       0.197689                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1441.88        2500.00        99.4651       0.170575       0.364330                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1440.72        2500.00        99.4261       0.391428       0.182491                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1439.56        2500.00        99.4295       0.181972       0.388552                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1438.41        2500.00        99.9975       0.156404E-002            NaN            NaN  0.291994E-004  0.871545E-003            NaN            NaN            NaN            NaN            NaN
  1437.25        2500.00        98.8690       0.770658       0.360298                 NaN            NaN  0.965967E-006            NaN            NaN            NaN            NaN            NaN
  1436.09        2500.00        99.4367       0.381308       0.181358                 NaN  0.628371E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1434.93        2500.00        99.4397       0.177646       0.382652                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1433.78        2500.00        99.3877       0.195545       0.416774                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1432.62        2500.00        99.4994       0.340740       0.159753                 NaN  0.668367E-004            NaN            NaN            NaN            NaN            NaN            NaN
  1431.46        2500.00        99.4467       0.376514       0.176539                 NaN  0.202099E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1430.31        2500.00        99.4494       0.175845       0.374596                 NaN  0.169965E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1429.15        2500.00        99.4417       0.178184       0.379947                 NaN  0.175784E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1427.99        2500.00        99.4635       0.365145       0.171197                 NaN  0.140845E-003  0.228667E-005            NaN            NaN            NaN            NaN            NaN
  1426.84        2500.00        98.6188       0.550786       0.385996                 NaN  0.224351E-003            NaN  0.444243                 NaN            NaN            NaN            NaN
  1425.68        2500.00        98.6161       0.539227       0.387534                 NaN            NaN  0.747819E-002  0.449671                 NaN            NaN            NaN            NaN
  1424.52        2500.00        98.5786       0.261189       0.465941                 NaN            NaN  0.191700       0.502558                 NaN            NaN            NaN            NaN
  1423.37        2500.00        98.5981       0.461838       0.252301                 NaN            NaN  0.191631       0.496133                 NaN            NaN            NaN            NaN
  1422.21        2500.00        98.6158       0.457457       0.245374                 NaN            NaN  0.191176       0.490235                 NaN            NaN            NaN            NaN
  1421.05        2500.00        98.6344       0.453183       0.237885                 NaN            NaN  0.190485       0.484021                 NaN            NaN            NaN            NaN
  1419.90        2500.00        98.6514       0.449453       0.230854                 NaN            NaN  0.190015       0.478280                 NaN            NaN            NaN            NaN
  1418.74        2500.00        98.6686       0.445562       0.223837                 NaN            NaN  0.189504       0.472485                 NaN            NaN            NaN            NaN
  1417.58        2500.00        98.6853       0.442303       0.216494                 NaN            NaN  0.188957       0.466942                 NaN            NaN            NaN            NaN
  1416.43        2500.00        98.6953       0.438210       0.212194                 NaN            NaN  0.189764       0.464503                 NaN            NaN            NaN            NaN
  1415.27        2500.00        98.7250       0.433223       0.202045                 NaN            NaN  0.186958       0.452727                 NaN            NaN            NaN            NaN
  1414.11        2500.00        98.7357       0.198097       0.429800                 NaN            NaN  0.186752       0.449691                 NaN            NaN            NaN            NaN
  1412.96        2500.00        98.7501       0.427343       0.190768                 NaN            NaN  0.186849       0.444946                 NaN            NaN            NaN            NaN
  1411.80        2500.00        98.7658       0.185152       0.423028                 NaN            NaN  0.186338       0.439699                 NaN            NaN            NaN            NaN
  1410.64        2500.00        98.7802       0.420433       0.178767                 NaN            NaN  0.185864       0.434767                 NaN            NaN            NaN            NaN
  1409.49        2500.00        99.4031       0.853964E-001  0.206000                 NaN            NaN  0.920802E-001  0.213465                 NaN            NaN            NaN            NaN
  1408.33        2500.00        98.1968       0.255611       0.626033                 NaN            NaN  0.278815       0.642781                 NaN            NaN            NaN            NaN
  1407.17        2500.00        98.8240       0.161198       0.410351                 NaN            NaN  0.184586       0.419892                 NaN            NaN            NaN            NaN
  1406.02        2500.00        98.8403       0.406845       0.156281                 NaN            NaN  0.182697       0.413831                 NaN            NaN            NaN            NaN
  1404.86        2500.00        98.8514       0.404610       0.150223                 NaN            NaN  0.183209       0.410523                 NaN            NaN            NaN            NaN
  1403.70        2500.00        98.8642       0.401771       0.145197                 NaN            NaN  0.182681       0.406178                 NaN            NaN            NaN            NaN
  1402.55        2500.00        98.8778       0.398973       0.139683                 NaN            NaN  0.182119       0.401450                 NaN            NaN            NaN            NaN
  1401.39        2500.00        98.8889       0.134509       0.397133                 NaN            NaN  0.181889       0.397619                 NaN            NaN            NaN            NaN
  1400.23        2500.00        98.9034       0.130013       0.393257                 NaN            NaN  0.180750       0.392561                 NaN            NaN            NaN            NaN
  1399.08        2500.00        98.9130       0.124401       0.392053                 NaN            NaN  0.181012       0.389568                 NaN            NaN            NaN            NaN
  1397.92        2500.00        98.9281       0.387941       0.120141                 NaN            NaN  0.179556       0.384269                 NaN            NaN            NaN            NaN
  1396.76        2500.00        98.9416       0.114056       0.385602                 NaN            NaN  0.179263       0.379486                 NaN            NaN            NaN            NaN
  1395.61        2500.00        98.9515       0.110796       0.383061                 NaN            NaN  0.178671       0.375984                 NaN            NaN            NaN            NaN
  1394.45        2500.00        98.9619       0.381210       0.106139                 NaN            NaN  0.178280       0.372488                 NaN            NaN            NaN            NaN
  1393.29        2500.00        98.9744       0.101823       0.378310                 NaN            NaN  0.177444       0.367998                 NaN            NaN            NaN            NaN
  1392.14        2500.00        98.9841       0.376520       0.977387E-001            NaN            NaN  0.177053       0.364630                 NaN            NaN            NaN            NaN
  1390.98        2500.00        98.9955       0.934473E-001  0.374128                 NaN            NaN  0.176327       0.360591                 NaN            NaN            NaN            NaN
  1389.82        2500.00        99.0056       0.371773       0.899245E-001            NaN            NaN  0.175631       0.357037                 NaN            NaN            NaN            NaN
  1388.67        2500.00        99.0177       0.369189       0.850874E-001            NaN            NaN  0.175105       0.352895                 NaN            NaN            NaN            NaN
  1387.51        2500.00        99.0263       0.789630E-001  0.369228                 NaN            NaN  0.175305       0.350176                 NaN            NaN            NaN            NaN
  1386.35        2500.00        99.0393       0.786575E-001  0.364138                 NaN            NaN  0.172774       0.345117                 NaN            NaN            NaN            NaN
  1385.20        2500.00        99.0475       0.363430       0.738602E-001            NaN            NaN  0.172866       0.342308                 NaN            NaN            NaN            NaN
  1384.04        2500.00        99.0573       0.361194       0.705446E-001            NaN            NaN  0.172152       0.338825                 NaN            NaN            NaN            NaN
  1382.88        2500.00        99.0673       0.359582       0.662922E-001            NaN            NaN  0.171528       0.335312                 NaN            NaN            NaN            NaN
  1381.72        2500.00        99.0770       0.631032E-001  0.357373                 NaN            NaN  0.170696       0.331874                 NaN            NaN            NaN            NaN
  1380.57        2500.00        99.0860       0.355260       0.602186E-001            NaN            NaN  0.169914       0.328642                 NaN            NaN            NaN            NaN
  1379.41        2500.00        99.0949       0.353659       0.569584E-001            NaN            NaN  0.169097       0.325341                 NaN            NaN            NaN            NaN
  1378.25        2500.00        99.1045       0.351571       0.534770E-001            NaN            NaN  0.168443       0.322016                 NaN            NaN            NaN            NaN
  1377.10        2500.00        99.1133       0.349320       0.511447E-001            NaN            NaN  0.167476       0.318750                 NaN            NaN            NaN            NaN
  1375.94        2500.00        99.1219       0.479005E-001  0.347742                 NaN            NaN  0.166725       0.315685                 NaN            NaN            NaN            NaN
  1374.78        2500.00        99.1308       0.450823E-001  0.346100                 NaN            NaN  0.165650       0.312337                 NaN            NaN            NaN            NaN
  1373.63        2500.00        99.1388       0.344871       0.419838E-001            NaN            NaN  0.164906       0.309477                 NaN            NaN            NaN            NaN
  1372.47        2500.00        99.1458       0.342599       0.407869E-001            NaN            NaN  0.163829       0.306950                 NaN            NaN            NaN            NaN
  1371.31        2500.00        99.1571       0.340619       0.367000E-001            NaN            NaN  0.162839       0.302697                 NaN            NaN            NaN            NaN
  1370.16        2500.00        99.1636       0.339765       0.343005E-001            NaN            NaN  0.162014       0.300364                 NaN            NaN            NaN            NaN
  1369.00        2500.00        99.1716       0.337262       0.323936E-001            NaN            NaN  0.161140       0.297572                 NaN            NaN            NaN            NaN
  1367.84        2500.00        99.1792       0.336174       0.308912E-001            NaN            NaN  0.159490       0.294225                 NaN            NaN            NaN            NaN
  1366.69        2500.00        99.1870       0.333777       0.279128E-001            NaN            NaN  0.159415       0.291895                 NaN            NaN            NaN            NaN
  1365.53        2500.00        99.1948       0.265394E-001  0.332627                 NaN            NaN  0.157447       0.288578                 NaN            NaN            NaN            NaN
  1364.37        2500.00        99.2020       0.331446       0.240010E-001            NaN            NaN  0.156600       0.285957                 NaN            NaN            NaN            NaN
  1363.22        2500.00        99.2096       0.329747       0.218996E-001            NaN            NaN  0.155640       0.283163                 NaN            NaN            NaN            NaN
  1362.06        2500.00        99.2171       0.328071       0.199859E-001            NaN            NaN  0.154529       0.280341                 NaN            NaN            NaN            NaN
