|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m0.25/K22/K22_3.tab                   
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1589.74        500.000       0.155773E-003   99.9998                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.26        500.000                 NaN   99.2323       0.733266       0.343867E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1586.78        500.000                 NaN   99.1579       0.842111                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.31        500.000                 NaN   99.1676       0.818475       0.138784E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1583.83        500.000                 NaN   99.1725       0.827476                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.35        500.000                 NaN   99.1832       0.778699       0.381167E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1580.87        500.000                 NaN   99.1926       0.807302       0.135900E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1579.39        500.000                 NaN   99.1982       0.801822                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.92        500.000                 NaN   99.2031       0.782645       0.142651E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        500.000                 NaN   99.2164       0.757727       0.258449E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1574.96        500.000                 NaN   99.2167       0.754898       0.283850E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1573.48        500.000                 NaN   99.2388       0.737717       0.235263E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1572.00        500.000                 NaN   99.2408       0.735370       0.238467E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1570.53        500.000                 NaN   99.2447       0.732128       0.231577E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1569.05        500.000                 NaN   99.2531       0.725203       0.217183E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1567.57        500.000                 NaN   99.2596       0.718359       0.220746E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1566.09        500.000                 NaN   99.2677       0.712189       0.201074E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1564.61        500.000                 NaN   99.2723       0.707703       0.199727E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1563.14        500.000                 NaN   99.4054       0.547231       0.473695E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1561.66        500.000                 NaN   99.1578       0.839757       0.245455E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1560.18        500.000                 NaN   99.2936       0.706407       0.562050E-005            NaN            NaN            NaN            NaN            NaN            NaN
  1558.70        500.000                 NaN   99.2948       0.689595       0.155843E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1557.22        500.000                 NaN   99.3091       0.674144       0.167090E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1555.74        500.000                 NaN   99.2974       0.541877       0.160698                 NaN            NaN            NaN            NaN            NaN            NaN
