|6.6.6
Archiving\03_Data\fracLP/QFM_m0.75/Y98/Y98_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       pxmn           Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  2000.00        500.000        99.2218       0.769956       0.828819E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1997.49        500.000        99.2217       0.770012       0.828819E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1994.99        500.000        99.2216       0.770068       0.828820E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1992.48        500.000        99.2216       0.770124       0.828820E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1989.97        500.000        99.2215       0.770180       0.828820E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.47        500.000        99.2215       0.770236       0.828821E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1984.96        500.000        99.2214       0.770293       0.828822E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1982.46        500.000        99.2214       0.770349       0.828823E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1979.95        500.000        99.2213       0.770405       0.828824E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.44        500.000        99.2213       0.770461       0.828825E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.94        500.000        99.2212       0.770518       0.828826E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1972.43        500.000        99.2211       0.770574       0.828827E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1969.92        500.000        99.2211       0.770630       0.828828E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.42        500.000        99.2210       0.770687       0.828830E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.91        500.000        99.2210       0.770743       0.828831E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1962.41        500.000        99.2209       0.770799       0.828833E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1959.90        500.000        99.2209       0.770856       0.828834E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1957.39        500.000        99.2208       0.770912       0.828836E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1954.89        500.000        99.2207       0.770968       0.828838E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1952.38        500.000        99.2207       0.771025       0.828840E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1949.87        500.000        99.2206       0.771081       0.828842E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1947.37        500.000        99.2206       0.771138       0.828844E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1944.86        500.000        99.2205       0.771194       0.828846E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.36        500.000        99.2205       0.771251       0.828848E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.85        500.000        99.2204       0.771307       0.828851E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1937.34        500.000        99.2203       0.771364       0.828853E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        500.000        99.2203       0.771420       0.828856E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        500.000        99.2202       0.771477       0.828859E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        500.000        99.2202       0.771533       0.828861E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        500.000        99.2201       0.771590       0.828864E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        500.000        99.2201       0.771647       0.828867E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        500.000        99.2200       0.771703       0.828870E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        500.000        99.2200       0.771760       0.828873E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        500.000        99.2199       0.771816       0.828876E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        500.000        99.2198       0.771873       0.828880E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        500.000        99.2198       0.771930       0.828883E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        500.000        99.2197       0.771986       0.828887E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        500.000        99.2197       0.772043       0.828890E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        500.000        99.2196       0.772100       0.828894E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        500.000        99.2196       0.772149       0.828890E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        500.000        99.2195       0.772213       0.828901E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        500.000        99.2194       0.772270       0.828905E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        500.000        99.2194       0.772326       0.828909E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        500.000        99.2193       0.772383       0.828913E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        500.000        99.2193       0.772440       0.828917E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        500.000        99.2192       0.772497       0.828921E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        500.000        99.2192       0.772553       0.828926E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        500.000        99.2191       0.772610       0.828930E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        500.000        99.2190       0.772667       0.828935E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        500.000        99.2190       0.772722       0.828938E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        500.000        99.2189       0.772781       0.828944E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        500.000        99.2189       0.772838       0.828949E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        500.000        99.2188       0.772894       0.828953E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        500.000        99.2188       0.772951       0.828958E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        500.000        99.2187       0.773008       0.828963E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        500.000        99.2186       0.773065       0.828968E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        500.000        99.2186       0.773122       0.828973E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        500.000        99.2185       0.773179       0.828979E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        500.000        99.2185       0.773236       0.828984E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        500.000        99.2184       0.773293       0.828989E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        500.000        99.2184       0.773350       0.828995E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        500.000        99.2183       0.773406       0.829000E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        500.000        99.2182       0.773463       0.829005E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        500.000        99.2182       0.773520       0.829011E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        500.000        99.2181       0.773577       0.829017E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        500.000        99.2181       0.773634       0.829023E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        500.000        99.2180       0.773691       0.829029E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        500.000        99.2180       0.773748       0.829034E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        500.000        99.2179       0.773805       0.829040E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        500.000        99.2178       0.773862       0.829047E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
