|6.6.6
Archiving\03_Data\eq/QFM_m2.25/Y98/Y98_3.tab                              
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       pxmn           Ni             Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an            
  2000.00        2500.00        99.2151       0.776514       0.837083E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.2150       0.776585       0.837081E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.2150       0.776656       0.837080E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.2149       0.776726       0.837079E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        99.2148       0.776797       0.837078E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        99.2148       0.776868       0.837077E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        99.2147       0.776939       0.837077E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        99.2146       0.777011       0.837076E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        99.2145       0.777082       0.837076E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        99.2145       0.777153       0.837076E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        99.2144       0.777224       0.837077E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        99.2143       0.777295       0.837077E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        99.2143       0.777367       0.837078E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        99.2142       0.777438       0.837078E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        99.2141       0.777510       0.837079E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        99.2140       0.777581       0.837080E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        99.2140       0.777653       0.837082E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        99.2139       0.777725       0.837083E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        99.2138       0.777796       0.837085E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        99.2138       0.777868       0.837087E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        99.2137       0.777940       0.837089E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        99.2136       0.778012       0.837091E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        99.2135       0.778084       0.837094E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        99.2135       0.778156       0.837096E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        99.2134       0.778228       0.837099E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        99.2133       0.778300       0.837102E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        99.2133       0.778372       0.837105E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        99.2132       0.778444       0.837108E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        99.2131       0.778516       0.837112E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        99.2130       0.778588       0.837115E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        99.2130       0.778661       0.837119E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        99.2129       0.778733       0.837123E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        99.2128       0.778806       0.837127E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        99.2128       0.778878       0.837131E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        99.2127       0.778951       0.837136E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        99.2126       0.779023       0.837141E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        99.2125       0.779096       0.837145E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        99.2125       0.779168       0.837150E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        99.2124       0.779241       0.837156E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        99.2123       0.779314       0.837161E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        99.2122       0.779387       0.837167E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        99.2122       0.779460       0.837172E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        99.2121       0.779533       0.837178E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        99.2120       0.779606       0.837184E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        99.2119       0.779679       0.837190E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        99.2119       0.779752       0.837196E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        99.2118       0.779825       0.837203E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        99.2117       0.779898       0.837210E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        99.2117       0.779971       0.837217E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        99.2116       0.780045       0.837223E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        2500.00        99.2115       0.780118       0.837231E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        2500.00        99.2114       0.780191       0.837238E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        2500.00        99.2114       0.780265       0.837245E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        2500.00        99.2113       0.780338       0.837253E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        2500.00        99.2112       0.780412       0.837261E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        2500.00        99.2111       0.780485       0.837269E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        2500.00        99.2111       0.780559       0.837277E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        2500.00        99.2110       0.780633       0.837285E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        2500.00        99.2109       0.780706       0.837294E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        2500.00        99.2108       0.780780       0.837302E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        2500.00        99.2108       0.780854       0.837311E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        2500.00        99.2107       0.780928       0.837320E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        2500.00        99.2106       0.781002       0.837329E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        2500.00        99.2106       0.781076       0.837338E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        2500.00        99.2105       0.781150       0.837347E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        2500.00        99.2104       0.781223       0.837357E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1788.46        2500.00        99.2103       0.781297       0.837366E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1785.26        2500.00        99.2103       0.781372       0.837376E-002            NaN            NaN            NaN            NaN            NaN            NaN
