|6.6.6
Archiving\03_Data\eqfracLP/QFM_m5/KHA22/KHA22_1.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             iron           San(TH)        q              ilm           
  1554.49        500.000       0.176145E-001   99.5551       0.242540       0.184743                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.10        500.000                 NaN   99.4346       0.565375                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.71        500.000                 NaN   99.3891       0.610528       0.420182E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.32        500.000                 NaN   98.9273        1.04218       0.304992E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.93        500.000                 NaN   99.8512       0.148809                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.54        500.000                 NaN   99.4124       0.587627                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.15        500.000                 NaN   99.4075       0.592467                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.76        500.000                 NaN   99.4126       0.587422                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.37        500.000                 NaN   99.4110       0.589039                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.98        500.000                 NaN   99.4491       0.550947                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.59        500.000                 NaN   99.4032       0.596816                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.20        500.000                 NaN   99.4296       0.570351       0.177147E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.81        500.000                 NaN   99.4066       0.593394                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.42        500.000                 NaN   99.8238       0.176196                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.03        500.000                 NaN   99.0860       0.874203       0.397760E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.64        500.000                 NaN   99.4472       0.542574       0.101927E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.25        500.000                 NaN   99.4557       0.542111       0.215671E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.87        500.000                 NaN   99.4602       0.539839                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.48        500.000                 NaN   99.4623       0.537658                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.09        500.000                 NaN   99.4649       0.535141                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.70        500.000                 NaN   99.4701       0.529886                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.31        500.000                 NaN   99.4820       0.408895       0.109122                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.92        500.000                 NaN   99.4744       0.525606                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.53        500.000                 NaN   99.4818       0.517920       0.275217E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.14        500.000                 NaN   99.4316       0.568009       0.397976E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.75        500.000                 NaN   99.7911       0.208932                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
