|6.6.6
Archiving\03_Data\eqfracLP/QFM_m5/KHA22/KHA22_3.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             iron           San(TH)        q              ilm           
  1554.49        500.000       0.110720E-001   99.6278       0.206882       0.154200                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.10        500.000                 NaN   99.5173       0.482660                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.71        500.000                 NaN   99.4786       0.521056       0.350870E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.32        500.000                 NaN   99.0846       0.889951       0.254889E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.93        500.000                 NaN   99.8732       0.126841                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.54        500.000                 NaN   99.4989       0.501087                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.15        500.000                 NaN   99.4949       0.505071                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.76        500.000                 NaN   99.4994       0.500633                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.37        500.000                 NaN   99.4981       0.501884                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.98        500.000                 NaN   99.5308       0.469228                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.59        500.000                 NaN   99.4917       0.508318                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.20        500.000                 NaN   99.5145       0.485529       0.147435E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.81        500.000                 NaN   99.4951       0.504945                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.42        500.000                 NaN   99.8502       0.149836                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.03        500.000                 NaN   99.2227       0.744214       0.330777E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.64        500.000                 NaN   99.5302       0.461328       0.846943E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.25        500.000                 NaN   99.5376       0.460605       0.179182E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.87        500.000                 NaN   99.5413       0.458650                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.48        500.000                 NaN   99.5433       0.456717                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.09        500.000                 NaN   99.5456       0.454406                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.70        500.000                 NaN   99.5502       0.449827                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.31        500.000                 NaN   99.5624       0.347092       0.904648E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.92        500.000                 NaN   99.5541       0.445941                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.53        500.000                 NaN   99.5604       0.439352       0.227957E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.14        500.000                 NaN   99.5181       0.481581       0.329160E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.75        500.000                 NaN   99.8229       0.177057                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.36        500.000                 NaN   99.3562       0.643786                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
