|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m3/K22/K22_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1596.15        500.000        99.4914                 NaN  0.508555                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1594.66        500.000        99.0036                 NaN  0.891370       0.105016                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.16        500.000        99.0775                 NaN  0.922474       0.159332E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.67        500.000        98.1950                 NaN   1.80500                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.17        500.000        99.9021                 NaN  0.979334E-001  0.183028E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.68        500.000        99.0934                 NaN  0.900563       0.607671E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.19        500.000        99.0854                 NaN  0.890490       0.240887E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.69        500.000        99.0914                 NaN  0.884105       0.245020E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.20        500.000        99.0925                 NaN  0.904433       0.310714E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.70        500.000        99.1179                 NaN  0.882124                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.21        500.000        99.1167                 NaN  0.869999       0.132735E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.71        500.000        99.1251                 NaN  0.858896       0.160284E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.22        500.000        99.1403                 NaN  0.851884       0.779763E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.73        500.000        99.6065                 NaN  0.391994       0.148216E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.23        500.000        98.6936                 NaN   1.27696       0.293944E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.74        500.000        99.1608                 NaN  0.821111       0.180915E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.24        500.000        99.1687                 NaN  0.814508       0.167607E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.75        500.000        99.1761                 NaN  0.808028       0.158422E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.26        500.000        99.1851                 NaN  0.798314       0.165462E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.76        500.000        99.1928                 NaN  0.790758       0.164573E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.27        500.000        99.1996                 NaN  0.787504       0.129151E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.77        500.000        99.2062                 NaN  0.781762       0.120337E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.28        500.000        99.2117                 NaN  0.776764       0.115205E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.79        500.000        99.2212                 NaN  0.768171       0.106159E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.29        500.000        99.2277                 NaN  0.761989       0.103130E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
