|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m3/K22/K22_3.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1596.15        500.000        99.5554                 NaN  0.444571                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1594.66        500.000        99.1311                 NaN  0.779120       0.898009E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.16        500.000        99.1937                 NaN  0.806262       0.136208E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.67        500.000        98.4211                 NaN   1.57894                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.17        500.000        99.9145                 NaN  0.854964E-001  0.156256E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.68        500.000        99.2080                 NaN  0.786767       0.519357E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.19        500.000        99.2018                 NaN  0.777659       0.205836E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.69        500.000        99.2071                 NaN  0.771975       0.209278E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.20        500.000        99.2078                 NaN  0.789596       0.265248E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.70        500.000        99.2302                 NaN  0.769825                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.21        500.000        99.2297                 NaN  0.758989       0.113221E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.71        500.000        99.2372                 NaN  0.749084       0.136678E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.22        500.000        99.2506                 NaN  0.742794       0.664669E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.73        500.000        99.6573                 NaN  0.341404       0.126192E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.23        500.000        98.8614                 NaN   1.11355       0.250551E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.74        500.000        99.2692                 NaN  0.715368       0.154065E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.24        500.000        99.2763                 NaN  0.709411       0.142648E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.75        500.000        99.2828                 NaN  0.703671       0.134804E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.26        500.000        99.2911                 NaN  0.694865       0.140719E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.76        500.000        99.2979                 NaN  0.688139       0.139919E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.27        500.000        99.3038                 NaN  0.685227       0.109773E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.77        500.000        99.3097                 NaN  0.680044       0.102237E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.28        500.000        99.3147                 NaN  0.675501       0.978375E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.79        500.000        99.3231                 NaN  0.667897       0.901315E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.29        500.000        99.3289                 NaN  0.662299       0.875083E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.80        500.000        99.3293                 NaN  0.663141       0.754807E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.30        500.000        99.3440                 NaN  0.649168       0.680663E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.81        500.000        99.3458                 NaN  0.647550       0.664973E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.31        500.000        99.2723                 NaN  0.720385       0.733098E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.82        500.000        99.4405                 NaN  0.545099       0.143791E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.33        500.000        99.3642                 NaN  0.627185       0.864837E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.83        500.000        98.6537                 NaN   1.33630       0.100032E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.34        500.000        99.9893                 NaN            NaN  0.107335E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.84        500.000        99.5048                 NaN  0.464130       0.310248E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.35        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
