|6.6.6
Archiving\03_Data\eqLP/QFM_m3.5/ALH/ALH_3.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       mang           O(HP)          pxmn           Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        500.000        99.7280       0.271984                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        99.7280       0.272006                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        99.7280       0.272028                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        99.7279       0.272050                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        99.7279       0.272072                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        99.7279       0.272094                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        99.7279       0.272117                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        99.7279       0.272139                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        99.7278       0.272161                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        99.7278       0.272184                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        99.7278       0.272206                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        99.7278       0.272228                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        99.7277       0.272251                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        99.7277       0.272273                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        99.7277       0.272296                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        99.7277       0.272318                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        99.7277       0.272341                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        99.7276       0.272363                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        99.7276       0.272386                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000        99.7276       0.272409                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000        99.7276       0.272431                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000        99.7275       0.272454                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000        99.7275       0.272477                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000        99.7275       0.272500                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        500.000        99.7275       0.272523                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000        99.7275       0.272545                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        500.000        99.7274       0.272568                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        500.000        99.7274       0.272591                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        500.000        99.7274       0.272614                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        500.000        99.7274       0.272637                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        500.000        99.7273       0.272660                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        500.000        99.7273       0.272683                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        500.000        99.7273       0.272706                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        500.000        99.7273       0.272730                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        500.000        99.7272       0.272753                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        500.000        99.3598       0.272841       0.367408                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        500.000        98.5714       0.273004        1.15564                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        500.000        97.8043       0.273164        1.92250                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        500.000        97.0364       0.273323        2.69031                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        500.000        96.2675       0.273482        3.45905                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        500.000        95.4976       0.273640        4.22872                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        500.000        94.7565       0.273795        4.96969                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        500.000        94.0145       0.273949        5.71153                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        500.000        93.2717       0.274102        6.45423                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        500.000        92.5279       0.274255        7.19780                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        500.000        91.8121       0.274404        7.91352                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        500.000        91.0954       0.274551        8.63004                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        500.000        90.3844       0.274698        9.34089                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        500.000        89.6755       0.272851        10.0465       0.514707E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        500.000        87.8151       0.103548        11.6380       0.443313                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
