|6.6.6
Archiving\03_Data\Deqfrac/QFM_m2.75/T13/T13_1.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1631.41        2500.00       0.199632E-003   99.2163                 NaN  0.729474       0.540446E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.83        2500.00       0.974723E-002   99.6887                 NaN  0.237320       0.642304E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1628.25        2500.00                 NaN   97.3987                 NaN   2.27226       0.329060                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.66        2500.00                 NaN   99.7905                 NaN  0.179568       0.299679E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1625.08        2500.00                 NaN   98.9227                 NaN  0.940513       0.136778                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1623.50        2500.00                 NaN   99.0229                 NaN  0.847541       0.129567                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.92        2500.00                 NaN   98.9888                 NaN  0.881023       0.130227                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1620.33        2500.00                 NaN   98.9927                 NaN  0.877531       0.129764                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1618.75        2500.00                 NaN   99.0194                 NaN  0.853551       0.127008                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1617.17        2500.00                 NaN   99.0180                 NaN  0.857609       0.124394                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1615.59        2500.00                 NaN   99.0343                 NaN  0.842217       0.123479                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.00        2500.00                 NaN   99.0411                 NaN  0.836635       0.122261                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1612.42        2500.00                 NaN   98.9812                 NaN  0.893622       0.125212                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.84        2500.00                 NaN   99.7947                 NaN  0.179768       0.255823E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.26        2500.00                 NaN   98.4065                 NaN   1.39367       0.199864                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.67        2500.00                 NaN   99.0798                 NaN  0.804776       0.115398                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.09        2500.00                 NaN   99.0050                 NaN  0.872585       0.122387                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
