|6.6.6
Archiving\03_Data\Deqfrac/QFM_m2.75/T13/T13_3.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1631.41        2500.00       0.130121E-003   99.3000                 NaN  0.652888       0.469389E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.83        2500.00       0.635609E-002   99.7255                 NaN  0.212354       0.557551E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1628.25        2500.00                 NaN   97.6772                 NaN   2.03675       0.286018                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.66        2500.00                 NaN   99.8135                 NaN  0.160517       0.259836E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1625.08        2500.00                 NaN   99.0404                 NaN  0.841113       0.118506                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1623.50        2500.00                 NaN   99.1299                 NaN  0.757735       0.112328                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.92        2500.00                 NaN   99.0996                 NaN  0.787509       0.112841                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1620.33        2500.00                 NaN   99.1036                 NaN  0.784045       0.112370                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1618.75        2500.00                 NaN   99.1275                 NaN  0.762518       0.109956                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1617.17        2500.00                 NaN   99.1264                 NaN  0.765928       0.107653                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1615.59        2500.00                 NaN   99.1412                 NaN  0.752020       0.106817                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.00        2500.00                 NaN   99.1475                 NaN  0.746789       0.105695                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1612.42        2500.00                 NaN   99.0942                 NaN  0.797595       0.108217                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.84        2500.00                 NaN   99.8176                 NaN  0.160297       0.220844E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.26        2500.00                 NaN   98.5833                 NaN   1.24399       0.172708                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.67        2500.00                 NaN   99.1829                 NaN  0.717522       0.996023E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.09        2500.00                 NaN   99.1167                 NaN  0.777750       0.105548                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.51        2500.00                 NaN   99.2712                 NaN  0.640494       0.883466E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1602.93        2500.00                 NaN   99.2080                 NaN  0.696760       0.952364E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.34        2500.00                 NaN   99.2150                 NaN  0.691038       0.939959E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.76        2500.00                 NaN   99.2223                 NaN  0.685131       0.925972E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.18        2500.00                 NaN   99.2313                 NaN  0.677906       0.908165E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.60        2500.00                 NaN   99.2374                 NaN  0.672657       0.899827E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.01        2500.00                 NaN   99.2461                 NaN  0.664827       0.890367E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.43        2500.00                 NaN   99.2534                 NaN  0.658615       0.879449E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.85        2500.00                 NaN   99.2609                 NaN  0.652723       0.864198E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.27        2500.00                 NaN   99.2676                 NaN  0.647077       0.853256E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.68        2500.00                 NaN   99.2739                 NaN  0.642424       0.836344E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.10        2500.00                 NaN   99.2810                 NaN  0.636154       0.828380E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.52        2500.00                 NaN   99.7030                 NaN  0.266079       0.309664E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.94        2500.00                 NaN   98.8771                 NaN  0.993645       0.129279                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.35        2500.00                 NaN   99.2991                 NaN  0.622773       0.781174E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.77        2500.00                 NaN   99.3085                 NaN  0.613413       0.780701E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.19        2500.00                 NaN   99.3099                 NaN  0.613200       0.769086E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.61        2500.00                 NaN   99.3239                 NaN  0.599885       0.762587E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.02        2500.00                 NaN   99.3255                 NaN  0.599991       0.745424E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.44        2500.00                 NaN   99.1326                 NaN  0.820222       0.471551E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.86        2500.00                 NaN   99.5009                 NaN  0.415964       0.831477E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.28        2500.00                 NaN   99.3633                 NaN  0.564167       0.725137E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.69        2500.00                 NaN   99.3484                 NaN  0.581591       0.699683E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.11        2500.00                 NaN   99.3550                 NaN  0.575939       0.690371E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.53        2500.00                 NaN   99.3602                 NaN  0.570368       0.694141E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.95        2500.00                 NaN   99.3649                 NaN  0.567052       0.680057E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.36        2500.00                 NaN   99.3733                 NaN  0.560438       0.663072E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.78        2500.00                 NaN   99.3755                 NaN  0.551861       0.725982E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.20        2500.00                 NaN   99.3808                 NaN  0.562703       0.564744E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.62        2500.00                 NaN   99.3850                 NaN  0.551717       0.632392E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.03        2500.00                 NaN   99.3919                 NaN  0.546823       0.613266E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.45        2500.00                 NaN   99.3971                 NaN  0.541122       0.617488E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.87        2500.00                 NaN   99.4008                 NaN  0.539263       0.599664E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.29        2500.00                 NaN   99.4052                 NaN  0.536159       0.586432E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.70        2500.00                 NaN   99.4063                 NaN  0.536392       0.573171E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.12        2500.00                 NaN   99.4173                 NaN  0.525757       0.569718E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.54        2500.00                 NaN   99.5231                 NaN  0.431596       0.452787E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.96        2500.00                 NaN   99.3189                 NaN  0.615848       0.652842E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.37        2500.00                 NaN   99.4280                 NaN  0.517928       0.540951E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.79        2500.00                 NaN   99.4324                 NaN  0.514108       0.534880E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.21        2500.00                 NaN   99.4348                 NaN  0.513709       0.515259E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.63        2500.00                 NaN   99.4405                 NaN  0.509101       0.504449E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.04        2500.00                 NaN   99.4447                 NaN  0.503491       0.517641E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.46        2500.00                 NaN   99.4469                 NaN  0.505562       0.474955E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.88        2500.00                 NaN   99.4533                 NaN  0.497368       0.493544E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.30        2500.00                 NaN   99.4565                 NaN  0.494719       0.487485E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.71        2500.00                 NaN   99.4588                 NaN  0.494960       0.462724E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.13        2500.00                 NaN   99.4624                 NaN  0.492902       0.446812E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.55        2500.00                 NaN   99.4672                 NaN  0.488359       0.444241E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.97        2500.00                 NaN   99.4678                 NaN  0.489108       0.430462E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.38        2500.00                 NaN   99.4754                 NaN  0.480719       0.439164E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.80        2500.00                 NaN   99.4783                 NaN  0.479871       0.418590E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.22        2500.00                 NaN   99.6078                 NaN  0.347046       0.451153E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.64        2500.00                 NaN   99.3563                 NaN  0.603380       0.403547E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
