|6.6.6
Archiving\03_Data\eq/QFM_m1/EETA/EETA_3.tab                               
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       pxmn           Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)       
  2000.00        2500.00        99.2123       0.776492       0.111608E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.2123       0.776559       0.111607E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.2122       0.776627       0.111607E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.2121       0.776695       0.111606E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        99.2121       0.776763       0.111605E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        99.2120       0.776831       0.111605E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        99.2119       0.776899       0.111604E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        99.2119       0.776967       0.111604E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        99.2118       0.777035       0.111603E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        99.2117       0.777103       0.111603E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        99.2117       0.777171       0.111603E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        99.2116       0.777239       0.111602E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        99.2115       0.777307       0.111602E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        99.2115       0.777375       0.111601E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        99.2114       0.777443       0.111601E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        99.2113       0.777512       0.111601E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        99.2113       0.777580       0.111600E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        99.2112       0.777648       0.111600E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        99.2111       0.777717       0.111600E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        99.2111       0.777785       0.111600E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        99.2110       0.777853       0.111599E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        99.2109       0.777922       0.111599E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        99.2108       0.777990       0.111599E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        99.2108       0.778059       0.111599E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        99.2107       0.778127       0.111599E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        99.2106       0.778196       0.111599E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        99.2106       0.778264       0.111599E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        99.2105       0.778333       0.111598E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        99.2104       0.778401       0.111598E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        99.2104       0.778470       0.111598E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        99.2103       0.778539       0.111598E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        99.2102       0.778608       0.111598E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        99.2102       0.778676       0.111598E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        99.2101       0.778745       0.111598E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        99.2100       0.778814       0.111599E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        99.2100       0.778882       0.111599E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        99.2099       0.778951       0.111599E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        99.2098       0.779020       0.111599E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        99.2098       0.779089       0.111599E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        99.2097       0.779158       0.111599E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        99.2096       0.779227       0.111599E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        99.2095       0.779296       0.111599E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        99.2095       0.779365       0.111600E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        99.2094       0.779433       0.111600E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        99.2093       0.779502       0.111600E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        99.2093       0.779571       0.111600E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        99.2092       0.779640       0.111601E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        99.2091       0.779710       0.111601E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        99.2091       0.779779       0.111601E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        99.2090       0.779848       0.111602E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        2500.00        99.2089       0.779917       0.111602E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        2500.00        99.2089       0.779986       0.111602E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        2500.00        99.2088       0.780055       0.111603E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        2500.00        99.2087       0.780124       0.111603E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        2500.00        99.2086       0.780193       0.111604E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        2500.00        99.2086       0.780263       0.111604E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        2500.00        99.2085       0.780332       0.111604E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        2500.00        99.2084       0.780401       0.111605E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        2500.00        99.2084       0.780470       0.111605E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        2500.00        99.2083       0.780539       0.111606E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        2500.00        99.2082       0.780608       0.111606E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        2500.00        99.2082       0.780678       0.111607E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        2500.00        99.2081       0.780747       0.111607E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        2500.00        99.2080       0.780816       0.111608E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
