|6.6.6
Archiving\03_Data\eqLP/QFM_m4.75/WD94/WD94_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       mang           iron           pxmn           O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        500.000        96.3365       0.464741        3.19877                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        96.3018       0.464787        3.23339                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        96.2672       0.464832        3.26801                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        96.2325       0.464878        3.30263                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        96.1978       0.464924        3.33726                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        96.1631       0.464970        3.37190                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        96.1284       0.465016        3.40655                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        96.0937       0.465061        3.44120                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        96.0590       0.465107        3.47586                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        96.0192       0.460696        3.51190       0.823481E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        95.9338       0.419907        3.56256       0.836976E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        95.8367       0.369464        3.61680       0.176998                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        95.7396       0.319006        3.67106       0.270327                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        95.6445       0.269602        3.72420       0.361707                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        95.5494       0.220182        3.77735       0.453114                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        95.4542       0.170748        3.83052       0.544550                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        95.3590       0.121299        3.88370       0.636012                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        95.2656       0.727891E-001   3.93583       0.725737                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        95.1723       0.242651E-001   3.98797       0.815489                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000        95.1094                 NaN   4.03021       0.860410                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000        95.0768                 NaN   4.06276       0.860489                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000        95.0444                 NaN   4.09506       0.860568                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000        95.0120                 NaN   4.12738       0.860647                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000        94.9796                 NaN   4.15969       0.860726                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        500.000        94.9472                 NaN   4.19202       0.860805                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000        94.9154                 NaN   4.22374       0.860882                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        500.000        94.8836                 NaN   4.25548       0.860960                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        500.000        94.8517                 NaN   4.28721       0.861037                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        500.000        94.8199                 NaN   4.31896       0.861115                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        500.000        94.7881                 NaN   4.35071       0.861192                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        500.000        94.7563                 NaN   4.38246       0.861270                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        500.000        94.7244                 NaN   4.41422       0.861347                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        500.000        94.6926                 NaN   4.44599       0.861425                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        500.000        94.6612                 NaN   4.47725       0.861501                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        500.000        94.6299                 NaN   4.50852       0.861578                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        500.000        94.5987                 NaN   4.53964       0.861653                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        500.000        94.1151                 NaN   4.54889       0.861677       0.474281                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        500.000        93.4239                 NaN   4.54442       0.861666        1.17004                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        500.000        92.7326                 NaN   4.53994       0.861656        1.86579                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        500.000        92.0414                 NaN   4.53546       0.861646        2.56151                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        500.000        91.3502                 NaN   4.53098       0.861636        3.25723                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        500.000        90.6955                 NaN   4.51909       0.861608        3.92376                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        500.000        90.0410                 NaN   4.50719       0.861580        4.59026                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        500.000        89.3864                 NaN   4.49529       0.861551        5.25671                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        500.000        88.7320                 NaN   4.48340       0.861523        5.92311                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        500.000        88.0775                 NaN   4.47150       0.861495        6.58948                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        500.000        87.4231                 NaN   4.45961       0.861467        7.25580                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        500.000        86.7688                 NaN   4.44771       0.861438        7.92207                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        500.000        86.1145                 NaN   4.43582       0.861410        8.58830                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        500.000        85.4885                 NaN   4.41655       0.861364        9.23362                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        500.000        84.8625                 NaN   4.39727       0.861318        9.87887                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        500.000        84.2367                 NaN   4.37800       0.861271        10.5240                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        500.000        83.6109                 NaN   4.35873       0.861225        11.1692                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        500.000        82.9940                 NaN   4.33514       0.861168        11.8097                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        500.000        82.3772                 NaN   4.31155       0.861112        12.4501                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        500.000        81.7602                 NaN   4.28434       0.861046        13.0944                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
