|6.6.6
Archiving\03_Data\eqLP/QFM_m4.75/WD94/WD94_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       mang           iron           pxmn           O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        500.000        98.4332       0.275362        1.29147                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        98.4190       0.275417        1.30557                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        98.4049       0.275473        1.31967                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        98.3907       0.275528        1.33378                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        98.3765       0.275584        1.34790                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        98.3623       0.275639        1.36202                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        98.3482       0.275695        1.37615                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        98.3340       0.275750        1.39028                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        98.3198       0.275806        1.40442                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        98.3008       0.273220        1.41913       0.681407E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        98.2418       0.249070        1.43982       0.692722E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        98.1723       0.219189        1.46200       0.146525                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        98.1027       0.189287        1.48418       0.223838                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        98.0345       0.160000        1.50592       0.299570                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        97.9663       0.130694        1.52767       0.375359                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        97.8980       0.101369        1.54943       0.451206                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        97.8297       0.720248E-001   1.57121       0.527109                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        97.7626       0.432282E-001   1.59256       0.601604                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        97.6955       0.144131E-001   1.61392       0.676155                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000        97.6552                 NaN   1.63123       0.713533                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000        97.6417                 NaN   1.64456       0.713706                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000        97.6283                 NaN   1.65779       0.713878                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000        97.6149                 NaN   1.67103       0.714050                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000        97.6015                 NaN   1.68427       0.714222                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        500.000        97.5881                 NaN   1.69752       0.714395                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000        97.5749                 NaN   1.71052       0.714565                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        500.000        97.5617                 NaN   1.72353       0.714735                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        500.000        97.5485                 NaN   1.73655       0.714906                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        500.000        97.5354                 NaN   1.74957       0.715076                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        500.000        97.5222                 NaN   1.76259       0.715246                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        500.000        97.5090                 NaN   1.77562       0.715417                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        500.000        97.4958                 NaN   1.78866       0.715587                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        500.000        97.4825                 NaN   1.80170       0.715757                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        500.000        97.4695                 NaN   1.81453       0.715926                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        500.000        97.4565                 NaN   1.82737       0.716094                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        500.000        97.4436                 NaN   1.84016       0.716263                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        500.000        96.9912                 NaN   1.84456       0.716573       0.447638                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        500.000        96.3360                 NaN   1.84361       0.716939        1.10348                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        500.000        95.6801                 NaN   1.84265       0.717305        1.75996                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        500.000        95.0236                 NaN   1.84169       0.717669        2.41708                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        500.000        94.3664                 NaN   1.84073       0.718033        3.07484                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        500.000        93.7429                 NaN   1.83670       0.718362        3.70203                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        500.000        93.1189                 NaN   1.83266       0.718691        4.32977                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        500.000        92.4943                 NaN   1.82862       0.719019        4.95805                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        500.000        91.8692                 NaN   1.82457       0.719345        5.58686                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        500.000        91.2436                 NaN   1.82052       0.719671        6.21622                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        500.000        90.6174                 NaN   1.81646       0.719995        6.84611                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        500.000        89.9908                 NaN   1.81239       0.720318        7.47653                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        500.000        89.3636                 NaN   1.80832       0.720640        8.10748                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        500.000        88.7624                 NaN   1.80119       0.720932        8.71550                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        500.000        88.1607                 NaN   1.79405       0.721223        9.32398                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        500.000        87.5587                 NaN   1.78691       0.721513        9.93291                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        500.000        86.9561                 NaN   1.77976       0.721801        10.5423                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        500.000        86.3614                 NaN   1.77082       0.722075        11.1457                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        500.000        85.7662                 NaN   1.76187       0.722347        11.7495                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        500.000        85.1701                 NaN   1.75144       0.722611        12.3558                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
