|6.6.6
Archiving\03_Data\eqfrac/QFM_m2.25/TAY13/TAY13_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q              hed           
  1599.36        2500.00       0.214319E-001   99.5042       0.474375                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1597.86        2500.00                 NaN   99.2300       0.730902       0.391456E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.36        2500.00                 NaN   99.2344       0.670213       0.954112E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1594.85        2500.00                 NaN   98.5542        1.26872       0.177040                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.35        2500.00                 NaN   99.9180       0.378545E-001  0.441291E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.85        2500.00                 NaN   99.2723       0.671026       0.566787E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.35        2500.00                 NaN   99.2520       0.657981       0.899756E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.84        2500.00                 NaN   99.2740       0.636360       0.896207E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.34        2500.00                 NaN   99.2756       0.635764       0.886479E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.84        2500.00                 NaN   99.2797       0.633300       0.869546E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.34        2500.00                 NaN   99.2832       0.626304       0.904798E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.84        2500.00                 NaN   98.8055        1.05436       0.140166                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.33        2500.00                 NaN   99.7958       0.181894       0.223114E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.83        2500.00                 NaN   99.6937       0.266743       0.395166E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.33        2500.00                 NaN   98.9250       0.946996       0.127991                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.83        2500.00                 NaN   99.3181       0.601418       0.805030E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.33        2500.00                 NaN   99.2945       0.622484       0.830251E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.82        2500.00                 NaN   99.3586       0.566253       0.751185E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.32        2500.00                 NaN   99.3314       0.588642       0.799741E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.82        2500.00                 NaN   99.3464       0.578025       0.755899E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.32        2500.00                 NaN   99.3443       0.581808       0.738878E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.81        2500.00                 NaN   99.5795       0.371964       0.485202E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.31        2500.00                 NaN   99.1292       0.772971       0.978546E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.81        2500.00                 NaN   99.3626       0.564697       0.726876E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.31        2500.00                 NaN   99.3565       0.561066       0.824276E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.81        2500.00                 NaN   99.8420       0.153862       0.416657E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.30        2500.00                 NaN   98.9112       0.971781       0.117014                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.80        2500.00                 NaN   99.3822       0.549497       0.682933E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.30        2500.00                 NaN   99.3474       0.581209       0.713632E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.80        2500.00                 NaN   99.4335       0.505226       0.612855E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.30        2500.00                 NaN   99.3945       0.540651       0.648639E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.79        2500.00                 NaN   99.4046       0.531003       0.643643E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.29        2500.00                 NaN   99.3299       0.598291       0.717716E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.79        2500.00                 NaN   99.4886       0.455154       0.562644E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.29        2500.00                 NaN   99.4137       0.525049       0.612349E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.78        2500.00                 NaN   99.4194       0.519881       0.606760E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.28        2500.00                 NaN   99.4232       0.516362       0.604531E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.78        2500.00                 NaN   99.4274       0.513740       0.589071E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.28        2500.00                 NaN   99.4349       0.506371       0.586975E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.78        2500.00                 NaN   99.4363       0.506032       0.576982E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.27        2500.00                 NaN   99.4411       0.501177       0.576787E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.77        2500.00                 NaN   99.4449       0.499617       0.554615E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.27        2500.00                 NaN   99.4479       0.496090       0.559873E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.77        2500.00                 NaN   99.4534       0.493103       0.535319E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.27        2500.00                 NaN   99.4494       0.495864       0.547745E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.76        2500.00                 NaN   99.4659       0.483112       0.509628E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.26        2500.00                 NaN   99.4633       0.486338       0.504030E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.76        2500.00                 NaN   99.1960       0.725742       0.782358E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.26        2500.00                 NaN   99.5791       0.385903       0.350207E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.75        2500.00                 NaN   99.6386       0.328677       0.327167E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.25        2500.00                 NaN   99.4765       0.476580       0.469023E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.75        2500.00                 NaN   99.4785       0.477140       0.444095E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.25        2500.00                 NaN   99.4844       0.470448       0.451700E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.75        2500.00                 NaN   99.4844       0.469721       0.458893E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.24        2500.00                 NaN   98.4075        1.44910       0.143408                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.74        2500.00                 NaN   99.9668       0.292239E-001  0.399544E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.24        2500.00                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.74        2500.00                 NaN   99.6250       0.348487       0.265159E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.23        2500.00                 NaN   99.5038       0.453924       0.422857E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.73        2500.00                 NaN   99.5058       0.455818       0.383565E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.23        2500.00                 NaN   99.5093       0.451762       0.389244E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.73        2500.00                 NaN   99.5116       0.448293       0.400967E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.23        2500.00                 NaN   99.5130       0.453865       0.331211E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.72        2500.00                 NaN   99.5162       0.448352       0.354543E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.22        2500.00                 NaN   99.5194       0.446998       0.335937E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.72        2500.00                 NaN   99.5213       0.445756       0.329854E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.22        2500.00                 NaN   99.5259       0.439974       0.341753E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.72        2500.00                 NaN   99.5277       0.439881       0.324043E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.21        2500.00                 NaN   99.5292       0.451075       0.197386E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.71        2500.00                 NaN   99.5778       0.385731       0.365000E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.21        2500.00                 NaN   99.4160       0.192529       0.244092E-001  0.367071                 NaN            NaN            NaN            NaN            NaN            NaN
  1492.71        2500.00                 NaN   99.4138                 NaN            NaN  0.586151                 NaN            NaN            NaN            NaN            NaN            NaN
  1491.20        2500.00                 NaN   99.4081                 NaN  0.315914E-005  0.591931                 NaN            NaN            NaN            NaN            NaN            NaN
  1489.70        2500.00                 NaN   99.4082       0.383743E-001  0.178734E-005  0.553415                 NaN            NaN            NaN            NaN            NaN            NaN
  1488.20        2500.00                 NaN   99.4075                 NaN            NaN  0.592505                 NaN            NaN            NaN            NaN            NaN            NaN
  1486.70        2500.00                 NaN   99.4052                 NaN            NaN  0.594768                 NaN            NaN            NaN            NaN            NaN            NaN
  1485.20        2500.00                 NaN   99.4085                 NaN            NaN  0.591502                 NaN            NaN            NaN            NaN            NaN            NaN
  1483.69        2500.00                 NaN   99.4039                 NaN            NaN  0.596130                 NaN            NaN            NaN            NaN            NaN            NaN
  1482.19        2500.00                 NaN   99.4009                 NaN            NaN  0.599060                 NaN            NaN            NaN            NaN            NaN            NaN
  1480.69        2500.00                 NaN   99.4030                 NaN            NaN  0.597006                 NaN            NaN            NaN            NaN            NaN            NaN
  1479.19        2500.00                 NaN   99.3984                 NaN            NaN  0.601603                 NaN            NaN            NaN            NaN            NaN            NaN
  1477.69        2500.00                 NaN   99.5128                 NaN            NaN  0.487195                 NaN            NaN            NaN            NaN            NaN            NaN
  1476.18        2500.00                 NaN   99.6183                 NaN            NaN  0.381740                 NaN            NaN            NaN            NaN            NaN            NaN
  1474.68        2500.00                 NaN   99.0403                 NaN            NaN  0.959714                 NaN            NaN            NaN            NaN            NaN            NaN
  1473.18        2500.00                 NaN   99.3809                 NaN            NaN  0.619103                 NaN            NaN            NaN            NaN            NaN            NaN
  1471.68        2500.00                 NaN   99.3740                 NaN            NaN  0.626023                 NaN            NaN            NaN            NaN            NaN            NaN
  1470.17        2500.00                 NaN   99.1536                 NaN            NaN  0.475858       0.370500                 NaN            NaN            NaN            NaN            NaN
  1468.67        2500.00                 NaN   99.1070                 NaN            NaN  0.305676       0.587308                 NaN            NaN            NaN            NaN            NaN
  1467.17        2500.00                 NaN   99.1144                 NaN            NaN  0.302778       0.582845                 NaN            NaN            NaN            NaN            NaN
  1465.67        2500.00                 NaN   99.1208                 NaN  0.163731E-003  0.578427       0.300566                 NaN            NaN            NaN            NaN            NaN
  1464.17        2500.00                 NaN   99.1278                 NaN            NaN  0.573522       0.298686                 NaN            NaN            NaN            NaN            NaN
  1462.66        2500.00                 NaN   99.1344                 NaN            NaN  0.568459       0.297153                 NaN            NaN            NaN            NaN            NaN
  1461.16        2500.00                 NaN   99.1404                 NaN            NaN  0.294563       0.565032                 NaN            NaN            NaN            NaN            NaN
  1459.66        2500.00                 NaN   99.1472                 NaN            NaN  0.292744       0.560100                 NaN            NaN            NaN            NaN            NaN
  1458.16        2500.00                 NaN   99.1526                 NaN            NaN  0.290846       0.556554                 NaN            NaN            NaN            NaN            NaN
  1456.66        2500.00                 NaN   99.1605                 NaN            NaN  0.286054       0.553480                 NaN            NaN            NaN            NaN            NaN
  1455.15        2500.00                 NaN   99.1654                 NaN            NaN  0.548230       0.286347                 NaN            NaN            NaN            NaN            NaN
  1453.65        2500.00                 NaN   99.1718                 NaN            NaN  0.546246       0.281982                 NaN            NaN            NaN            NaN            NaN
  1452.15        2500.00                 NaN   99.1769                 NaN            NaN  0.281266       0.541874                 NaN            NaN            NaN            NaN            NaN
  1450.65        2500.00                 NaN   99.1834                 NaN            NaN  0.278932       0.537689                 NaN            NaN            NaN            NaN            NaN
  1449.14        2500.00                 NaN   99.1877                 NaN            NaN  0.535053       0.277235                 NaN            NaN            NaN            NaN            NaN
  1447.64        2500.00                 NaN   99.1937                 NaN  0.162066E-004  0.274561       0.531710                 NaN            NaN            NaN            NaN            NaN
  1446.14        2500.00                 NaN   99.1978                 NaN  0.144469E-005  0.528740       0.273474                 NaN            NaN            NaN            NaN            NaN
  1444.64        2500.00                 NaN   99.2051                 NaN            NaN  0.270547       0.524350                 NaN            NaN            NaN            NaN            NaN
  1443.14        2500.00                 NaN   99.2094                 NaN            NaN  0.520850       0.269714                 NaN            NaN            NaN            NaN            NaN
  1441.63        2500.00                 NaN   99.2138                 NaN            NaN  0.519483       0.266701                 NaN            NaN            NaN            NaN            NaN
  1440.13        2500.00                 NaN   99.2192                 NaN            NaN  0.265527       0.515312                 NaN            NaN            NaN            NaN            NaN
  1438.63        2500.00                 NaN   99.2244                 NaN            NaN  0.263979       0.511667                 NaN            NaN            NaN            NaN            NaN
  1437.13        2500.00                 NaN   99.2285                 NaN  0.250509E-005  0.509794       0.261666                 NaN            NaN            NaN            NaN            NaN
  1435.63        2500.00                 NaN   99.2331                 NaN            NaN  0.260238       0.506679                 NaN            NaN            NaN            NaN            NaN
  1434.12        2500.00                 NaN   99.2371                 NaN            NaN  0.258680       0.504214                 NaN            NaN            NaN            NaN            NaN
  1432.62        2500.00                 NaN   99.2426                 NaN  0.608304E-005  0.256108       0.501327                 NaN            NaN            NaN            NaN            NaN
  1431.12        2500.00                 NaN   99.2465                 NaN  0.194692E-005  0.254220       0.499242                 NaN            NaN            NaN            NaN            NaN
  1429.62        2500.00                 NaN   99.2509                 NaN            NaN  0.495919       0.253152                 NaN            NaN            NaN            NaN            NaN
  1428.11        2500.00                 NaN   98.4062                 NaN  0.325837E-001  0.515392       0.631253       0.414535                 NaN            NaN            NaN            NaN
  1426.61        2500.00                 NaN   98.1361                 NaN  0.236709       0.582599       0.472251       0.572321                 NaN            NaN            NaN            NaN
  1425.11        2500.00                 NaN   98.1695                 NaN  0.234858       0.459192       0.574223       0.562181                 NaN            NaN            NaN            NaN
  1423.61        2500.00                 NaN   98.2013                 NaN  0.233627       0.564954       0.447585       0.552562                 NaN            NaN            NaN            NaN
  1422.11        2500.00                 NaN   98.2299                 NaN  0.233184       0.557993       0.434986       0.543953                 NaN            NaN            NaN            NaN
  1420.60        2500.00                 NaN   98.2551                 NaN  0.233569       0.550956       0.423878       0.536473                 NaN            NaN            NaN            NaN
  1419.10        2500.00                 NaN   98.2958                 NaN  0.229161       0.539337       0.412078       0.523670                 NaN            NaN            NaN            NaN
  1417.60        2500.00                 NaN   98.3140                 NaN  0.230634       0.401133       0.535868       0.518402                 NaN            NaN            NaN            NaN
  1416.10        2500.00                 NaN   98.3450                 NaN  0.228440       0.390063       0.527572       0.508906                 NaN            NaN            NaN            NaN
  1414.59        2500.00                 NaN   98.3711                 NaN  0.227887       0.520460       0.379443       0.501096                 NaN            NaN            NaN            NaN
  1413.09        2500.00                 NaN   98.3967                 NaN  0.227082       0.514080       0.368814       0.493293                 NaN            NaN            NaN            NaN
  1411.59        2500.00                 NaN   98.4211                 NaN  0.226531       0.507967       0.358465       0.485980                 NaN            NaN            NaN            NaN
  1410.09        2500.00                 NaN   98.4375                 NaN  0.228477       0.355513       0.495645       0.482842                 NaN            NaN            NaN            NaN
  1408.59        2500.00                 NaN   98.4851                 NaN  0.220500       0.337805       0.492048       0.464571                 NaN            NaN            NaN            NaN
  1407.08        2500.00                 NaN   98.4928                 NaN  0.223415       0.331497       0.487756       0.464508                 NaN            NaN            NaN            NaN
  1405.58        2500.00                 NaN   98.5202                 NaN  0.222100       0.321584       0.480701       0.455414                 NaN            NaN            NaN            NaN
  1404.08        2500.00                 NaN   98.5377                 NaN  0.221885       0.477109       0.313113       0.450161                 NaN            NaN            NaN            NaN
  1402.58        2500.00                 NaN   98.5588                 NaN  0.221126       0.305176       0.471235       0.443674                 NaN            NaN            NaN            NaN
  1401.08        2500.00                 NaN   98.5797                 NaN  0.220441       0.296669       0.465905       0.437305                 NaN            NaN            NaN            NaN
  1399.57        2500.00                 NaN   98.5990                 NaN  0.222739       0.457033       0.288581       0.432654                 NaN            NaN            NaN            NaN
  1398.07        2500.00                 NaN   98.6226                 NaN  0.216536       0.455444       0.282346       0.423088                 NaN            NaN            NaN            NaN
  1396.57        2500.00                 NaN   98.6395                 NaN  0.217224       0.274162       0.450582       0.418514                 NaN            NaN            NaN            NaN
  1395.07        2500.00                 NaN   98.6600                 NaN  0.216279       0.444546       0.266875       0.412322                 NaN            NaN            NaN            NaN
  1393.56        2500.00                 NaN   98.6774                 NaN  0.215921       0.440606       0.259038       0.407047                 NaN            NaN            NaN            NaN
  1392.06        2500.00                 NaN   98.6948                 NaN  0.215642       0.435266       0.252687       0.401598                 NaN            NaN            NaN            NaN
  1390.56        2500.00                 NaN   98.7139                 NaN  0.214145       0.431042       0.245260       0.395614                 NaN            NaN            NaN            NaN
  1389.06        2500.00                 NaN   98.7302                 NaN  0.213793       0.238854       0.426511       0.390594                 NaN            NaN            NaN            NaN
  1387.56        2500.00                 NaN   98.7475                 NaN  0.212440       0.422084       0.232668       0.385277                 NaN            NaN            NaN            NaN
  1386.05        2500.00                 NaN   98.7642                 NaN  0.211534       0.226512       0.417912       0.379851                 NaN            NaN            NaN            NaN
  1384.55        2500.00                 NaN   98.7776                 NaN  0.213788       0.217204       0.414772       0.376611                 NaN            NaN            NaN            NaN
  1383.05        2500.00                 NaN   98.8012                 NaN  0.207266       0.406699       0.217114       0.367724                 NaN            NaN            NaN            NaN
  1381.55        2500.00                 NaN   98.8117                 NaN  0.208993       0.405418       0.208882       0.365011                 NaN            NaN            NaN            NaN
  1380.05        2500.00                 NaN   98.8269                 NaN  0.208149       0.401396       0.203357       0.360229                 NaN            NaN            NaN            NaN
  1378.54        2500.00                 NaN   98.8421                 NaN  0.207205       0.397709       0.197448       0.355505                 NaN            NaN            NaN            NaN
  1377.04        2500.00                 NaN   98.8563                 NaN  0.206231       0.193335       0.393191       0.350959                 NaN            NaN            NaN            NaN
  1375.54        2500.00                 NaN   98.8712                 NaN  0.204911       0.389568       0.188115       0.346181                 NaN            NaN            NaN            NaN
  1374.04        2500.00                 NaN   98.8851                 NaN  0.204133       0.182699       0.386158       0.341862                 NaN            NaN            NaN            NaN
  1372.53        2500.00                 NaN   98.8990                 NaN  0.203220       0.177713       0.382568       0.337481                 NaN            NaN            NaN            NaN
  1371.03        2500.00                 NaN   98.9121                 NaN  0.201503       0.378834       0.174442       0.333095                 NaN            NaN            NaN            NaN
  1369.53        2500.00                 NaN   98.9245                 NaN  0.201622       0.374669       0.169343       0.329872                 NaN            NaN            NaN            NaN
  1368.03        2500.00                 NaN   98.9396                 NaN  0.198762       0.371956       0.165722       0.323930                 NaN            NaN            NaN            NaN
  1366.53        2500.00                 NaN   98.9500                 NaN  0.198620       0.161766       0.368663       0.320930                 NaN            NaN            NaN            NaN
  1365.02        2500.00                 NaN   98.9641                 NaN  0.197151       0.364694       0.157595       0.316494                 NaN            NaN            NaN            NaN
  1363.52        2500.00                 NaN   98.8133                 NaN  0.230695       0.179036       0.412403       0.364554                 NaN            NaN            NaN            NaN
  1362.02        2500.00                 NaN   99.1327                 NaN  0.162222       0.134213       0.309853       0.260976                 NaN            NaN            NaN            NaN
  1360.52        2500.00                 NaN   99.0000                 NaN  0.190546       0.353621       0.151685       0.304113                 NaN            NaN            NaN            NaN
  1359.02        2500.00                 NaN   99.0111                 NaN  0.192103       0.351952       0.143613       0.301228                 NaN            NaN            NaN            NaN
  1357.51        2500.00                 NaN   99.0212                 NaN  0.190549       0.141490       0.348928       0.297830                 NaN            NaN            NaN            NaN
  1356.01        2500.00                 NaN   99.0328                 NaN  0.189631       0.346076       0.137216       0.294287                 NaN            NaN            NaN            NaN
  1354.51        2500.00                 NaN   99.0444                 NaN  0.186852       0.342323       0.136394       0.290017                 NaN            NaN            NaN            NaN
  1353.01        2500.00                 NaN   99.0538                 NaN  0.186231       0.133147       0.339733       0.287112                 NaN            NaN            NaN            NaN
  1351.50        2500.00                 NaN   99.0617                 NaN  0.184769       0.131068       0.338109       0.284346                 NaN            NaN            NaN            NaN
  1350.00        2500.00                 NaN   99.0765                 NaN  0.182180       0.332293       0.129483       0.279522                 NaN            NaN            NaN            NaN
  1348.50        2500.00                 NaN   99.0854                 NaN  0.181666       0.331029       0.125268       0.276592                 NaN            NaN            NaN            NaN
  1347.00        2500.00                 NaN   99.0953                 NaN  0.179714       0.327991       0.123683       0.273347                 NaN            NaN            NaN            NaN
  1345.50        2500.00                 NaN   99.1015                 NaN  0.179303       0.123432       0.324187       0.271599                 NaN            NaN            NaN            NaN
  1343.99        2500.00                 NaN   99.1173                 NaN  0.175131       0.121662       0.320219       0.265728                 NaN            NaN            NaN            NaN
  1342.49        2500.00                 NaN   99.1241                 NaN  0.174037       0.318424       0.119863       0.263621                 NaN            NaN            NaN            NaN
  1340.99        2500.00                 NaN   99.1327                 NaN  0.172484       0.316126       0.117955       0.260698                 NaN            NaN            NaN            NaN
  1339.49        2500.00                 NaN   99.1420                 NaN  0.170570       0.312940       0.116856       0.257614                 NaN            NaN            NaN            NaN
  1337.98        2500.00                 NaN   99.1507                 NaN  0.168714       0.310174       0.115757       0.254613                 NaN            NaN            NaN            NaN
  1336.48        2500.00                 NaN   99.1598                 NaN  0.166771       0.114918       0.306951       0.251571                 NaN            NaN            NaN            NaN
  1334.98        2500.00                 NaN   99.1677                 NaN  0.164635       0.304236       0.114640       0.248833                 NaN            NaN            NaN            NaN
  1333.48        2500.00                 NaN   99.1770                 NaN  0.162808       0.113317       0.301178       0.245744                 NaN            NaN            NaN            NaN
  1331.98        2500.00                 NaN   99.1848                 NaN  0.160726       0.112714       0.298743       0.242974                 NaN            NaN            NaN            NaN
  1330.47        2500.00                 NaN   99.1929                 NaN  0.158362       0.295579       0.112911       0.240203                 NaN            NaN            NaN            NaN
  1328.97        2500.00                 NaN   99.2009                 NaN  0.155955       0.292024       0.113696       0.237474                 NaN            NaN            NaN            NaN
  1327.47        2500.00                 NaN   99.2091                 NaN  0.154228       0.289704       0.112368       0.234633                 NaN            NaN            NaN            NaN
  1325.97        2500.00                 NaN   99.2157                 NaN  0.152993       0.111112       0.287672       0.232489                 NaN            NaN            NaN            NaN
  1324.47        2500.00                 NaN   99.2240                 NaN  0.148370       0.282537       0.115840       0.229225                 NaN            NaN            NaN            NaN
  1322.96        2500.00                 NaN   99.2294                 NaN  0.147000       0.280969       0.115175       0.227416                 NaN            NaN            NaN            NaN
  1321.46        2500.00                 NaN   99.2397                 NaN  0.144449       0.114311       0.277669       0.223899                 NaN            NaN            NaN            NaN
  1319.96        2500.00                 NaN   99.2459                 NaN  0.143792       0.274846       0.113242       0.222204                 NaN            NaN            NaN            NaN
  1318.46        2500.00                 NaN   99.2537                 NaN  0.139085       0.272164       0.116246       0.218838                 NaN            NaN            NaN            NaN
  1316.95        2500.00                 NaN   99.2597                 NaN  0.137645       0.269407       0.116234       0.217056                 NaN            NaN            NaN            NaN
  1315.45        2500.00                 NaN   99.2667                 NaN  0.134489       0.118026       0.266535       0.214224                 NaN            NaN            NaN            NaN
  1313.95        2500.00                 NaN   99.2731                 NaN  0.132877       0.117660       0.264129       0.212223                 NaN            NaN            NaN            NaN
  1312.45        2500.00                 NaN   99.2799                 NaN  0.129844       0.120427       0.260098       0.209749                 NaN            NaN            NaN            NaN
  1310.95        2500.00                 NaN   92.3699                 NaN  0.744367       0.341016        1.32012        1.05445        4.17018                 NaN            NaN            NaN
  1309.44        2500.00                 NaN   82.9077                 NaN   1.56182        2.84449       0.621169        2.20987        9.85499                 NaN            NaN            NaN
  1307.94        2500.00                 NaN   84.3838                 NaN   1.43548        2.72324       0.473284        2.02821        8.95597                 NaN            NaN            NaN
  1306.44        2500.00                 NaN   85.6094                 NaN   1.32677        2.63712       0.340505        1.87732        8.20885                 NaN            NaN            NaN
  1304.94        2500.00                 NaN   86.6575                 NaN   1.23280        2.58087       0.209625        1.74813        7.57111                 NaN            NaN            NaN
  1303.44        2500.00                 NaN   87.5419                 NaN   1.15118        2.56965       0.670180E-001   1.63937        7.03087                 NaN            NaN            NaN
  1301.93        2500.00                 NaN   88.3164                 NaN   1.07357        2.50826                 NaN   1.54361        6.55817                 NaN            NaN            NaN
  1300.43        2500.00                 NaN   88.9885                 NaN  0.970492        2.44190                 NaN   1.46057        6.13851                 NaN            NaN            NaN
  1298.93        2500.00                 NaN   89.5796                 NaN  0.901445        2.35669                 NaN   1.38759        5.77468                 NaN            NaN            NaN
  1297.43        2500.00                 NaN   90.1253                 NaN  0.837748        2.27585                 NaN   1.32004        5.44106                 NaN            NaN            NaN
  1295.92        2500.00                 NaN   90.6060                 NaN  0.797011        2.18586                 NaN   1.26048        5.15063                 NaN            NaN            NaN
  1294.42        2500.00                 NaN   91.0396                 NaN  0.757396        2.10750                 NaN   1.20674        4.88874                 NaN            NaN            NaN
