|6.6.6
Archiving\03_Data\eqfrac/QFM_m4.5/ALH/ALH_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         an             ilm            San(TH)        iron           ne             lc            
  1567.31        2500.00        99.9653       0.346943E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.89        2500.00        99.4646       0.128791       0.406565                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.47        2500.00        99.3665       0.614103E-001  0.572104                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.04        2500.00        98.7916       0.117552        1.09081                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.62        2500.00        99.9415       0.562101E-002  0.528423E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.20        2500.00        99.3952       0.587466E-001  0.546070                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.78        2500.00        99.3778       0.678695E-001  0.554321                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.36        2500.00        98.9089       0.103654       0.987466                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.94        2500.00        99.8704       0.124919E-001  0.117108                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.51        2500.00        99.4139       0.535847E-001  0.532536                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.09        2500.00        99.4008       0.555784E-001  0.543584                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.67        2500.00        99.4036       0.544759E-001  0.541913                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.25        2500.00        99.4106       0.544965E-001  0.534875                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.83        2500.00        99.4053       0.546683E-001  0.540008                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.40        2500.00        99.4270       0.532708E-001  0.519767                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.98        2500.00        99.4224       0.379497E-001  0.539677                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.56        2500.00        99.3860       0.698793E-001  0.544113                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.14        2500.00        99.4695       0.469437E-001  0.483564                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.72        2500.00        99.4322       0.495010E-001  0.518297                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.30        2500.00        99.4360       0.489909E-001  0.514993                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.87        2500.00        99.4419       0.500306E-001  0.508057                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.45        2500.00        99.3117                 NaN  0.611971E-001  0.627137                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.03        2500.00        99.3063                 NaN  0.291372E-001  0.664532                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.61        2500.00        99.3072                 NaN  0.270697E-001  0.665720                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.19        2500.00        99.3098       0.562120E-003  0.242621E-001  0.665369                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.76        2500.00        99.3102       0.140295E-004  0.220757E-001  0.667724                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.34        2500.00        99.3122       0.736815E-003  0.194734E-001  0.667561                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.92        2500.00        99.3118                 NaN  0.167322E-001  0.671434                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.50        2500.00        99.2737                 NaN  0.154645E-001  0.710848                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.08        2500.00        99.3524                 NaN  0.988240E-002  0.637710                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.66        2500.00        99.3150                 NaN  0.100566E-001  0.674945                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.23        2500.00        99.3156                 NaN  0.477162E-002  0.679657                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.81        2500.00        99.3148                 NaN  0.340356E-002  0.681789                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.39        2500.00        99.3154                 NaN            NaN  0.684572                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.97        2500.00        99.3079                 NaN            NaN  0.692115                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.55        2500.00        99.3235                 NaN  0.276120E-001  0.648884                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.12        2500.00        99.3147                 NaN            NaN  0.685336                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.70        2500.00        99.3142                 NaN  0.192603E-001  0.666552                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.28        2500.00        99.3086                 NaN            NaN  0.689451                 NaN  0.195373E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1511.86        2500.00        99.2961                 NaN            NaN  0.696843                 NaN  0.706034E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1510.44        2500.00        99.2946                 NaN            NaN  0.698367                 NaN  0.698555E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1509.01        2500.00        99.2922                 NaN            NaN  0.700922                 NaN  0.691870E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1507.59        2500.00        99.2890                 NaN            NaN  0.704192                 NaN  0.685346E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1506.17        2500.00        99.2849                 NaN            NaN  0.708283                 NaN  0.678227E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1504.75        2500.00        99.2806                 NaN            NaN  0.712734                 NaN  0.671185E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1503.33        2500.00        99.2764                 NaN            NaN  0.716937                 NaN  0.664855E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1501.91        2500.00        99.2684                 NaN            NaN  0.724978                 NaN  0.657280E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1500.48        2500.00        99.2608                 NaN            NaN  0.732751                 NaN  0.647629E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1499.06        2500.00        99.2504                 NaN            NaN  0.743254                 NaN  0.638232E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1497.64        2500.00        99.1416                 NaN            NaN  0.644252       0.208635       0.552952E-002            NaN            NaN            NaN            NaN            NaN            NaN
