|6.6.6
Archiving\03_Data\eqfrac/QFM_m4.5/ALH/ALH_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         an             ilm            San(TH)        iron           ne             lc            
  1567.31        2500.00        99.9706       0.293649E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.89        2500.00        99.5337       0.109059       0.357224                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.47        2500.00        99.4455       0.519803E-001  0.502556                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.04        2500.00        98.9420       0.994740E-001  0.958548                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.62        2500.00        99.9489       0.474816E-002  0.463585E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.20        2500.00        99.4711       0.496475E-001  0.479272                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.78        2500.00        99.4562       0.573070E-001  0.486491                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.36        2500.00        99.0459       0.875938E-001  0.866520                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.94        2500.00        99.8868       0.105364E-001  0.102640                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.51        2500.00        99.4880       0.452026E-001  0.466837                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.09        2500.00        99.4767       0.468649E-001  0.476414                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.67        2500.00        99.4792       0.459142E-001  0.474927                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.25        2500.00        99.4856       0.458975E-001  0.468501                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.83        2500.00        99.4809       0.460411E-001  0.473014                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.40        2500.00        99.5001       0.448383E-001  0.455048                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.98        2500.00        99.4957       0.319253E-001  0.472362                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.56        2500.00        99.4649       0.587950E-001  0.476316                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.14        2500.00        99.5375       0.394486E-001  0.423006                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.72        2500.00        99.5051       0.415835E-001  0.453273                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.30        2500.00        99.5086       0.411519E-001  0.450265                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.87        2500.00        99.5139       0.419914E-001  0.444108                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.45        2500.00        99.3953                 NaN  0.534744E-001  0.551255                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.03        2500.00        99.3906                 NaN  0.254551E-001  0.583908                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.61        2500.00        99.3915                 NaN  0.236438E-001  0.584811                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.19        2500.00        99.3941       0.471073E-003  0.211823E-001  0.584246                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.76        2500.00        99.3946       0.117441E-004  0.192656E-001  0.586105                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.34        2500.00        99.3966       0.616498E-003  0.169898E-001  0.585774                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.92        2500.00        99.3965                 NaN  0.145919E-001  0.588897                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.50        2500.00        99.3632                 NaN  0.134825E-001  0.623342                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.08        2500.00        99.4323                 NaN  0.861343E-002  0.559041                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.66        2500.00        99.3998                 NaN  0.875943E-002  0.591445                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.23        2500.00        99.4005                 NaN  0.415575E-002  0.595383                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.81        2500.00        99.4000                 NaN  0.296318E-002  0.597036                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.39        2500.00        99.4008                 NaN            NaN  0.599218                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.97        2500.00        99.3944                 NaN            NaN  0.605558                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.55        2500.00        99.4084                 NaN  0.240114E-001  0.567571                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.12        2500.00        99.4008                 NaN            NaN  0.599223                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.70        2500.00        99.4006                 NaN  0.167364E-001  0.582617                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
