|6.6.6
Archiving\03_Data\Deqfrac/QFM_m1.75/YM20/YM20_3.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            Sp(TH)         q              hed           
  1615.38        2500.00        99.9897       0.102649E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1613.84        2500.00        99.9652                 NaN  0.348262E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1612.30        2500.00        98.4865        1.44119       0.723364E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.75        2500.00        99.1728       0.733154       0.940448E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.21        2500.00        99.1571       0.748510       0.943419E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.67        2500.00        99.2083       0.701929       0.898033E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.13        2500.00        99.1947       0.715273       0.900153E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.58        2500.00        99.2028       0.706922       0.902712E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1603.04        2500.00        99.2118       0.700411       0.877789E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00        99.2089       0.703579       0.874775E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.96        2500.00        99.2348       0.679826       0.853365E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.41        2500.00        99.2336       0.682773       0.835812E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.87        2500.00        99.2120       0.701019       0.869957E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.33        2500.00        99.2766       0.645884       0.775411E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
