|6.6.6
Archiving\03_Data\Deqfrac/QFM_m1.75/YM20/YM20_1.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            Sp(TH)         q              hed           
  1615.38        2500.00        99.9885       0.115212E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1613.84        2500.00        99.9601                 NaN  0.399328E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1612.30        2500.00        98.3024        1.61465       0.829341E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.75        2500.00        99.0697       0.822396       0.107949                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.21        2500.00        99.0522       0.839524       0.108282                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.67        2500.00        99.1090       0.787815       0.103172                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.13        2500.00        99.0937       0.802865       0.103439                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.58        2500.00        99.1025       0.793752       0.103767                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1603.04        2500.00        99.1124       0.786608       0.100948                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00        99.1091       0.790312       0.100618                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.96        2500.00        99.1379       0.763848       0.982134E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.41        2500.00        99.1366       0.767190       0.962049E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.87        2500.00        99.1118       0.788023       0.100190                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.33        2500.00        99.1846       0.726067       0.893321E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.79        2500.00        99.1609       0.746071       0.930488E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1592.25        2500.00        99.1673       0.741504       0.912193E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.70        2500.00        99.1148       0.789064       0.961804E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1589.16        2500.00        99.2432       0.673440       0.833966E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.62        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.08        2500.00        98.3933        1.43197       0.174713                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.53        2500.00        99.2034       0.711321       0.852892E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.99        2500.00        99.2116       0.704079       0.842981E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        2500.00        99.2150       0.701806       0.832406E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.91        2500.00        99.2305       0.686618       0.828904E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.36        2500.00        99.2301       0.689555       0.803546E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.82        2500.00        99.2392       0.681055       0.797148E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.28        2500.00        99.2436       0.677751       0.786103E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.74        2500.00        99.2520       0.670828       0.771688E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.20        2500.00        99.2217       0.698417       0.798872E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.65        2500.00        99.2967       0.632496       0.708045E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.11        2500.00        99.2712       0.654255       0.745920E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.57        2500.00        99.2714       0.655330       0.732244E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.03        2500.00        99.2831       0.646912       0.699453E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.48        2500.00        99.2852       0.644305       0.705048E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.94        2500.00        99.2919       0.637764       0.703142E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        2500.00        99.2973       0.636085       0.666316E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.86        2500.00        99.3032       0.630153       0.666654E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.31        2500.00        99.3083       0.625551       0.661328E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.77        2500.00        99.3133       0.621760       0.649190E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.23        2500.00        99.3170       0.618013       0.649374E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.69        2500.00        99.3263       0.610641       0.630819E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.15        2500.00        99.3284       0.610329       0.612385E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.60        2500.00        99.3330       0.607410       0.596317E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.06        2500.00        99.3361       0.603875       0.600590E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.52        2500.00        99.2956       0.640436       0.639569E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.98        2500.00        99.3983       0.548472       0.532090E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.43        2500.00        99.3515       0.591802       0.567386E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.89        2500.00        99.3564       0.589369       0.542738E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        2500.00        99.2762       0.662947       0.608181E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.81        2500.00        99.6294       0.339046       0.315252E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.26        2500.00        99.1878       0.746128       0.660655E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.72        2500.00        98.7339        1.16743       0.986400E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.18        2500.00        99.8407       0.146214       0.130477E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.64        2500.00        99.5603       0.404664       0.350373E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.10        2500.00        99.3837       0.569488       0.468109E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.55        2500.00        99.9837                 NaN  0.162632E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.01        2500.00        98.7968        1.12956       0.736431E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.47        2500.00        99.3933       0.562391       0.443143E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.93        2500.00        99.4015       0.554955       0.435648E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.38        2500.00        99.4049       0.552446       0.426712E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.84        2500.00        99.4065       0.552229       0.412826E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.30        2500.00        99.4110       0.547021       0.419655E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.76        2500.00        99.4133       0.546803       0.399331E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.21        2500.00        99.4138       0.547894       0.382867E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.67        2500.00        99.1734       0.778921       0.477184E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.13        2500.00        99.6992       0.281377       0.194206E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
