|6.6.6
Archiving\03_Data\eqfrac/QFM_m4.5/YM20/YM20_1.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            Sp(TH)         ne             lc             iron          
  1583.33        2500.00        99.7711       0.140913       0.879545E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.87        2500.00        99.3274       0.599535       0.730379E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.41        2500.00        99.3315       0.597671       0.708218E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.94        2500.00        99.3379       0.592277       0.698282E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.48        2500.00        99.3308       0.596842       0.723228E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.02        2500.00        99.7827       0.193995       0.232790E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.56        2500.00        98.9378       0.950999       0.111202                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.10        2500.00        99.3628       0.568959       0.681963E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.63        2500.00        99.3660       0.567826       0.661410E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.17        2500.00        99.3705       0.563599       0.659063E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.71        2500.00        99.3785       0.557238       0.642547E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.25        2500.00        99.3809       0.555900       0.631613E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.79        2500.00        99.3869       0.550406       0.627026E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.32        2500.00        99.3920       0.545455       0.625736E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.86        2500.00        99.3960       0.541554       0.623969E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        2500.00        99.4031       0.536295       0.606048E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.94        2500.00        99.4073       0.531884       0.607929E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.48        2500.00        99.4116       0.529225       0.592244E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.01        2500.00        99.4135       0.529162       0.573406E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.55        2500.00        99.4198       0.523863       0.563234E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.09        2500.00        99.4244       0.519126       0.564859E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.63        2500.00        99.4280       0.526033       0.459278E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.17        2500.00        99.4338       0.501842       0.643351E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.70        2500.00        99.4365       0.510086       0.534468E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.24        2500.00        99.4415       0.504704       0.537518E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.78        2500.00        99.4458       0.501657       0.525667E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.32        2500.00        99.6072       0.173888       0.218885                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        2500.00        99.2926       0.707427                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.39        2500.00        99.4590       0.535487       0.553951E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.93        2500.00        99.4601       0.519027       0.208499E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.47        2500.00        99.4623       0.489978       0.477669E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.01        2500.00        99.4707       0.527813       0.148839E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.55        2500.00        99.4108       0.538234       0.509364E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.08        2500.00        99.7765       0.201248       0.222819E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.62        2500.00        99.2356       0.703830       0.606090E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.16        2500.00        99.4843       0.471428       0.442344E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.70        2500.00        99.4390       0.513303       0.476646E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.24        2500.00        99.6647       0.306907       0.283447E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.77        2500.00        99.3647       0.583771       0.515404E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.31        2500.00        99.2556       0.685981       0.584279E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.85        2500.00        99.7126       0.264711       0.226530E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.39        2500.00        99.5290       0.432392       0.386569E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.93        2500.00        99.5064       0.455011       0.385420E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.46        2500.00        99.5101       0.449821       0.400965E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.00        2500.00        99.5126       0.450288       0.371194E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.54        2500.00        99.7400       0.239336       0.206753E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.08        2500.00        99.5138       0.448468       0.377754E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.62        2500.00        98.6649        1.25093       0.842167E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.15        2500.00        99.9905       0.862284E-002  0.855370E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.69        2500.00        99.6835       0.293793       0.227401E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.23        2500.00       100.0000                 NaN  0.422039E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.77        2500.00        99.6913       0.283632       0.250224E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.31        2500.00        98.9024        1.02965       0.679376E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.85        2500.00        99.5339       0.426447       0.287551E-001  0.108951E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.38        2500.00        99.4041       0.430351                 NaN  0.165564                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.92        2500.00        99.3983                 NaN            NaN  0.601670                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.46        2500.00        99.3760                 NaN  0.386358E-001  0.585349                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.00        2500.00        99.5245                 NaN            NaN  0.475513                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.54        2500.00        99.3035                 NaN            NaN  0.696516                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.07        2500.00        99.3932                 NaN            NaN  0.606819                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.61        2500.00        99.3977                 NaN            NaN  0.602290                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.15        2500.00        99.3906                 NaN            NaN  0.609427                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.69        2500.00        99.3954                 NaN            NaN  0.604603                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.23        2500.00        99.3892                 NaN            NaN  0.610801                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.76        2500.00        99.3830                 NaN            NaN  0.616964                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.30        2500.00        99.5004                 NaN            NaN  0.499574                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.84        2500.00        99.2615                 NaN            NaN  0.738486                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.38        2500.00        99.2789                 NaN            NaN  0.179352       0.541719                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.92        2500.00        99.0666                 NaN            NaN  0.573755       0.359660                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.45        2500.00        99.0763                 NaN            NaN  0.567526       0.356213                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.99        2500.00        99.0833                 NaN            NaN  0.563471       0.353184                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.53        2500.00        99.0922                 NaN            NaN  0.558565       0.349258                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.07        2500.00        99.0987                 NaN            NaN  0.554902       0.346421                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
