|6.6.6
Archiving\03_Data\eqfrac/QFM_m4.5/YM20/YM20_3.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            Sp(TH)         ne             lc             iron          
  1583.33        2500.00        99.8024       0.122748       0.748261E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.87        2500.00        99.4155       0.522379       0.621367E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.41        2500.00        99.4191       0.520628       0.602344E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.94        2500.00        99.4249       0.515757       0.593661E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.48        2500.00        99.4190       0.519580       0.614564E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.02        2500.00        99.8115       0.168744       0.197626E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.56        2500.00        99.0777       0.827828       0.944618E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.10        2500.00        99.4473       0.494793       0.578717E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.63        2500.00        99.4502       0.493694       0.561071E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.17        2500.00        99.4542       0.489902       0.558816E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.71        2500.00        99.4613       0.484243       0.544570E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.25        2500.00        99.4635       0.482975       0.535156E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.79        2500.00        99.4689       0.478012       0.530910E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.32        2500.00        99.4735       0.473538       0.529793E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.86        2500.00        99.4772       0.469964       0.527866E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        2500.00        99.4834       0.465336       0.512537E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.94        2500.00        99.4873       0.461299       0.513862E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.48        2500.00        99.4910       0.458909       0.500442E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.01        2500.00        99.4928       0.458732       0.484338E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.55        2500.00        99.4985       0.453972       0.475474E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.09        2500.00        99.5026       0.449731       0.476659E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
