|6.6.6
Archiving\03_Data\eqfrac/QFM_m3.75/YM20/YM20_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             lc            
  1580.13        2500.00       0.120763E-001   99.6673       0.297881       0.227108E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.68        2500.00       0.949946E-003   99.8383       0.139549       0.212125E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.22        2500.00                 NaN   98.8570        1.01913       0.123823                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.77        2500.00                 NaN   99.3546       0.574880       0.704730E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.31        2500.00                 NaN   99.3593       0.566562       0.741424E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.86        2500.00                 NaN   99.3652       0.571213       0.635633E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.41        2500.00                 NaN   99.9905                 NaN  0.951147E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.95        2500.00                 NaN   99.9467                 NaN  0.532706E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.50        2500.00                 NaN   98.1844        1.68353       0.132070                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.04        2500.00                 NaN   99.3879       0.547607       0.645126E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.59        2500.00                 NaN   99.3900       0.546043       0.639604E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.14        2500.00                 NaN   99.3871       0.550745       0.621556E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.68        2500.00                 NaN   99.2096       0.705746       0.846564E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.23        2500.00                 NaN   99.8790       0.118285       0.274101E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.77        2500.00                 NaN   99.1316       0.773470       0.949370E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.32        2500.00                 NaN   99.4127       0.527724       0.595735E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.87        2500.00                 NaN   99.4183       0.522371       0.593003E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.41        2500.00                 NaN   99.4170       0.525778       0.572317E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.96        2500.00                 NaN   99.4312       0.511460       0.573624E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.50        2500.00                 NaN   99.4305       0.513338       0.561482E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.05        2500.00                 NaN   99.4354       0.509317       0.552467E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.60        2500.00                 NaN   99.8201       0.160561       0.193291E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.14        2500.00                 NaN   99.0621       0.847946       0.899445E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.69        2500.00                 NaN   99.4486       0.503284       0.481309E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.23        2500.00                 NaN   99.4501       0.492165       0.577266E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.78        2500.00                 NaN   99.8133       0.169644       0.170486E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.33        2500.00                 NaN   99.1032       0.811754       0.850652E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.87        2500.00                 NaN   99.4635       0.486201       0.503086E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.42        2500.00                 NaN   99.4673       0.482950       0.497921E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.97        2500.00                 NaN   99.5701       0.391630       0.382590E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.51        2500.00                 NaN   99.3736       0.569853       0.565927E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.06        2500.00                 NaN   99.4788       0.473268       0.479107E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.60        2500.00                 NaN   99.4042       0.543259       0.525825E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.15        2500.00                 NaN   99.5628       0.397252       0.399119E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.70        2500.00                 NaN   99.4896       0.464007       0.463466E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.24        2500.00                 NaN   99.4922       0.464256       0.435766E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.79        2500.00                 NaN   99.4408       0.508408       0.508365E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.33        2500.00                 NaN   99.7985       0.184489       0.169886E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.88        2500.00                 NaN   99.2586       0.679274       0.621726E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.43        2500.00                 NaN   99.5040       0.455924       0.400377E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.97        2500.00                 NaN   99.4072       0.541644       0.511370E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.52        2500.00                 NaN   99.6134       0.355063       0.315752E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.06        2500.00                 NaN   99.5134       0.448928       0.376277E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.61        2500.00                 NaN   99.5172       0.438414       0.443658E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.16        2500.00                 NaN   99.3854       0.581628       0.329501E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.70        2500.00                 NaN   99.6504       0.323186       0.264283E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.25        2500.00                 NaN   99.5250       0.439286       0.356870E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.79        2500.00                 NaN   99.5277       0.437848       0.344858E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.34        2500.00                 NaN   99.5307       0.435512       0.337899E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.89        2500.00                 NaN   99.6180       0.357038       0.249433E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.43        2500.00                 NaN   99.4496       0.511911       0.384437E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.98        2500.00                 NaN   99.5374       0.430437       0.321896E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.52        2500.00                 NaN   99.5424       0.427118       0.305139E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.07        2500.00                 NaN   99.7016       0.217824       0.104523E-001  0.701132E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1501.62        2500.00                 NaN   99.2286       0.173006       0.129745E-005  0.598358                 NaN            NaN            NaN            NaN            NaN            NaN
  1500.16        2500.00                 NaN   99.3971                 NaN            NaN  0.602924                 NaN            NaN            NaN            NaN            NaN            NaN
  1498.71        2500.00                 NaN   99.3004       0.232918E-001            NaN  0.676331                 NaN            NaN            NaN            NaN            NaN            NaN
  1497.25        2500.00                 NaN   99.6605       0.249143E-001            NaN  0.314633                 NaN            NaN            NaN            NaN            NaN            NaN
  1495.80        2500.00                 NaN   99.2343                 NaN            NaN  0.765674                 NaN            NaN            NaN            NaN            NaN            NaN
  1494.35        2500.00                 NaN   99.3949                 NaN            NaN  0.605111                 NaN            NaN            NaN            NaN            NaN            NaN
  1492.89        2500.00                 NaN   99.3939                 NaN  0.277814E-005  0.606086                 NaN            NaN            NaN            NaN            NaN            NaN
  1491.44        2500.00                 NaN   99.3901                 NaN            NaN  0.609875                 NaN            NaN            NaN            NaN            NaN            NaN
  1489.98        2500.00                 NaN   98.9220                 NaN  0.458621E-001  0.785946       0.246198                 NaN            NaN            NaN            NaN            NaN
  1488.53        2500.00                 NaN   99.6960                 NaN            NaN  0.303962                 NaN            NaN            NaN            NaN            NaN            NaN
  1487.08        2500.00                 NaN   99.3839                 NaN            NaN  0.616080                 NaN            NaN            NaN            NaN            NaN            NaN
  1485.62        2500.00                 NaN   99.3814                 NaN            NaN  0.618634                 NaN            NaN            NaN            NaN            NaN            NaN
  1484.17        2500.00                 NaN   99.1460                 NaN            NaN  0.428453       0.425567                 NaN            NaN            NaN            NaN            NaN
  1482.71        2500.00                 NaN   99.0757                 NaN            NaN  0.563281       0.361035                 NaN            NaN            NaN            NaN            NaN
  1481.26        2500.00                 NaN   99.0838                 NaN            NaN  0.559195       0.356975                 NaN            NaN            NaN            NaN            NaN
  1479.81        2500.00                 NaN   99.2956                 NaN  0.133259E-004  0.273120       0.431252                 NaN            NaN            NaN            NaN            NaN
  1478.35        2500.00                 NaN   98.8944                 NaN            NaN  0.675482       0.430105                 NaN            NaN            NaN            NaN            NaN
  1476.90        2500.00                 NaN   99.1068                 NaN            NaN  0.347218       0.546009                 NaN            NaN            NaN            NaN            NaN
  1475.44        2500.00                 NaN   99.1140                 NaN            NaN  0.343108       0.542880                 NaN            NaN            NaN            NaN            NaN
  1473.99        2500.00                 NaN   99.2834                 NaN            NaN  0.438855       0.277733                 NaN            NaN            NaN            NaN            NaN
  1472.54        2500.00                 NaN   98.9634                 NaN            NaN  0.635429       0.401199                 NaN            NaN            NaN            NaN            NaN
  1471.08        2500.00                 NaN   99.1373                 NaN  0.128162E-004  0.528037       0.334667                 NaN            NaN            NaN            NaN            NaN
  1469.63        2500.00                 NaN   99.1424                 NaN            NaN  0.525964       0.331651                 NaN            NaN            NaN            NaN            NaN
  1468.18        2500.00                 NaN   99.1490                 NaN  0.979832E-006  0.328711       0.522248                 NaN            NaN            NaN            NaN            NaN
