|6.6.6
Archiving\03_Data\Deq/QFM_m4.75/WD94/WD94_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       iron           O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        2500.00        96.5684        3.43157                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        96.5349        3.46508                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        96.5014        3.49859                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        96.4679        3.53211                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        96.4344        3.56564                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        96.4008        3.59918                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        96.3673        3.63272                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        96.3337        3.66626                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        96.3002        3.69982                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        96.2674        3.73262                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        96.2346        3.76542                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        96.2018        3.79823                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        96.1690        3.83105                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        96.1361        3.86387                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        96.1033        3.89670                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        96.0705        3.92953                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        96.0376        3.96238                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        96.0055        3.99446                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        95.9735        4.02655                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        95.9414        4.05864                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        95.9093        4.09074                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        95.8771        4.12285                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        95.8450        4.15496                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        95.8129        4.18708                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        95.7808        4.21921                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        95.7491        4.25086                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        95.7175        4.28252                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        95.6859        4.31405                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        95.0658        4.31483       0.619389                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        94.3531        4.30667        1.34018                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        93.6405        4.29851        2.06094                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        92.9280        4.29035        2.78167                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        92.2154        4.28219        3.50236                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        91.5432        4.26606        4.19072                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        90.8711        4.24992        4.87901                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        90.1990        4.23379        5.56724                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        89.5269        4.21766        6.25540                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        88.8550        4.20153        6.94351                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        88.1830        4.18541        7.63155                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        87.5112        4.16928        8.31954                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        86.8394        4.15316        9.00746                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        86.1980        4.12908        9.67292                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        85.5567        4.10500        10.3383                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        84.9155        4.08093        11.0036                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        84.2744        4.05686        11.6688                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        81.9480        3.97210        14.0422       0.376701E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        81.7844        3.94774        14.2260       0.418369E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        81.7490        3.93806        14.2703       0.426533E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        81.7136        3.92838        14.3145       0.434697E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        81.0754        3.88509        14.9792       0.603520E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        2500.00        80.4373        3.84181        15.6436       0.772301E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        2500.00        79.7994        3.79854        16.3079       0.941041E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        2500.00        79.1617        3.75529        16.9721       0.110974                 NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        2500.00        78.5240        3.71204        17.6361       0.127840                 NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        2500.00        77.8866        3.66880        18.2999       0.144701                 NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        2500.00        77.2493        3.62558        18.9636       0.161559                 NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        2500.00        76.6122        3.58236        19.6271       0.178413                 NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        2500.00        75.9692        3.52319        20.3130       0.194593                 NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        2500.00        75.3264        3.46404        20.9988       0.210768                 NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        2500.00        74.6839        3.40491        21.6843       0.226937                 NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        2500.00        74.0415        3.34580        22.3696       0.243101                 NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        2500.00        73.3994        3.28671        23.0547       0.259260                 NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        2500.00        72.7575        3.22764        23.7395       0.275413                 NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        2500.00        72.1158        3.16859        24.4241       0.291561                 NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        2500.00        71.4743        3.10956        25.1085       0.307703                 NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        2500.00        70.8244        3.03624        25.8162       0.323131                 NaN            NaN            NaN            NaN            NaN            NaN
  1788.46        2500.00        70.1749        2.96296        26.5236       0.338553                 NaN            NaN            NaN            NaN            NaN            NaN
  1785.26        2500.00        69.5256        2.88970        27.2308       0.353968                 NaN            NaN            NaN            NaN            NaN            NaN
  1782.05        2500.00        68.8765        2.81648        27.9376       0.369377                 NaN            NaN            NaN            NaN            NaN            NaN
  1778.85        2500.00        68.2278        2.74329        28.6442       0.384779                 NaN            NaN            NaN            NaN            NaN            NaN
  1775.64        2500.00        67.5793        2.67012        29.3504       0.400175                 NaN            NaN            NaN            NaN            NaN            NaN
  1772.44        2500.00        66.9311        2.59699        30.0564       0.415565                 NaN            NaN            NaN            NaN            NaN            NaN
  1769.23        2500.00        66.2831        2.52389        30.7621       0.430948                 NaN            NaN            NaN            NaN            NaN            NaN
  1766.03        2500.00        65.6131        2.43200        31.5089       0.445941                 NaN            NaN            NaN            NaN            NaN            NaN
  1762.82        2500.00        64.9435        2.34016        32.2554       0.460925                 NaN            NaN            NaN            NaN            NaN            NaN
  1759.62        2500.00        64.2743        2.24836        33.0014       0.475902                 NaN            NaN            NaN            NaN            NaN            NaN
  1756.41        2500.00        63.6054        2.15661        33.7471       0.490871                 NaN            NaN            NaN            NaN            NaN            NaN
  1753.21        2500.00        62.9368        2.06492        34.4924       0.505832                 NaN            NaN            NaN            NaN            NaN            NaN
  1750.00        2500.00        62.2686        1.97326        35.2373       0.520785                 NaN            NaN            NaN            NaN            NaN            NaN
  1746.79        2500.00        61.6008        1.88166        35.9818       0.535731                 NaN            NaN            NaN            NaN            NaN            NaN
  1743.59        2500.00        60.9333        1.79010        36.7260       0.550669                 NaN            NaN            NaN            NaN            NaN            NaN
  1740.38        2500.00        60.2527        1.68075        37.5015       0.565055                 NaN            NaN            NaN            NaN            NaN            NaN
  1737.18        2500.00        59.5726        1.57147        38.2765       0.579433                 NaN            NaN            NaN            NaN            NaN            NaN
  1733.97        2500.00        58.8928        1.46225        39.0511       0.593802                 NaN            NaN            NaN            NaN            NaN            NaN
  1730.77        2500.00        58.2135        1.35311        39.8252       0.608162                 NaN            NaN            NaN            NaN            NaN            NaN
  1727.56        2500.00        57.5347        1.24403        40.5988       0.622513                 NaN            NaN            NaN            NaN            NaN            NaN
  1724.36        2500.00        56.8562        1.13501        41.3719       0.636856                 NaN            NaN            NaN            NaN            NaN            NaN
  1721.15        2500.00        56.1782        1.02607        42.1446       0.651189                 NaN            NaN            NaN            NaN            NaN            NaN
  1717.95        2500.00        55.5006       0.917193        42.9167       0.665513                 NaN            NaN            NaN            NaN            NaN            NaN
  1714.74        2500.00        54.8184       0.793680        43.7084       0.679472                 NaN            NaN            NaN            NaN            NaN            NaN
  1711.54        2500.00        54.1368       0.670254        44.4995       0.693421                 NaN            NaN            NaN            NaN            NaN            NaN
  1708.33        2500.00        53.4556       0.546914        45.2901       0.707361                 NaN            NaN            NaN            NaN            NaN            NaN
  1705.13        2500.00        52.7750       0.423661        46.0801       0.721290                 NaN            NaN            NaN            NaN            NaN            NaN
  1701.92        2500.00        52.0994       0.294795        46.8706       0.735254                 NaN            NaN            NaN            NaN            NaN            NaN
  1698.72        2500.00        51.4243       0.166024        47.6605       0.749207                 NaN            NaN            NaN            NaN            NaN            NaN
  1695.51        2500.00        50.7591       0.377953E-001   48.4405       0.762581                 NaN            NaN            NaN            NaN            NaN            NaN
  1692.31        2500.00        50.1879                 NaN   49.0381       0.773984                 NaN            NaN            NaN            NaN            NaN            NaN
  1689.10        2500.00        49.6886                 NaN   49.5275       0.783887                 NaN            NaN            NaN            NaN            NaN            NaN
  1685.90        2500.00        49.1893                 NaN   50.0169       0.793790                 NaN            NaN            NaN            NaN            NaN            NaN
  1682.69        2500.00        48.6899                 NaN   50.5064       0.803693                 NaN            NaN            NaN            NaN            NaN            NaN
  1679.49        2500.00        48.1906                 NaN   50.9958       0.813596                 NaN            NaN            NaN            NaN            NaN            NaN
  1676.28        2500.00        47.6912                 NaN   51.4853       0.823500                 NaN            NaN            NaN            NaN            NaN            NaN
  1673.08        2500.00        47.1919                 NaN   51.9747       0.833403                 NaN            NaN            NaN            NaN            NaN            NaN
  1669.87        2500.00        46.6926                 NaN   52.4641       0.843306                 NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        46.1932                 NaN   52.9536       0.853210                 NaN            NaN            NaN            NaN            NaN            NaN
  1663.46        2500.00        45.7543                 NaN   53.3090       0.856640       0.799820E-001            NaN            NaN            NaN            NaN            NaN
  1660.26        2500.00        44.6238                 NaN   53.6631       0.860902       0.852213                 NaN            NaN            NaN            NaN            NaN
  1657.05        2500.00        43.3957                 NaN   53.8248       0.855717        1.92381                 NaN            NaN            NaN            NaN            NaN
  1653.85        2500.00        42.1676                 NaN   53.9864       0.850533        2.99541                 NaN            NaN            NaN            NaN            NaN
  1650.64        2500.00        41.0800                 NaN   54.1291       0.844524        3.94636                 NaN            NaN            NaN            NaN            NaN
  1647.44        2500.00        39.9924                 NaN   54.2718       0.838515        4.89732                 NaN            NaN            NaN            NaN            NaN
  1644.23        2500.00        38.9048                 NaN   54.4144       0.832506        5.84828                 NaN            NaN            NaN            NaN            NaN
  1641.03        2500.00        37.8172                 NaN   54.5571       0.826497        6.79924                 NaN            NaN            NaN            NaN            NaN
  1637.82        2500.00        36.9649                 NaN   54.6578       0.819607        7.55770                 NaN            NaN            NaN            NaN            NaN
  1634.62        2500.00        36.1126                 NaN   54.7586       0.812717        8.31617                 NaN            NaN            NaN            NaN            NaN
  1631.41        2500.00        35.2602                 NaN   54.8593       0.805827        9.07464                 NaN            NaN            NaN            NaN            NaN
  1628.21        2500.00        34.4079                 NaN   54.9600       0.798937        9.83310                 NaN            NaN            NaN            NaN            NaN
  1625.00        2500.00        33.5556                 NaN   55.0608       0.792046        10.5916                 NaN            NaN            NaN            NaN            NaN
  1621.79        2500.00        32.7033                 NaN   55.1615       0.785156        11.3500                 NaN            NaN            NaN            NaN            NaN
  1618.59        2500.00        31.8510                 NaN   55.2623       0.778266        12.1085                 NaN            NaN            NaN            NaN            NaN
  1615.38        2500.00        30.9986                 NaN   55.3630       0.771376        12.8670                 NaN            NaN            NaN            NaN            NaN
  1612.18        2500.00        30.3529                 NaN   55.4299       0.763434        13.4537                 NaN            NaN            NaN            NaN            NaN
  1608.97        2500.00        29.7072                 NaN   55.4968       0.755492        14.0405                 NaN            NaN            NaN            NaN            NaN
  1605.77        2500.00        29.0615                 NaN   55.5638       0.747550        14.6272                 NaN            NaN            NaN            NaN            NaN
  1602.56        2500.00        28.4158                 NaN   55.6307       0.739608        15.2140                 NaN            NaN            NaN            NaN            NaN
  1599.36        2500.00        27.7700                 NaN   55.6976       0.731666        15.8007                 NaN            NaN            NaN            NaN            NaN
  1596.15        2500.00        27.1243                 NaN   55.7645       0.723724        16.3875                 NaN            NaN            NaN            NaN            NaN
  1592.95        2500.00        26.4786                 NaN   55.8314       0.715782        16.9742                 NaN            NaN            NaN            NaN            NaN
  1589.74        2500.00        25.8329                 NaN   55.8983       0.707840        17.5609                 NaN            NaN            NaN            NaN            NaN
  1586.54        2500.00        25.3156                 NaN   55.9440       0.698916        18.0415                 NaN            NaN            NaN            NaN            NaN
  1583.33        2500.00        24.7983                 NaN   55.9897       0.689991        18.5221                 NaN            NaN            NaN            NaN            NaN
  1580.13        2500.00        24.2810                 NaN   56.0353       0.681066        19.0026                 NaN            NaN            NaN            NaN            NaN
  1576.92        2500.00        23.7637                 NaN   56.0810       0.672142        19.4832                 NaN            NaN            NaN            NaN            NaN
  1573.72        2500.00        23.2464                 NaN   56.1266       0.663217        19.9638                 NaN            NaN            NaN            NaN            NaN
  1570.51        2500.00        22.7291                 NaN   56.1723       0.654293        20.4443                 NaN            NaN            NaN            NaN            NaN
  1567.31        2500.00        22.2118                 NaN   56.2180       0.645368        20.9249                 NaN            NaN            NaN            NaN            NaN
  1564.10        2500.00        21.6944                 NaN   56.2636       0.636443        21.4055                 NaN            NaN            NaN            NaN            NaN
  1560.90        2500.00        21.2508                 NaN   56.2995       0.625828        21.8238                 NaN            NaN            NaN            NaN            NaN
  1557.69        2500.00        20.8072                 NaN   56.3354       0.615213        22.2421                 NaN            NaN            NaN            NaN            NaN
  1554.49        2500.00        20.3636                 NaN   56.3713       0.604598        22.6604                 NaN            NaN            NaN            NaN            NaN
  1551.28        2500.00        19.9200                 NaN   56.4072       0.593984        23.0787                 NaN            NaN            NaN            NaN            NaN
  1548.08        2500.00        19.4764                 NaN   56.4431       0.583369        23.4971                 NaN            NaN            NaN            NaN            NaN
  1544.87        2500.00        19.0328                 NaN   56.4790       0.572754        23.9154                 NaN            NaN            NaN            NaN            NaN
  1541.67        2500.00        18.5892                 NaN   56.5149       0.562139        24.3337                 NaN            NaN            NaN            NaN            NaN
  1538.46        2500.00        18.1456                 NaN   56.5508       0.551523        24.7520                 NaN            NaN            NaN            NaN            NaN
  1535.26        2500.00        17.7540                 NaN   56.5792       0.539447        25.1274                 NaN            NaN            NaN            NaN            NaN
  1532.05        2500.00        17.3623                 NaN   56.6075       0.527370        25.5028                 NaN            NaN            NaN            NaN            NaN
  1528.85        2500.00        16.9707                 NaN   56.6358       0.515294        25.8782                 NaN            NaN            NaN            NaN            NaN
  1525.64        2500.00        16.5791                 NaN   56.6641       0.503217        26.2536                 NaN            NaN            NaN            NaN            NaN
  1522.44        2500.00        16.1874                 NaN   56.6925       0.491141        26.6290                 NaN            NaN            NaN            NaN            NaN
  1519.23        2500.00        15.7958                 NaN   56.7208       0.479064        27.0043                 NaN            NaN            NaN            NaN            NaN
  1516.03        2500.00        15.4041                 NaN   56.7491       0.466988        27.3797                 NaN            NaN            NaN            NaN            NaN
  1512.82        2500.00        15.0125                 NaN   56.7775       0.454911        27.7551                 NaN            NaN            NaN            NaN            NaN
  1509.62        2500.00        14.6625                 NaN   56.8002       0.442702        28.0946                 NaN            NaN            NaN            NaN            NaN
  1506.41        2500.00        14.3125                 NaN   56.8229       0.430492        28.4341                 NaN            NaN            NaN            NaN            NaN
  1503.21        2500.00        13.9624                 NaN   56.8456       0.418283        28.7737                 NaN            NaN            NaN            NaN            NaN
  1500.00        2500.00        13.6124                 NaN   56.8684       0.406074        29.1132                 NaN            NaN            NaN            NaN            NaN
  1496.79        2500.00        13.1625                 NaN   56.8991       0.394134        29.4616       0.827400E-001            NaN            NaN            NaN            NaN
  1493.59        2500.00        12.5485                 NaN   56.9255       0.398080        29.5163       0.611630                 NaN            NaN            NaN            NaN
  1490.38        2500.00        11.9602                 NaN   56.9419       0.404039        29.5715        1.12237                 NaN            NaN            NaN            NaN
  1487.18        2500.00        11.3720                 NaN   56.9583       0.409998        29.6266        1.63311                 NaN            NaN            NaN            NaN
  1483.97        2500.00        10.8448                 NaN   56.9611       0.418655        29.6731        2.10242                 NaN            NaN            NaN            NaN
  1480.77        2500.00        10.3016                 NaN   56.9616       0.429310        29.7106       0.168669E-001   2.58000                 NaN            NaN            NaN
  1477.56        2500.00        10.3016                 NaN   56.9616       0.429310        29.7106       0.168669E-001   2.58000                 NaN            NaN            NaN
  1474.36        2500.00        9.22881                 NaN   56.9091       0.475140        29.2576        3.39526       0.734109                 NaN            NaN            NaN
  1471.15        2500.00        9.22881                 NaN   56.9091       0.475140        29.2576        3.39526       0.734109                 NaN            NaN            NaN
  1467.95        2500.00        9.22881                 NaN   56.9091       0.475140        29.2576        3.39526       0.734109                 NaN            NaN            NaN
  1464.74        2500.00        9.22881                 NaN   56.9091       0.475140        29.2576        3.39526       0.734109                 NaN            NaN            NaN
  1461.54        2500.00        7.35690                 NaN   56.8101       0.563997        28.6412        4.84461        1.78321                 NaN            NaN            NaN
  1458.33        2500.00        7.35690                 NaN   56.8101       0.563997        28.6412        4.84461        1.78321                 NaN            NaN            NaN
  1455.13        2500.00        7.35690                 NaN   56.8101       0.563997        28.6412        4.84461        1.78321                 NaN            NaN            NaN
  1451.92        2500.00        7.35690                 NaN   56.8101       0.563997        28.6412        4.84461        1.78321                 NaN            NaN            NaN
  1448.72        2500.00        5.91247                 NaN   56.6783       0.649745        28.3268        5.99411        2.43857                 NaN            NaN            NaN
  1445.51        2500.00        5.91247                 NaN   56.6783       0.649745        28.3268        5.99411        2.43857                 NaN            NaN            NaN
  1442.31        2500.00        5.26619                 NaN   56.6197       0.688859        28.2467        6.51130        2.66720                 NaN            NaN            NaN
  1439.10        2500.00        5.03629                 NaN   56.5753       0.711803        28.2002        6.70018        2.77621                 NaN            NaN            NaN
  1435.90        2500.00        4.78223                 NaN   56.5430       0.730637        28.1615        2.87809        6.89589       0.868864E-002            NaN            NaN
  1432.69        2500.00        4.78223                 NaN   56.5430       0.730637        28.1615        2.87809        6.89589       0.868864E-002            NaN            NaN
  1429.49        2500.00        4.78223                 NaN   56.5430       0.730637        28.1615        2.87809        6.89589       0.868864E-002            NaN            NaN
  1426.28        2500.00        4.78223                 NaN   56.5430       0.730637        28.1615        2.87809        6.89589       0.868864E-002            NaN            NaN
  1423.08        2500.00        4.78223                 NaN   56.5430       0.730637        28.1615        2.87809        6.89589       0.868864E-002            NaN            NaN
  1419.87        2500.00        4.78223                 NaN   56.5430       0.730637        28.1615        2.87809        6.89589       0.868864E-002            NaN            NaN
  1416.67        2500.00        4.78223                 NaN   56.5430       0.730637        28.1615        2.87809        6.89589       0.868864E-002            NaN            NaN
  1413.46        2500.00        4.78223                 NaN   56.5430       0.730637        28.1615        2.87809        6.89589       0.868864E-002            NaN            NaN
  1410.26        2500.00        2.89050                 NaN   56.7082       0.798161        27.4787        7.47974        3.93888       0.705798                 NaN            NaN
  1407.05        2500.00        2.89050                 NaN   56.7082       0.798161        27.4787        7.47974        3.93888       0.705798                 NaN            NaN
  1403.85        2500.00        2.89050                 NaN   56.7082       0.798161        27.4787        7.47974        3.93888       0.705798                 NaN            NaN
  1400.64        2500.00        2.89050                 NaN   56.7082       0.798161        27.4787        7.47974        3.93888       0.705798                 NaN            NaN
  1397.44        2500.00        2.89050                 NaN   56.7082       0.798161        27.4787        7.47974        3.93888       0.705798                 NaN            NaN
  1394.23        2500.00        2.89050                 NaN   56.7082       0.798161        27.4787        7.47974        3.93888       0.705798                 NaN            NaN
  1391.03        2500.00        2.89050                 NaN   56.7082       0.798161        27.4787        7.47974        3.93888       0.705798                 NaN            NaN
  1387.82        2500.00        2.89050                 NaN   56.7082       0.798161        27.4787        7.47974        3.93888       0.705798                 NaN            NaN
  1384.62        2500.00        1.79294                 NaN   56.7410       0.862537        27.0083        4.61853        7.80956        1.16713                 NaN            NaN
