|6.6.6
Archiving\03_Data\Deqfrac/QFM_m4.75/WD94/WD94_3.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             iron           San(TH)        ilm            q             
  1637.82        2500.00        99.8116                 NaN  0.347291E-001  0.153698                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.22        2500.00        99.0067                 NaN  0.868309       0.125022                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.62        2500.00        99.0178                 NaN  0.858275       0.123884                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1633.02        2500.00        99.0227                 NaN  0.856483       0.120858                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.43        2500.00        99.0454                 NaN  0.834580       0.119975                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.83        2500.00        99.4453                 NaN  0.489064       0.656197E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1628.23        2500.00        98.6667                 NaN   1.16427       0.169005                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.63        2500.00        99.0742                 NaN  0.810245       0.115603                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1625.03        2500.00        99.0846                 NaN  0.801350       0.114019                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1623.43        2500.00        99.0921                 NaN  0.795846       0.112086                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.83        2500.00        99.1049                 NaN  0.784609       0.110472                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1620.24        2500.00        99.1125                 NaN  0.777527       0.109950                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1618.64        2500.00        99.1257                 NaN  0.761759       0.112577                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1617.04        2500.00        99.1339                 NaN  0.764470       0.101581                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1615.44        2500.00        99.1422                 NaN  0.753457       0.104382                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1613.84        2500.00        99.1510                 NaN  0.745840       0.103125                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1612.24        2500.00        99.1606                 NaN  0.737964       0.101418                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.64        2500.00        99.1695                 NaN  0.728977       0.101528                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.05        2500.00        99.1786                 NaN  0.722763       0.986162E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.45        2500.00        99.1865                 NaN  0.716444       0.970520E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1605.85        2500.00        99.1953                 NaN  0.708657       0.960194E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.25        2500.00        99.2035                 NaN  0.701863       0.946764E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1602.65        2500.00        99.2112                 NaN  0.695834       0.930124E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.05        2500.00        99.2181                 NaN  0.690069       0.918678E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.45        2500.00        99.2290                 NaN  0.680440       0.905994E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1597.86        2500.00        99.2286                 NaN  0.684322       0.870404E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.26        2500.00        99.2456                 NaN  0.666639       0.877220E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1594.66        2500.00        99.2493                 NaN  0.663770       0.869071E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.06        2500.00        99.2586                 NaN  0.655506       0.858734E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.46        2500.00        99.2641                 NaN  0.652035       0.838455E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1589.86        2500.00        99.2635                 NaN  0.650322       0.861400E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.27        2500.00        98.6003                 NaN   1.24236       0.157361                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.67        2500.00        99.9770                 NaN  0.155347E-001  0.750821E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.07        2500.00        99.2918                 NaN  0.633823       0.743768E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.47        2500.00        99.2986                 NaN  0.622814       0.785915E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.87        2500.00        99.3050                 NaN  0.617911       0.770656E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.27        2500.00        99.3121                 NaN  0.611622       0.763123E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.67        2500.00        99.3161                 NaN  0.608428       0.755069E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.08        2500.00        99.3257                 NaN  0.600307       0.739739E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.48        2500.00        99.3308                 NaN  0.596019       0.731401E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.88        2500.00        99.3358                 NaN  0.592819       0.713696E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.28        2500.00        99.5514                 NaN  0.400703       0.479153E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.68        2500.00        99.1368                 NaN  0.772366       0.907950E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.08        2500.00        99.3533                 NaN  0.567645       0.790233E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.48        2500.00        99.3581                 NaN  0.586135       0.558122E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.89        2500.00        99.5832                 NaN  0.373039       0.438040E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.29        2500.00        99.1505                 NaN  0.762889       0.865810E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.69        2500.00        99.3748                 NaN  0.561044       0.641370E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.09        2500.00        99.3188                 NaN  0.611848       0.693755E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
