|6.6.6
Archiving\03_Data\eqfrac/QFM_m1/YM20/YM20_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         Sp(TH)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ne             lc             ilm           
  1576.92        2500.00       0.742897E-003            NaN            NaN   99.6499       0.348059       0.125763E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.47        2500.00                 NaN            NaN            NaN   99.4228       0.548232       0.289508E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.03        2500.00                 NaN            NaN            NaN   99.4240       0.514689       0.613349E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.58        2500.00                 NaN            NaN            NaN   99.4280       0.511462       0.605446E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.14        2500.00                 NaN            NaN            NaN   99.4231       0.516554       0.603467E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.69        2500.00                 NaN            NaN            NaN   99.4465       0.496171       0.573751E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.24        2500.00                 NaN            NaN            NaN   99.4425       0.499357       0.580988E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.80        2500.00                 NaN            NaN            NaN   99.4470       0.495550       0.574812E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.35        2500.00                 NaN            NaN            NaN   99.4515       0.492177       0.563114E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        2500.00                 NaN            NaN            NaN   99.4556       0.489017       0.553538E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.46        2500.00                 NaN            NaN            NaN   99.4604       0.485021       0.546147E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.01        2500.00                 NaN            NaN            NaN   99.4641       0.480784       0.550805E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.57        2500.00                 NaN            NaN            NaN   99.4715       0.475159       0.533646E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.12        2500.00                 NaN            NaN            NaN   99.4738       0.473780       0.523835E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.68        2500.00                 NaN            NaN            NaN   99.4770       0.471383       0.515884E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.23        2500.00                 NaN            NaN            NaN   99.4815       0.467439       0.510690E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.79        2500.00                 NaN            NaN            NaN   99.4270       0.514073       0.589556E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.34        2500.00                 NaN            NaN            NaN   99.5556       0.400328       0.440743E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
