|6.6.6
Archiving\03_Data\eqfrac/QFM_m1/YM20/YM20_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         Sp(TH)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ne             lc             ilm           
  1576.92        2500.00       0.115198E-002            NaN            NaN   99.5991       0.398297       0.147126E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.47        2500.00                 NaN            NaN            NaN   99.3388       0.627295       0.338673E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.03        2500.00                 NaN            NaN            NaN   99.3391       0.589085       0.717809E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.58        2500.00                 NaN            NaN            NaN   99.3435       0.585587       0.708924E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.14        2500.00                 NaN            NaN            NaN   99.3377       0.591626       0.706972E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.69        2500.00                 NaN            NaN            NaN   99.3644       0.568387       0.672391E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.24        2500.00                 NaN            NaN            NaN   99.3597       0.572226       0.681140E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.80        2500.00                 NaN            NaN            NaN   99.3645       0.568076       0.674205E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.35        2500.00                 NaN            NaN            NaN   99.3696       0.564307       0.660739E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        2500.00                 NaN            NaN            NaN   99.3742       0.560804       0.649640E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.46        2500.00                 NaN            NaN            NaN   99.3795       0.556397       0.641302E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.01        2500.00                 NaN            NaN            NaN   99.3837       0.551647       0.646919E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.57        2500.00                 NaN            NaN            NaN   99.3918       0.545465       0.627156E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.12        2500.00                 NaN            NaN            NaN   99.3945       0.543930       0.615835E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.68        2500.00                 NaN            NaN            NaN   99.3979       0.541376       0.606818E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.23        2500.00                 NaN            NaN            NaN   99.4029       0.537039       0.600983E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.79        2500.00                 NaN            NaN            NaN   99.3400       0.590658       0.693812E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.34        2500.00                 NaN            NaN            NaN   99.4878       0.460246       0.519117E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.89        2500.00                 NaN            NaN            NaN   99.4126       0.531576       0.558015E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.45        2500.00                 NaN            NaN            NaN   99.4231       0.519984       0.569537E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.00        2500.00                 NaN            NaN            NaN   99.4246       0.518752       0.566360E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.56        2500.00                 NaN            NaN            NaN   99.4280       0.516973       0.550343E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.11        2500.00                 NaN            NaN            NaN   99.4353       0.497787       0.669033E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.66        2500.00                 NaN            NaN            NaN   99.4360       0.523762       0.402607E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.22        2500.00                 NaN            NaN            NaN   99.4420       0.497788       0.602477E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.77        2500.00                 NaN            NaN            NaN   99.4450       0.511364       0.436001E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.33        2500.00                 NaN            NaN            NaN   99.4493       0.508484       0.421999E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.88        2500.00                 NaN            NaN            NaN   99.4528       0.487376       0.597981E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.43        2500.00                 NaN            NaN            NaN   99.4570       0.493727       0.493140E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.99        2500.00                 NaN            NaN            NaN   99.4600       0.491176       0.488104E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.54        2500.00                 NaN            NaN            NaN   99.4640       0.488177       0.478213E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.10        2500.00                 NaN            NaN            NaN   99.4644       0.489859       0.457719E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.65        2500.00                 NaN            NaN            NaN   99.4724       0.482155       0.454527E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.20        2500.00                 NaN            NaN            NaN   99.4732       0.482423       0.443772E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.76        2500.00                 NaN            NaN            NaN   99.4677       0.490557       0.417478E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.31        2500.00                 NaN            NaN            NaN   99.4816       0.477779       0.406339E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.87        2500.00                 NaN            NaN            NaN   99.4717       0.479771       0.484949E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.42        2500.00                 NaN            NaN            NaN   99.5018       0.467620       0.305441E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.98        2500.00                 NaN            NaN            NaN   99.4897       0.456899       0.534191E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.53        2500.00                 NaN            NaN            NaN   99.4924       0.474227       0.333441E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.08        2500.00                 NaN            NaN            NaN   99.4323       0.522781       0.449091E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.64        2500.00                 NaN            NaN            NaN   99.7100       0.267220       0.227618E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.19        2500.00                 NaN            NaN            NaN   99.3573       0.573992       0.686639E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.75        2500.00                 NaN            NaN            NaN   99.5047       0.478795       0.164652E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.30        2500.00                 NaN            NaN            NaN   99.5064       0.459071       0.345764E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.85        2500.00                 NaN            NaN            NaN   99.5950       0.376163       0.288114E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.41        2500.00                 NaN            NaN            NaN   99.4277       0.532815       0.395295E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.96        2500.00                 NaN            NaN            NaN   99.9974                 NaN  0.257521E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.52        2500.00                 NaN            NaN            NaN   99.0388       0.898767       0.624168E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.07        2500.00                 NaN            NaN            NaN   99.5208       0.447514       0.316519E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.62        2500.00                 NaN            NaN            NaN   99.5242       0.444123       0.316793E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.18        2500.00                 NaN            NaN            NaN   99.5264       0.443787       0.298306E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.73        2500.00                 NaN            NaN            NaN   99.5286       0.442084       0.293012E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.29        2500.00                 NaN            NaN            NaN   99.5289       0.443993       0.270692E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.84        2500.00                 NaN            NaN            NaN   99.5342       0.438980       0.268418E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.39        2500.00                 NaN            NaN            NaN   99.5337       0.441576       0.247256E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.95        2500.00                 NaN            NaN            NaN   99.5378       0.436692       0.255547E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.50        2500.00                 NaN            NaN            NaN   99.5392       0.436612       0.242338E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.06        2500.00                 NaN            NaN            NaN   99.5401       0.437209       0.226663E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.61        2500.00                 NaN            NaN            NaN   99.5451       0.431601       0.233086E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.17        2500.00                 NaN            NaN            NaN   99.5448       0.434014       0.211622E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.72        2500.00                 NaN            NaN            NaN   99.5455       0.434499       0.200155E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.27        2500.00                 NaN            NaN            NaN   99.5500       0.430162       0.198756E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.83        2500.00                 NaN            NaN            NaN   99.4618       0.105921       0.361886E-001  0.396100                 NaN            NaN            NaN            NaN            NaN            NaN
  1484.38        2500.00                 NaN            NaN            NaN   99.0221                 NaN            NaN  0.289999       0.687922                 NaN            NaN            NaN            NaN            NaN
  1482.94        2500.00                 NaN            NaN            NaN   99.3336       0.136696                 NaN  0.120430       0.409228                 NaN            NaN            NaN            NaN            NaN
  1481.49        2500.00                 NaN            NaN            NaN   99.0589       0.143205E-001            NaN  0.558625       0.368175                 NaN            NaN            NaN            NaN            NaN
  1480.04        2500.00                 NaN            NaN            NaN   99.0691                 NaN  0.720368E-002  0.368819       0.554839                 NaN            NaN            NaN            NaN            NaN
  1478.60        2500.00                 NaN            NaN            NaN   99.0782                 NaN  0.287271E-001  0.558538       0.334550                 NaN            NaN            NaN            NaN            NaN
  1477.15        2500.00                 NaN            NaN            NaN   99.0872                 NaN  0.302763E-001  0.554253       0.328249                 NaN            NaN            NaN            NaN            NaN
  1475.71        2500.00                 NaN            NaN            NaN   99.0936                 NaN  0.292496E-001  0.550215       0.326982                 NaN            NaN            NaN            NaN            NaN
  1474.26        2500.00                 NaN            NaN            NaN   99.1014       0.347045E-002  0.278865E-001  0.321982       0.545300                 NaN            NaN            NaN            NaN            NaN
  1472.81        2500.00                 NaN            NaN            NaN   99.1079       0.253871E-001  0.257985E-001  0.297698       0.543215                 NaN            NaN            NaN            NaN            NaN
  1471.37        2500.00                 NaN            NaN            NaN   99.1158       0.229244E-001  0.247587E-001  0.537962       0.298593                 NaN            NaN            NaN            NaN            NaN
  1469.92        2500.00                 NaN            NaN            NaN   99.1187       0.272854E-001  0.569922E-002  0.529238       0.319028                 NaN            NaN            NaN            NaN            NaN
