|6.6.6
Archiving\03_Data\eqLP/QFM_m4.5/TAY13/TAY13_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       mang           iron           Ni             O(HP)          pxmn           Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        500.000        99.6696       0.261375       0.604753E-001  0.856509E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        99.6535       0.261436       0.765300E-001  0.856674E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        99.6373       0.261497       0.925919E-001  0.856838E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        99.6212       0.261558       0.108661       0.857003E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        99.6051       0.261619       0.124738       0.857168E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        99.5889       0.261680       0.140821       0.857332E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        99.5728       0.261741       0.156912       0.857497E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        99.5566       0.261802       0.173010       0.857662E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        99.5404       0.261863       0.189116       0.857827E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        99.5245       0.261924       0.204989       0.857990E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        99.5086       0.261984       0.220868       0.858153E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        99.4926       0.262044       0.236755       0.858316E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        99.4767       0.262105       0.252649       0.858479E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        99.4607       0.262165       0.268550       0.858642E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        99.4447       0.262225       0.284458       0.858805E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        99.4288       0.262286       0.300373       0.858969E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        99.4128       0.262346       0.316296       0.859132E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        99.3970       0.262406       0.331967       0.859293E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        99.3813       0.262465       0.347645       0.859454E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000        99.3655       0.262525       0.363329       0.859616E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000        99.3498       0.262585       0.379021       0.859777E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000        99.3340       0.262645       0.394720       0.859938E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000        99.3183       0.262704       0.410425       0.860100E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000        99.3025       0.262764       0.426138       0.860261E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        500.000        99.2867       0.262824       0.441857       0.860423E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000        99.2711       0.262883       0.457425       0.860583E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        500.000        99.2555       0.262942       0.473000       0.860743E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        500.000        99.2399       0.263001       0.488530       0.860903E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        500.000        99.0115       0.263086       0.499544       0.851578E-002  0.217308                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        500.000        98.2310       0.263233       0.497298       0.816541E-002   1.00034                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        500.000        97.4495       0.263380       0.495049       0.781466E-002   1.78429                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        500.000        96.6671       0.263526       0.492796       0.746353E-002   2.56915                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        500.000        95.8837       0.263672       0.490540       0.711203E-002   3.35493                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        500.000        95.1342       0.263807       0.485936       0.675533E-002   4.10934                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        500.000        94.3838       0.263942       0.481328       0.639828E-002   4.86456                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        500.000        93.6326       0.264077       0.476713       0.604088E-002   5.62059                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        500.000        92.8806       0.264211       0.472093       0.568314E-002   6.37742                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        500.000        92.1498       0.264337       0.465660       0.532030E-002   7.11484                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        500.000        91.4184       0.264464       0.459221       0.495714E-002   7.85299                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        500.000        90.5887       0.247944       0.456657       0.455830E-002   8.65906       0.430355E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        500.000        88.2811                 NaN  0.519579       0.370109E-002   10.5110       0.684545                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
