|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4.25/LAR/LAR_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          an             San(TH)        ilm            q             
  1400.64        500.000        99.9672       0.920905E-002            NaN            NaN  0.235995E-001            NaN            NaN            NaN            NaN
  1399.64        500.000        99.1014       0.124102       0.349033                 NaN  0.120176       0.305263                 NaN            NaN            NaN
  1398.63        500.000        98.9963       0.303188       0.319089                 NaN  0.465196E-001  0.334898                 NaN            NaN            NaN
  1397.63        500.000        98.2358       0.438379       0.563713                 NaN  0.157791       0.604343                 NaN            NaN            NaN
  1396.62        500.000        99.8196       0.570728E-001  0.481474E-001            NaN  0.142901E-001  0.609110E-001            NaN            NaN            NaN
  1395.62        500.000        99.0364       0.303568       0.260041                 NaN  0.727970E-001  0.327200                 NaN            NaN            NaN
  1394.62        500.000        99.0477       0.254847       0.300627                 NaN  0.731725E-001  0.323656                 NaN            NaN            NaN
  1393.61        500.000        99.0591       0.297831       0.249628                 NaN  0.733979E-001  0.320006                 NaN            NaN            NaN
  1392.61        500.000        99.0666       0.296466       0.245108                 NaN  0.740343E-001  0.317782                 NaN            NaN            NaN
  1391.60        500.000        99.0854       0.238717       0.290704                 NaN  0.736088E-001  0.311584                 NaN            NaN            NaN
  1390.60        500.000        99.0906       0.234742       0.290125                 NaN  0.744186E-001  0.310094                 NaN            NaN            NaN
  1389.59        500.000        99.1010       0.287737       0.229658                 NaN  0.747548E-001  0.306891                 NaN            NaN            NaN
  1388.59        500.000        99.1143       0.226644       0.283120                 NaN  0.738207E-001  0.302158                 NaN            NaN            NaN
  1387.59        500.000        99.1256       0.280863       0.220033                 NaN  0.746487E-001  0.298851                 NaN            NaN            NaN
  1386.58        500.000        99.1336       0.216356       0.278980                 NaN  0.748666E-001  0.296215                 NaN            NaN            NaN
  1385.58        500.000        99.1432       0.276689       0.211910                 NaN  0.750266E-001  0.293173                 NaN            NaN            NaN
  1384.57        500.000        99.1534       0.207332       0.274055                 NaN  0.753047E-001  0.289890                 NaN            NaN            NaN
  1383.57        500.000        99.1626       0.202750       0.272050                 NaN  0.755920E-001  0.287000                 NaN            NaN            NaN
  1382.57        500.000        99.1702       0.197586       0.270973                 NaN  0.763312E-001  0.284940                 NaN            NaN            NaN
  1381.56        500.000        99.1792       0.266119       0.199077                 NaN  0.740748E-001  0.281540                 NaN            NaN            NaN
  1380.56        500.000        99.1941       0.263978       0.188643                 NaN  0.765017E-001  0.276778                 NaN            NaN            NaN
  1379.55        500.000        99.2009       0.187032       0.261964                 NaN  0.757366E-001  0.274376                 NaN            NaN            NaN
  1378.55        500.000        99.2081       0.182862       0.260615                 NaN  0.761736E-001  0.272265                 NaN            NaN            NaN
  1377.55        500.000        99.2172       0.179440       0.258031                 NaN  0.761348E-001  0.269202                 NaN            NaN            NaN
  1376.54        500.000        99.2251       0.256490       0.175305                 NaN  0.763222E-001  0.266803                 NaN            NaN            NaN
  1375.54        500.000        99.2345       0.253749       0.171795                 NaN  0.763590E-001  0.263601                 NaN            NaN            NaN
  1374.53        500.000        99.2417       0.253117       0.165223                 NaN  0.779352E-001  0.262010                 NaN            NaN            NaN
  1373.53        500.000        99.2519       0.248275       0.166757                 NaN  0.754577E-001  0.257624                 NaN            NaN            NaN
  1372.52        500.000        99.2576       0.249010       0.160058                 NaN  0.771001E-001  0.256252                 NaN            NaN            NaN
  1371.52        500.000        99.2670       0.245236       0.159167                 NaN  0.758650E-001  0.252780                 NaN            NaN            NaN
  1370.52        500.000        99.2731       0.244509       0.154785                 NaN  0.766194E-001  0.250967                 NaN            NaN            NaN
  1369.51        500.000        99.2817       0.151531       0.241934                 NaN  0.766409E-001  0.248153                 NaN            NaN            NaN
  1368.51        500.000        99.2889       0.148823       0.240082                 NaN  0.764922E-001  0.245752                 NaN            NaN            NaN
  1367.50        500.000        99.2959       0.238559       0.145396                 NaN  0.765984E-001  0.243502                 NaN            NaN            NaN
  1366.50        500.000        98.0237       0.666581       0.404796                 NaN  0.220191       0.684745                 NaN            NaN            NaN
  1365.50        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1364.49        500.000        99.9274       0.270809E-001  0.126814E-001            NaN  0.831241E-002  0.245747E-001            NaN            NaN            NaN
  1363.49        500.000        99.3246       0.133607       0.231405                 NaN  0.764422E-001  0.233939                 NaN            NaN            NaN
  1362.48        500.000        99.3314       0.130702       0.229799                 NaN  0.764443E-001  0.231702                 NaN            NaN            NaN
  1361.48        500.000        99.3380       0.228430       0.127110                 NaN  0.768031E-001  0.229659                 NaN            NaN            NaN
  1360.48        500.000        99.3452       0.225743       0.126690                 NaN  0.755369E-001  0.226864                 NaN            NaN            NaN
  1359.47        500.000        99.3512       0.122977       0.224694                 NaN  0.760627E-001  0.225055                 NaN            NaN            NaN
  1358.47        500.000        99.3577       0.222998       0.120588                 NaN  0.758412E-001  0.222876                 NaN            NaN            NaN
  1357.46        500.000        99.3644       0.117903       0.221204                 NaN  0.758430E-001  0.220678                 NaN            NaN            NaN
  1356.46        500.000        99.3709       0.115911       0.219489                 NaN  0.753407E-001  0.218324                 NaN            NaN            NaN
  1355.46        500.000        99.3765       0.218410       0.113260                 NaN  0.753817E-001  0.216489                 NaN            NaN            NaN
  1354.45        500.000        99.3825       0.216795       0.110882                 NaN  0.753749E-001  0.214484                 NaN            NaN            NaN
  1353.45        500.000        99.3864       0.111230       0.215075                 NaN  0.742678E-001  0.212980                 NaN            NaN            NaN
  1352.44        500.000        99.3963       0.214374       0.103513                 NaN  0.759867E-001  0.209810                 NaN            NaN            NaN
  1351.44        500.000        99.7368       0.103053       0.269104E-001            NaN  0.394201E-001  0.938379E-001            NaN            NaN            NaN
  1350.43        500.000        99.0655       0.180992       0.324768                 NaN  0.107157       0.321609                 NaN            NaN            NaN
  1349.43        500.000        99.4121       0.996523E-001  0.209467                 NaN  0.743920E-001  0.204404                 NaN            NaN            NaN
  1348.43        500.000        99.4167       0.994022E-001  0.207250                 NaN  0.738483E-001  0.202783                 NaN            NaN            NaN
  1347.42        500.000        99.4235       0.975463E-001  0.205509                 NaN  0.731331E-001  0.200318                 NaN            NaN            NaN
  1346.42        500.000        99.4277       0.951292E-001  0.205381                 NaN  0.729493E-001  0.198797                 NaN            NaN            NaN
  1345.41        500.000        99.4312       0.926613E-001  0.205239                 NaN  0.731287E-001  0.197784                 NaN            NaN            NaN
  1344.41        500.000        99.3721       0.103934       0.225108                 NaN  0.806849E-001  0.218162                 NaN            NaN            NaN
  1343.41        500.000        99.5125       0.802194E-001  0.175283                 NaN  0.628166E-001  0.169171                 NaN            NaN            NaN
  1342.40        500.000        99.4494       0.892729E-001  0.198542                 NaN  0.715020E-001  0.191328                 NaN            NaN            NaN
  1341.40        500.000        99.4546       0.197589       0.868782E-001            NaN  0.714226E-001  0.189528                 NaN            NaN            NaN
  1340.39        500.000        99.4590       0.858690E-001  0.196363                 NaN  0.708520E-001  0.187962                 NaN            NaN            NaN
  1339.39        500.000        99.4638       0.194976       0.844768E-001            NaN  0.704857E-001  0.186259                 NaN            NaN            NaN
  1338.39        500.000        99.4697       0.193453       0.826605E-001            NaN  0.700782E-001  0.184157                 NaN            NaN            NaN
  1337.38        500.000        99.4761       0.636416E-001  0.198142                 NaN  0.785308E-001  0.183631                 NaN            NaN            NaN
  1336.38        500.000        99.4763       0.184960       0.982819E-001            NaN  0.603036E-001  0.180124                 NaN            NaN            NaN
  1335.37        500.000        99.6229       0.139162       0.556560E-001            NaN  0.511275E-001  0.131176                 NaN            NaN            NaN
  1334.37        500.000        99.3475       0.102659       0.238464                 NaN  0.854056E-001  0.225990                 NaN            NaN            NaN
  1333.36        500.000        99.4873       0.186083       0.812444E-001            NaN  0.672473E-001  0.178103                 NaN            NaN            NaN
  1332.36        500.000        99.5009       0.186382       0.723799E-001            NaN  0.675615E-001  0.172752                 NaN            NaN            NaN
  1331.36        500.000        99.5019       0.751910E-001  0.183886                 NaN  0.664865E-001  0.172563                 NaN            NaN            NaN
  1330.35        500.000        99.5047       0.183937       0.727378E-001            NaN  0.668168E-001  0.171767                 NaN            NaN            NaN
  1329.35        500.000        99.5086       0.764313E-001  0.179911                 NaN  0.648198E-001  0.170282                 NaN            NaN            NaN
  1328.34        500.000        99.5144       0.722882E-001  0.181258                 NaN  0.643748E-001  0.167652                 NaN            NaN            NaN
  1327.34        500.000        99.5188       0.179968       0.688452E-001            NaN  0.656825E-001  0.166667                 NaN            NaN            NaN
  1326.34        500.000        99.5231       0.705100E-001  0.177446                 NaN  0.640220E-001  0.164923                 NaN            NaN            NaN
  1325.33        500.000        99.5261       0.176099       0.711893E-001            NaN  0.628149E-001  0.163780                 NaN            NaN            NaN
  1324.33        500.000        99.5305       0.709072E-001  0.174588                 NaN  0.620107E-001  0.161964                 NaN            NaN            NaN
  1323.32        500.000        99.5341       0.689578E-001  0.173696                 NaN  0.622821E-001  0.160957                 NaN            NaN            NaN
  1322.32        500.000        99.5377       0.698958E-001  0.172189                 NaN  0.608397E-001  0.159400                 NaN            NaN            NaN
  1321.32        500.000        99.5411       0.693520E-001  0.171299                 NaN  0.601798E-001  0.158087                 NaN            NaN            NaN
  1320.31        500.000        99.5461       0.688741E-001  0.169131                 NaN  0.595879E-001  0.156288                 NaN            NaN            NaN
  1319.31        500.000        99.5493       0.672838E-001  0.168769                 NaN  0.594270E-001  0.155199                 NaN            NaN            NaN
  1318.30        500.000        99.5529       0.166663       0.687149E-001            NaN  0.580198E-001  0.153709                 NaN            NaN            NaN
  1317.30        500.000        99.5564       0.165766       0.674628E-001            NaN  0.578404E-001  0.152531                 NaN            NaN            NaN
  1316.29        500.000        99.5580       0.746438E-001  0.162510                 NaN  0.535504E-001  0.151280                 NaN            NaN            NaN
  1315.29        500.000        99.6088       0.800410E-001  0.179650                 NaN  0.415441E-002  0.127398                 NaN            NaN            NaN
  1314.29        500.000        99.5113       0.224018                 NaN            NaN  0.928140E-001  0.171903                 NaN            NaN            NaN
  1313.28        500.000        99.5814       0.182486       0.198681E-001            NaN  0.702978E-001  0.145963                 NaN            NaN            NaN
  1312.28        500.000        99.5737       0.158888       0.677879E-001            NaN  0.537100E-001  0.145869                 NaN            NaN            NaN
  1311.27        500.000        99.5769       0.157608       0.679515E-001            NaN  0.528756E-001  0.144641                 NaN            NaN            NaN
