|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4.25/LAR/LAR_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          an             San(TH)        ilm            q             
  1400.64        500.000        99.9579       0.112435E-001            NaN            NaN  0.308776E-001            NaN            NaN            NaN            NaN
  1399.64        500.000        98.9706       0.151498       0.419519                 NaN  0.157289       0.301113                 NaN            NaN            NaN
  1398.63        500.000        98.8540       0.364683       0.389848                 NaN  0.609663E-001  0.330466                 NaN            NaN            NaN
  1397.63        500.000        97.9832       0.535687       0.677877                 NaN  0.206952       0.596262                 NaN            NaN            NaN
  1396.62        500.000        99.7931       0.688435E-001  0.590035E-001            NaN  0.188081E-001  0.602397E-001            NaN            NaN            NaN
  1395.62        500.000        98.8961       0.366048       0.318604                 NaN  0.958368E-001  0.323392                 NaN            NaN            NaN
  1394.62        500.000        98.9081       0.312543       0.362813                 NaN  0.964741E-001  0.320061                 NaN            NaN            NaN
  1393.61        500.000        98.9203       0.359735       0.306428                 NaN  0.969326E-001  0.316623                 NaN            NaN            NaN
  1392.61        500.000        98.9279       0.358391       0.301164                 NaN  0.979068E-001  0.314593                 NaN            NaN            NaN
  1391.60        500.000        98.9486       0.293608       0.351711                 NaN  0.974810E-001  0.308629                 NaN            NaN            NaN
  1390.60        500.000        98.9536       0.289010       0.351361                 NaN  0.987141E-001  0.307320                 NaN            NaN            NaN
  1389.59        500.000        98.9646       0.348768       0.282964                 NaN  0.993060E-001  0.304315                 NaN            NaN            NaN
  1388.59        500.000        98.9790       0.279545       0.343418                 NaN  0.982082E-001  0.299790                 NaN            NaN            NaN
  1387.59        500.000        98.9913       0.340959       0.271645                 NaN  0.994697E-001  0.296674                 NaN            NaN            NaN
  1386.58        500.000        98.9995       0.267377       0.338982                 NaN  0.999111E-001  0.294222                 NaN            NaN            NaN
  1385.58        500.000        99.0097       0.336521       0.262129                 NaN  0.100280       0.291365                 NaN            NaN            NaN
  1384.57        500.000        99.0207       0.256705       0.333576                 NaN  0.100794       0.288267                 NaN            NaN            NaN
