|6.6.6
Archiving\03_Data\eqfracLP/QFM_m1.5/WD94/WD94_3.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1567.31        500.000       0.789858E-002   99.8433       0.564405E-001  0.923344E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1565.89        500.000                 NaN   99.3762       0.590515       0.332405E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1564.47        500.000                 NaN   99.3829       0.584906       0.322437E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1563.04        500.000                 NaN   99.3852       0.583823       0.310211E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1561.62        500.000                 NaN   99.3957       0.574102       0.302205E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1560.20        500.000                 NaN   99.3982       0.572310       0.294582E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1558.78        500.000                 NaN   99.4048       0.565895       0.293532E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1557.36        500.000                 NaN   99.4084       0.562813       0.287419E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1555.94        500.000                 NaN   99.4170       0.555248       0.277608E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1554.51        500.000                 NaN   99.4177       0.555920       0.264177E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1553.09        500.000                 NaN   99.4263       0.547938       0.257617E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1551.67        500.000                 NaN   99.4301       0.543715       0.262293E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1550.25        500.000                 NaN   99.4358       0.537523       0.267125E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1548.83        500.000                 NaN   99.4410       0.535081       0.239637E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1547.40        500.000                 NaN   99.4449       0.531786       0.233418E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1545.98        500.000                 NaN   99.4484       0.528367       0.232054E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1544.56        500.000                 NaN   99.4553       0.522980       0.216926E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1543.14        500.000                 NaN   99.4580       0.520811       0.211897E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1541.72        500.000                 NaN   99.4640       0.513617       0.223615E-001            NaN            NaN            NaN            NaN            NaN            NaN
