|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4.75/Y98/Y98_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        an             iron           San(TH)        ilm            q              O(HP)         
  1458.33        500.000       0.525644E-002   99.9123                 NaN  0.824639E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1457.18        500.000       0.153500E-002   99.2208                 NaN  0.610100       0.167579                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1456.03        500.000       0.189093E-002   99.1384                 NaN  0.316830       0.542913                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1454.88        500.000       0.182177E-002   99.1497                 NaN  0.534858       0.313610                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1453.74        500.000       0.179064E-002   99.1370                 NaN  0.317475       0.543697                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1452.59        500.000       0.636272E-003   99.6831                 NaN  0.116172       0.200128                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1451.44        500.000       0.268659E-002   98.6593                 NaN  0.492623       0.845388                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1450.29        500.000       0.158377E-002   99.1714                 NaN  0.522903       0.304142                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1449.14        500.000       0.163143E-002   99.1292                 NaN  0.556690       0.312504                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1447.99        500.000       0.793683E-004   99.9559                 NaN  0.279798E-001  0.160046E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1446.84        500.000       0.271077E-002   98.4662                 NaN  0.561907       0.969178                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1445.69        500.000       0.135358E-002   99.1946                 NaN  0.294889       0.509168                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1444.55        500.000       0.129967E-002   99.1996                 NaN  0.292637       0.506427                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1443.40        500.000       0.127019E-002   99.2041                 NaN  0.290198       0.504427                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1442.25        500.000       0.120525E-002   99.2109                 NaN  0.288113       0.499805                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1441.10        500.000       0.115561E-002   99.2160                 NaN  0.496870       0.286012                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1439.95        500.000       0.109267E-002   99.2213                 NaN  0.493922       0.283716                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1438.80        500.000       0.105830E-002   99.2259                 NaN  0.491315       0.281776                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1437.65        500.000       0.100915E-002   99.2310                 NaN  0.488443       0.279531                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1436.50        500.000                 NaN   97.7832                 NaN  0.729048       0.897980                 NaN  0.589767                 NaN            NaN            NaN            NaN            NaN
  1435.36        500.000                 NaN   97.6488                 NaN  0.745910       0.955832                 NaN  0.649413                 NaN            NaN            NaN            NaN            NaN
  1434.21        500.000                 NaN   97.6932                 NaN  0.937111       0.732359                 NaN  0.637306                 NaN            NaN            NaN            NaN            NaN
  1433.06        500.000                 NaN   97.7328                 NaN  0.720915       0.920080                 NaN  0.626202                 NaN            NaN            NaN            NaN            NaN
  1431.91        500.000                 NaN   97.7731                 NaN  0.708710       0.903049                 NaN  0.615115                 NaN            NaN            NaN            NaN            NaN
  1430.76        500.000                 NaN   97.8118                 NaN  0.886598       0.697172                 NaN  0.604469                 NaN            NaN            NaN            NaN            NaN
  1429.61        500.000                 NaN   97.5140                 NaN  0.899831       0.827229                 NaN  0.699023       0.599248E-001            NaN            NaN            NaN            NaN
  1428.46        500.000                 NaN   97.0350                 NaN  0.919966        1.03707                 NaN  0.851865       0.156095                 NaN            NaN            NaN            NaN
  1427.32        500.000                 NaN   97.1300                 NaN   1.00595       0.888389                 NaN  0.825146       0.150546                 NaN            NaN            NaN            NaN
  1426.17        500.000                 NaN   96.6700                 NaN   1.18015        1.01820                 NaN  0.956814       0.174866                 NaN            NaN            NaN            NaN
  1425.02        500.000                 NaN   97.8499                 NaN  0.755910       0.664015                 NaN  0.618441       0.111724                 NaN            NaN            NaN            NaN
  1423.87        500.000                 NaN   97.3816                 NaN  0.807919       0.921381                 NaN  0.753545       0.135522                 NaN            NaN            NaN            NaN
  1422.72        500.000                 NaN   97.4637                 NaN  0.894229       0.781772                 NaN  0.730051       0.130260                 NaN            NaN            NaN            NaN
  1421.57        500.000                 NaN   97.5290                 NaN  0.871767       0.761699                 NaN  0.711483       0.126023                 NaN            NaN            NaN            NaN
  1420.42        500.000                 NaN   97.6005                 NaN  0.737593       0.848163                 NaN  0.691368       0.122348                 NaN            NaN            NaN            NaN
  1419.27        500.000                 NaN   97.6637                 NaN  0.717643       0.826825                 NaN  0.673373       0.118433                 NaN            NaN            NaN            NaN
  1418.13        500.000                 NaN   97.7242                 NaN  0.697810       0.807149                 NaN  0.656191       0.114616                 NaN            NaN            NaN            NaN
  1416.98        500.000                 NaN   97.7834                 NaN  0.785976       0.680621                 NaN  0.639106       0.110941                 NaN            NaN            NaN            NaN
  1415.83        500.000                 NaN   97.8390                 NaN  0.767549       0.662382                 NaN  0.623316       0.107733                 NaN            NaN            NaN            NaN
  1414.68        500.000                 NaN   97.8916                 NaN  0.749792       0.645718                 NaN  0.608311       0.104595                 NaN            NaN            NaN            NaN
  1413.53        500.000                 NaN   97.9424                 NaN  0.629709       0.732632                 NaN  0.593804       0.101439                 NaN            NaN            NaN            NaN
  1412.38        500.000                 NaN   97.9903                 NaN  0.615326       0.715986                 NaN  0.579894       0.985403E-001            NaN            NaN            NaN            NaN
  1411.23        500.000                 NaN   98.0381                 NaN  0.599329       0.699978                 NaN  0.566656       0.959282E-001            NaN            NaN            NaN            NaN
  1410.08        500.000                 NaN   98.0829                 NaN  0.585659       0.684994                 NaN  0.553485       0.929601E-001            NaN            NaN            NaN            NaN
  1408.94        500.000                 NaN   98.1251                 NaN  0.572719       0.670276                 NaN  0.541451       0.904871E-001            NaN            NaN            NaN            NaN
  1407.79        500.000                 NaN   98.1635                 NaN  0.561212       0.656910                 NaN  0.530377       0.880305E-001            NaN            NaN            NaN            NaN
  1406.64        500.000                 NaN   98.2081                 NaN  0.641883       0.547117                 NaN  0.517515       0.854050E-001            NaN            NaN            NaN            NaN
  1405.49        500.000                 NaN   98.2424                 NaN  0.630329       0.536007                 NaN  0.507914       0.833090E-001            NaN            NaN            NaN            NaN
  1404.34        500.000                 NaN   98.2805                 NaN  0.525078       0.616664                 NaN  0.496740       0.809727E-001            NaN            NaN            NaN            NaN
  1403.19        500.000                 NaN   98.3148                 NaN  0.605001       0.514434                 NaN  0.486883       0.788468E-001            NaN            NaN            NaN            NaN
  1402.04        500.000                 NaN   98.3490                 NaN  0.504154       0.593056                 NaN  0.477020       0.767484E-001            NaN            NaN            NaN            NaN
  1400.90        500.000                 NaN   98.3787                 NaN  0.494868       0.582798                 NaN  0.468588       0.750520E-001            NaN            NaN            NaN            NaN
  1399.75        500.000                 NaN   98.4150                 NaN  0.570098       0.484432                 NaN  0.457742       0.727609E-001            NaN            NaN            NaN            NaN
  1398.60        500.000                 NaN   98.4406                 NaN  0.560992       0.476765                 NaN  0.450529       0.711443E-001            NaN            NaN            NaN            NaN
  1397.45        500.000                 NaN   98.4747                 NaN  0.549440       0.466505                 NaN  0.440474       0.689151E-001            NaN            NaN            NaN            NaN
  1396.30        500.000                 NaN   98.4997                 NaN  0.458271       0.541082                 NaN  0.433429       0.674913E-001            NaN            NaN            NaN            NaN
  1395.15        500.000                 NaN   98.5300                 NaN  0.529857       0.450005                 NaN  0.424556       0.656279E-001            NaN            NaN            NaN            NaN
  1394.00        500.000                 NaN   98.5550                 NaN  0.521367       0.442236                 NaN  0.417388       0.640525E-001            NaN            NaN            NaN            NaN
  1392.85        500.000                 NaN   98.5809                 NaN  0.434607       0.512221                 NaN  0.409843       0.624557E-001            NaN            NaN            NaN            NaN
  1391.71        500.000                 NaN   98.6057                 NaN  0.427358       0.503448                 NaN  0.402606       0.609158E-001            NaN            NaN            NaN            NaN
  1390.56        500.000                 NaN   98.6300                 NaN  0.494869       0.420164                 NaN  0.395546       0.594156E-001            NaN            NaN            NaN            NaN
  1389.41        500.000                 NaN   98.6537                 NaN  0.413488       0.486254                 NaN  0.388656       0.579133E-001            NaN            NaN            NaN            NaN
  1388.26        500.000                 NaN   98.6760                 NaN  0.478443       0.407012                 NaN  0.382057       0.564553E-001            NaN            NaN            NaN            NaN
  1387.11        500.000                 NaN   98.6984                 NaN  0.400791       0.470219                 NaN  0.375543       0.550868E-001            NaN            NaN            NaN            NaN
  1385.96        500.000                 NaN   98.7196                 NaN  0.394425       0.462886                 NaN  0.369372       0.537258E-001            NaN            NaN            NaN            NaN
  1384.81        500.000                 NaN   98.7404                 NaN  0.455098       0.388851                 NaN  0.363228       0.523895E-001            NaN            NaN            NaN            NaN
  1383.66        500.000                 NaN   98.7590                 NaN  0.383279       0.448605                 NaN  0.357995       0.511458E-001            NaN            NaN            NaN            NaN
  1382.52        500.000                 NaN   98.7818                 NaN  0.376863       0.440533                 NaN  0.351051       0.497172E-001            NaN            NaN            NaN            NaN
  1381.37        500.000                 NaN   98.7974                 NaN  0.372699       0.434609                 NaN  0.346664       0.486744E-001            NaN            NaN            NaN            NaN
  1380.22        500.000                 NaN   98.8195                 NaN  0.426806       0.366452                 NaN  0.339945       0.472581E-001            NaN            NaN            NaN            NaN
  1379.07        500.000                 NaN   98.8356                 NaN  0.361526       0.421372                 NaN  0.335304       0.462297E-001            NaN            NaN            NaN            NaN
  1377.92        500.000                 NaN   98.8534                 NaN  0.414432       0.357171                 NaN  0.330031       0.450010E-001            NaN            NaN            NaN            NaN
