|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4.75/Y98/Y98_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        an             iron           San(TH)        ilm            q              O(HP)         
  1458.33        500.000       0.339815E-002   99.9250                 NaN  0.716164E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1457.18        500.000       0.993638E-003   99.3248                 NaN  0.530111       0.144078                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1456.03        500.000       0.122479E-002   99.2548                 NaN  0.272314       0.471673                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1454.88        500.000       0.118029E-002   99.2649                 NaN  0.464495       0.269427                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1453.74        500.000       0.116058E-002   99.2542                 NaN  0.272606       0.471993                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1452.59        500.000       0.412220E-003   99.7264                 NaN  0.996297E-001  0.173540                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1451.44        500.000       0.174354E-002   98.8416                 NaN  0.422834       0.733807                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1450.29        500.000       0.102748E-002   99.2848                 NaN  0.453393       0.260735                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1449.14        500.000       0.105942E-002   99.2489                 NaN  0.482381       0.267696                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1447.99        500.000       0.514838E-004   99.9620                 NaN  0.242150E-001  0.136919E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1446.84        500.000       0.176221E-002   98.6765                 NaN  0.481467       0.840233                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1445.69        500.000       0.879429E-003   99.3060                 NaN  0.252289       0.440816                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1444.55        500.000       0.844722E-003   99.3107                 NaN  0.250229       0.438265                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1443.40        500.000       0.825675E-003   99.3149                 NaN  0.248002       0.436320                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1442.25        500.000       0.783881E-003   99.3209                 NaN  0.246094       0.432184                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1441.10        500.000       0.751960E-003   99.3256                 NaN  0.429481       0.244175                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1439.95        500.000       0.711166E-003   99.3305                 NaN  0.426750       0.242078                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1438.80        500.000       0.689012E-003   99.3347                 NaN  0.424325       0.240293                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1437.65        500.000       0.657308E-003   99.3394                 NaN  0.421677       0.238255                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1436.50        500.000                 NaN   97.9878                 NaN  0.629676       0.765602                 NaN  0.616948                 NaN            NaN            NaN            NaN            NaN
  1435.36        500.000                 NaN   97.8624                 NaN  0.643927       0.814326                 NaN  0.679354                 NaN            NaN            NaN            NaN            NaN
  1434.21        500.000                 NaN   97.9038                 NaN  0.797758       0.631855                 NaN  0.666611                 NaN            NaN            NaN            NaN            NaN
  1433.06        500.000                 NaN   97.9409                 NaN  0.621586       0.782601                 NaN  0.654917                 NaN            NaN            NaN            NaN            NaN
  1431.91        500.000                 NaN   97.9786                 NaN  0.610690       0.767500                 NaN  0.643239                 NaN            NaN            NaN            NaN            NaN
  1430.76        500.000                 NaN   98.0147                 NaN  0.752919       0.600383                 NaN  0.632021                 NaN            NaN            NaN            NaN            NaN
  1429.61        500.000                 NaN   97.7705                 NaN  0.763757       0.712162                 NaN  0.730947       0.225908E-001            NaN            NaN            NaN            NaN
  1428.46        500.000                 NaN   97.3777                 NaN  0.780418       0.892422                 NaN  0.890631       0.588344E-001            NaN            NaN            NaN            NaN
  1427.32        500.000                 NaN   97.4646                 NaN  0.864481       0.752518                 NaN  0.861718       0.566768E-001            NaN            NaN            NaN            NaN
  1426.17        500.000                 NaN   97.0605                 NaN   1.01325       0.861896                 NaN  0.998545       0.657858E-001            NaN            NaN            NaN            NaN
  1425.02        500.000                 NaN   98.1063                 NaN  0.647392       0.560386                 NaN  0.643973       0.419361E-001            NaN            NaN            NaN            NaN
  1423.87        500.000                 NaN   97.6950                 NaN  0.681278       0.788567                 NaN  0.784309       0.508448E-001            NaN            NaN            NaN            NaN
  1422.72        500.000                 NaN   97.7697                 NaN  0.764260       0.658197                 NaN  0.759016       0.488151E-001            NaN            NaN            NaN            NaN
  1421.57        500.000                 NaN   97.8296                 NaN  0.744011       0.640304                 NaN  0.738910       0.471748E-001            NaN            NaN            NaN            NaN
  1420.42        500.000                 NaN   97.8948                 NaN  0.619239       0.723007                 NaN  0.717240       0.457480E-001            NaN            NaN            NaN            NaN
  1419.27        500.000                 NaN   97.9525                 NaN  0.601599       0.703874                 NaN  0.697821       0.442351E-001            NaN            NaN            NaN            NaN
  1418.13        500.000                 NaN   98.0077                 NaN  0.584100       0.686189                 NaN  0.679291       0.427622E-001            NaN            NaN            NaN            NaN
  1416.98        500.000                 NaN   98.0616                 NaN  0.667286       0.568873                 NaN  0.660903       0.413460E-001            NaN            NaN            NaN            NaN
  1415.83        500.000                 NaN   98.1123                 NaN  0.650826       0.552865                 NaN  0.643896       0.401070E-001            NaN            NaN            NaN            NaN
  1414.68        500.000                 NaN   98.1602                 NaN  0.634958       0.538193                 NaN  0.627738       0.388965E-001            NaN            NaN            NaN            NaN
  1413.53        500.000                 NaN   98.2065                 NaN  0.524103       0.619609                 NaN  0.612131       0.376826E-001            NaN            NaN            NaN            NaN
  1412.38        500.000                 NaN   98.2501                 NaN  0.511405       0.604750                 NaN  0.597173       0.365668E-001            NaN            NaN            NaN            NaN
  1411.23        500.000                 NaN   98.2935                 NaN  0.497467       0.590517                 NaN  0.582941       0.355598E-001            NaN            NaN            NaN            NaN
  1410.08        500.000                 NaN   98.3342                 NaN  0.485404       0.577114                 NaN  0.568811       0.344233E-001            NaN            NaN            NaN            NaN
  1408.94        500.000                 NaN   98.3726                 NaN  0.474037       0.564006                 NaN  0.555880       0.334725E-001            NaN            NaN            NaN            NaN
  1407.79        500.000                 NaN   98.4076                 NaN  0.463849       0.552036                 NaN  0.543962       0.325300E-001            NaN            NaN            NaN            NaN
  1406.64        500.000                 NaN   98.4479                 NaN  0.538750       0.451600                 NaN  0.530236       0.315269E-001            NaN            NaN            NaN            NaN
  1405.49        500.000                 NaN   98.4792                 NaN  0.528395       0.441830                 NaN  0.519882       0.307217E-001            NaN            NaN            NaN            NaN
  1404.34        500.000                 NaN   98.5137                 NaN  0.432233       0.516292                 NaN  0.507940       0.298296E-001            NaN            NaN            NaN            NaN
  1403.19        500.000                 NaN   98.5448                 NaN  0.505896       0.422893                 NaN  0.497371       0.290169E-001            NaN            NaN            NaN            NaN
  1402.04        500.000                 NaN   98.5758                 NaN  0.413893       0.495290                 NaN  0.486819       0.282161E-001            NaN            NaN            NaN            NaN
  1400.90        500.000                 NaN   98.6028                 NaN  0.405736       0.486169                 NaN  0.477748       0.275648E-001            NaN            NaN            NaN            NaN
  1399.75        500.000                 NaN   98.6355                 NaN  0.474961       0.396643                 NaN  0.466237       0.266964E-001            NaN            NaN            NaN            NaN
  1398.60        500.000                 NaN   98.6588                 NaN  0.466819       0.389846                 NaN  0.458449       0.260774E-001            NaN            NaN            NaN            NaN
  1397.45        500.000                 NaN   98.6894                 NaN  0.456618       0.380939                 NaN  0.447786       0.252352E-001            NaN            NaN            NaN            NaN
  1396.30        500.000                 NaN   98.7122                 NaN  0.373747       0.449153                 NaN  0.440206       0.246896E-001            NaN            NaN            NaN            NaN
  1395.15        500.000                 NaN   98.7394                 NaN  0.439305       0.366523                 NaN  0.430785       0.239844E-001            NaN            NaN            NaN            NaN
  1394.00        500.000                 NaN   98.7620                 NaN  0.431750       0.359720                 NaN  0.423114       0.233859E-001            NaN            NaN            NaN            NaN
  1392.85        500.000                 NaN   98.7854                 NaN  0.353072       0.423662                 NaN  0.415076       0.227808E-001            NaN            NaN            NaN            NaN
  1391.71        500.000                 NaN   98.8078                 NaN  0.346737       0.415911                 NaN  0.407367       0.221978E-001            NaN            NaN            NaN            NaN
  1390.56        500.000                 NaN   98.8297                 NaN  0.408343       0.340469                 NaN  0.399853       0.216304E-001            NaN            NaN            NaN            NaN
  1389.41        500.000                 NaN   98.8510                 NaN  0.334631       0.400755                 NaN  0.392526       0.210634E-001            NaN            NaN            NaN            NaN
  1388.26        500.000                 NaN   98.8712                 NaN  0.393849       0.328966                 NaN  0.385509       0.205137E-001            NaN            NaN            NaN            NaN
  1387.11        500.000                 NaN   98.8912                 NaN  0.323535       0.386628                 NaN  0.378590       0.199975E-001            NaN            NaN            NaN            NaN
  1385.96        500.000                 NaN   98.9103                 NaN  0.317994       0.380154                 NaN  0.372032       0.194852E-001            NaN            NaN            NaN            NaN
  1384.81        500.000                 NaN   98.9291                 NaN  0.373330       0.313097                 NaN  0.365514       0.189828E-001            NaN            NaN            NaN            NaN
  1383.66        500.000                 NaN   98.9458                 NaN  0.308234       0.367559                 NaN  0.359926       0.185150E-001            NaN            NaN            NaN            NaN
  1382.52        500.000                 NaN   98.9662                 NaN  0.302699       0.360531                 NaN  0.352629       0.179812E-001            NaN            NaN            NaN            NaN
  1381.37        500.000                 NaN   98.9802                 NaN  0.298984       0.355268                 NaN  0.347915       0.175880E-001            NaN            NaN            NaN            NaN
  1380.22        500.000                 NaN   99.0000                 NaN  0.348487       0.293608                 NaN  0.340870       0.170606E-001            NaN            NaN            NaN            NaN
  1379.07        500.000                 NaN   99.0144                 NaN  0.289300       0.343673                 NaN  0.335923       0.166742E-001            NaN            NaN            NaN            NaN
  1377.92        500.000                 NaN   99.0304                 NaN  0.337596       0.285476                 NaN  0.330352       0.162164E-001            NaN            NaN            NaN            NaN
  1376.77        500.000                 NaN   99.0462                 NaN  0.281046       0.332074                 NaN  0.324852       0.158175E-001            NaN            NaN            NaN            NaN
  1375.62        500.000                 NaN   99.0606                 NaN  0.277319       0.326867                 NaN  0.319832       0.153907E-001            NaN            NaN            NaN            NaN
  1374.48        500.000                 NaN   99.0750                 NaN  0.321731       0.273468                 NaN  0.314782       0.149946E-001            NaN            NaN            NaN            NaN
  1373.33        500.000                 NaN   99.0894                 NaN  0.316335       0.269874                 NaN  0.309760       0.146027E-001            NaN            NaN            NaN            NaN
  1372.18        500.000                 NaN   99.1027                 NaN  0.311688       0.266328                 NaN  0.305055       0.142166E-001            NaN            NaN            NaN            NaN
  1371.03        500.000                 NaN   99.1148                 NaN  0.307227       0.263232                 NaN  0.300853       0.138704E-001            NaN            NaN            NaN            NaN
  1369.88        500.000                 NaN   99.1309                 NaN  0.259162       0.301204                 NaN  0.295238       0.134535E-001            NaN            NaN            NaN            NaN
  1368.73        500.000                 NaN   99.1429                 NaN  0.256133       0.296898                 NaN  0.290971       0.130790E-001            NaN            NaN            NaN            NaN
  1367.58        500.000                 NaN   99.1548                 NaN  0.292733       0.252890                 NaN  0.286847       0.127615E-001            NaN            NaN            NaN            NaN
  1366.43        500.000                 NaN   99.1656                 NaN  0.288991       0.249925                 NaN  0.283024       0.124267E-001            NaN            NaN            NaN            NaN
  1365.29        500.000                 NaN   99.1796                 NaN  0.283311       0.246999                 NaN  0.278030       0.120452E-001            NaN            NaN            NaN            NaN
  1364.14        500.000                 NaN   99.1904                 NaN  0.244262       0.279343                 NaN  0.274259       0.117068E-001            NaN            NaN            NaN            NaN
  1362.99        500.000                 NaN   99.2011                 NaN  0.241518       0.275437                 NaN  0.270484       0.114138E-001            NaN            NaN            NaN            NaN
  1361.84        500.000                 NaN   99.2128                 NaN  0.271048       0.238796                 NaN  0.266350       0.110490E-001            NaN            NaN            NaN            NaN
  1360.69        500.000                 NaN   99.2231                 NaN  0.267275       0.236094                 NaN  0.262781       0.107802E-001            NaN            NaN            NaN            NaN
  1359.54        500.000                 NaN   99.2338                 NaN  0.233678       0.263167                 NaN  0.258899       0.104194E-001            NaN            NaN            NaN            NaN
  1358.39        500.000                 NaN   99.2440                 NaN  0.259324       0.231259                 NaN  0.255288       0.101239E-001            NaN            NaN            NaN            NaN
  1357.24        500.000                 NaN   99.2538                 NaN  0.255726       0.228683                 NaN  0.251883       0.986543E-002            NaN            NaN            NaN            NaN
  1356.10        500.000                 NaN   99.2636                 NaN  0.251822       0.226761                 NaN  0.248294       0.950791E-002            NaN            NaN            NaN            NaN
  1354.95        500.000                 NaN   99.2734                 NaN  0.248099       0.224454                 NaN  0.244830       0.922014E-002            NaN            NaN            NaN            NaN
  1353.80        500.000                 NaN   99.2820                 NaN  0.222560       0.244707                 NaN  0.241837       0.893480E-002            NaN            NaN            NaN            NaN
  1352.65        500.000                 NaN   99.2921                 NaN  0.241056       0.220068                 NaN  0.238148       0.863858E-002            NaN            NaN            NaN            NaN
  1351.50        500.000                 NaN   99.3006                 NaN  0.237636       0.218260                 NaN  0.235150       0.837218E-002            NaN            NaN            NaN            NaN
  1350.35        500.000                 NaN   99.3091                 NaN  0.216565       0.234173                 NaN  0.232037       0.808222E-002            NaN            NaN            NaN            NaN
  1349.20        500.000                 NaN   99.3177                 NaN  0.214597       0.230887                 NaN  0.228984       0.780994E-002            NaN            NaN            NaN            NaN
  1348.06        500.000                 NaN   99.3259                 NaN  0.227306       0.213205                 NaN  0.226041       0.753764E-002            NaN            NaN            NaN            NaN
  1346.91        500.000                 NaN   99.3343                 NaN  0.210804       0.224538                 NaN  0.223065       0.729804E-002            NaN            NaN            NaN            NaN
  1345.76        500.000                 NaN   99.3424                 NaN  0.221101       0.209349                 NaN  0.220110       0.701055E-002            NaN            NaN            NaN            NaN
  1344.61        500.000                 NaN   99.3499                 NaN  0.218043       0.207916                 NaN  0.217426       0.675241E-002            NaN            NaN            NaN            NaN
  1343.46        500.000                 NaN   99.3577                 NaN  0.214742       0.206402                 NaN  0.214621       0.649306E-002            NaN            NaN            NaN            NaN
  1342.31        500.000                 NaN   99.3650                 NaN  0.211853       0.204884                 NaN  0.211973       0.624248E-002            NaN            NaN            NaN            NaN
  1341.16        500.000                 NaN   99.3723                 NaN  0.203442       0.208882                 NaN  0.209383       0.600027E-002            NaN            NaN            NaN            NaN
  1340.01        500.000                 NaN   99.3795                 NaN  0.205808       0.202284                 NaN  0.206700       0.572043E-002            NaN            NaN            NaN            NaN
  1338.87        500.000                 NaN   99.3865                 NaN  0.202898       0.200968                 NaN  0.204196       0.547691E-002            NaN            NaN            NaN            NaN
  1337.72        500.000                 NaN   99.3932                 NaN  0.200108       0.199662                 NaN  0.201763       0.524951E-002            NaN            NaN            NaN            NaN
  1336.57        500.000                 NaN   99.4001                 NaN  0.197161       0.198414                 NaN  0.199315       0.502898E-002            NaN            NaN            NaN            NaN
  1335.42        500.000                 NaN   99.4064                 NaN  0.194618       0.197190                 NaN  0.196996       0.475633E-002            NaN            NaN            NaN            NaN
  1334.27        500.000                 NaN   99.4131                 NaN  0.191614       0.196270                 NaN  0.194541       0.452286E-002            NaN            NaN            NaN            NaN
  1333.12        500.000                 NaN   99.4176                 NaN  0.189700       0.195466                 NaN  0.192918       0.433812E-002            NaN            NaN            NaN            NaN
  1331.97        500.000                 NaN   99.4268                 NaN  0.184999       0.194631                 NaN  0.189529       0.400660E-002            NaN            NaN            NaN            NaN
  1330.82        500.000                 NaN   99.4313                 NaN  0.183369       0.193715                 NaN  0.187858       0.380646E-002            NaN            NaN            NaN            NaN
  1329.68        500.000                 NaN   99.4371                 NaN  0.180702       0.192925                 NaN  0.185726       0.357049E-002            NaN            NaN            NaN            NaN
  1328.53        500.000                 NaN   99.4430                 NaN  0.178270       0.191754                 NaN  0.183577       0.336455E-002            NaN            NaN            NaN            NaN
  1327.38        500.000                 NaN   99.4484                 NaN  0.190973       0.175822                 NaN  0.181628       0.314667E-002            NaN            NaN            NaN            NaN
  1326.23        500.000                 NaN   99.4540                 NaN  0.173026       0.190576                 NaN  0.179496       0.288520E-002            NaN            NaN            NaN            NaN
  1325.08        500.000                 NaN   99.4589                 NaN  0.190248       0.170498                 NaN  0.177650       0.265633E-002            NaN            NaN            NaN            NaN
  1323.93        500.000                 NaN   99.4645                 NaN  0.167967       0.189419                 NaN  0.175645       0.244950E-002            NaN            NaN            NaN            NaN
  1322.78        500.000                 NaN   99.4698                 NaN  0.188968       0.165344                 NaN  0.173714       0.221023E-002            NaN            NaN            NaN            NaN
  1321.64        500.000                 NaN   99.4746                 NaN  0.162882       0.188579                 NaN  0.171908       0.200478E-002            NaN            NaN            NaN            NaN
  1320.49        500.000                 NaN   99.4793                 NaN  0.160792       0.187931                 NaN  0.170183       0.179950E-002            NaN            NaN            NaN            NaN
  1319.34        500.000                 NaN   99.4839                 NaN  0.158635       0.187326                 NaN  0.168578       0.159880E-002            NaN            NaN            NaN            NaN
  1318.19        500.000                 NaN   99.4898                 NaN  0.154998       0.187708                 NaN  0.166183       0.129795E-002            NaN            NaN            NaN            NaN
