|6.6.6
Archiving\03_Data\eqfracLP/QFM_m2/LAR/LAR_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1374.53        500.000        99.2278       0.822701E-001  0.179283       0.247589                 NaN  0.263027                 NaN            NaN            NaN
  1373.53        500.000        99.2341       0.828705E-001  0.175773       0.246127                 NaN  0.261082                 NaN            NaN            NaN
  1372.54        500.000        99.2435       0.825448E-001  0.172009       0.243964                 NaN  0.257958                 NaN            NaN            NaN
  1371.54        500.000        99.2475       0.521415E-001  0.229153       0.220336                 NaN  0.250911                 NaN            NaN            NaN
  1370.55        500.000        99.2623       0.113781       0.252397       0.113595                 NaN  0.257934                 NaN            NaN            NaN
  1369.55        500.000        99.2674       0.832507E-001  0.237511       0.161386                 NaN  0.250434                 NaN            NaN            NaN
  1368.55        500.000        99.2735       0.835050E-001  0.236019       0.158481                 NaN  0.248504                 NaN            NaN            NaN
  1367.56        500.000        99.2821       0.832651E-001  0.155390       0.233532                 NaN  0.245707                 NaN            NaN            NaN
  1366.56        500.000        99.2837       0.837529E-001  0.233766       0.153511                 NaN  0.245243                 NaN            NaN            NaN
  1365.57        500.000        99.2912       0.841181E-001  0.232643       0.149537                 NaN  0.242509                 NaN            NaN            NaN
  1364.57        500.000        99.3104       0.824008E-001  0.225890       0.145010                 NaN  0.236330                 NaN            NaN            NaN
  1363.57        500.000        99.3096       0.836700E-001  0.227347       0.142724                 NaN  0.236633                 NaN            NaN            NaN
  1362.58        500.000        99.3168       0.838573E-001  0.139505       0.225416                 NaN  0.234410                 NaN            NaN            NaN
  1361.58        500.000        99.3232       0.836532E-001  0.223575       0.137273                 NaN  0.232305                 NaN            NaN            NaN
  1360.58        500.000        99.3294       0.838089E-001  0.134311       0.222204                 NaN  0.230274                 NaN            NaN            NaN
  1359.59        500.000        99.2646       0.556389E-002  0.155835       0.337613                 NaN  0.236358                 NaN            NaN            NaN
  1358.59        500.000        99.4002       0.124005       0.260988                 NaN            NaN  0.214851                 NaN            NaN            NaN
  1357.60        500.000        99.3632       0.122977       0.465221E-001  0.240662                 NaN  0.226681                 NaN            NaN            NaN
  1356.60        500.000        99.3559       0.836870E-001  0.215441       0.123416                 NaN  0.221554                 NaN            NaN            NaN
  1355.60        500.000        99.3619       0.837805E-001  0.120642       0.214020                 NaN  0.219634                 NaN            NaN            NaN
  1354.61        500.000        99.3674       0.843735E-001  0.116919       0.213218                 NaN  0.218124                 NaN            NaN            NaN
  1353.61        500.000        99.3745       0.833308E-001  0.116059       0.210720                 NaN  0.215411                 NaN            NaN            NaN
  1352.62        500.000        99.3779       0.847575E-001  0.111689       0.210952                 NaN  0.214662                 NaN            NaN            NaN
  1351.62        500.000        99.3882       0.816853E-001  0.205963       0.113658                 NaN  0.210458                 NaN            NaN            NaN
  1350.62        500.000        99.3908       0.834047E-001  0.206808       0.108887                 NaN  0.210064                 NaN            NaN            NaN
  1349.63        500.000        99.3969       0.836754E-001  0.105879       0.205318                 NaN  0.208190                 NaN            NaN            NaN
  1348.63        500.000        99.4028       0.823964E-001  0.105647       0.203385                 NaN  0.205814                 NaN            NaN            NaN
  1347.64        500.000        99.4083       0.827717E-001  0.202162       0.102565                 NaN  0.204152                 NaN            NaN            NaN
  1346.64        500.000        99.4137       0.827142E-001  0.200751       0.100482                 NaN  0.202372                 NaN            NaN            NaN
  1345.64        500.000        99.4189       0.824673E-001  0.987066E-001  0.199309                 NaN  0.200590                 NaN            NaN            NaN
  1344.65        500.000        99.4243       0.823114E-001  0.968573E-001  0.197744                 NaN  0.198790                 NaN            NaN            NaN
  1343.65        500.000        99.4296       0.821757E-001  0.196522       0.946725E-001            NaN  0.196988                 NaN            NaN            NaN
  1342.66        500.000        99.4321       0.829670E-001  0.916997E-001  0.196915                 NaN  0.196307                 NaN            NaN            NaN
  1341.66        500.000        99.4410       0.804655E-001  0.931426E-001  0.192534                 NaN  0.192838                 NaN            NaN            NaN
  1340.66        500.000        99.4452       0.810801E-001  0.192192       0.899648E-001            NaN  0.191613                 NaN            NaN            NaN
  1339.67        500.000        99.4496       0.811503E-001  0.878743E-001  0.191211                 NaN  0.190178                 NaN            NaN            NaN
  1338.67        500.000        99.4547       0.806662E-001  0.865714E-001  0.189697                 NaN  0.188383                 NaN            NaN            NaN
  1337.67        500.000        99.4583       0.803051E-001  0.854270E-001  0.188809                 NaN  0.187150                 NaN            NaN            NaN
  1336.68        500.000        99.4644       0.799236E-001  0.835893E-001  0.187116                 NaN  0.184956                 NaN            NaN            NaN
  1335.68        500.000        99.4690       0.801437E-001  0.811753E-001  0.186211                 NaN  0.183504                 NaN            NaN            NaN
  1334.69        500.000        99.4730       0.797244E-001  0.797197E-001  0.185390                 NaN  0.182159                 NaN            NaN            NaN
  1333.69        500.000        99.4790       0.788905E-001  0.794278E-001  0.182728                 NaN  0.179929                 NaN            NaN            NaN
  1332.69        500.000        99.5732       0.634658E-001  0.662249E-001  0.149903                 NaN  0.147244                 NaN            NaN            NaN
  1331.70        500.000        99.3923       0.100673       0.777564E-001  0.217708                 NaN  0.211597                 NaN            NaN            NaN
  1330.70        500.000        99.4938       0.703939E-001  0.877148E-001  0.175078                 NaN  0.172989                 NaN            NaN            NaN
  1329.71        500.000        99.4957       0.775981E-001  0.178516       0.740690E-001            NaN  0.174095                 NaN            NaN            NaN
  1328.71        500.000        99.5003       0.771319E-001  0.177011       0.730358E-001            NaN  0.172563                 NaN            NaN            NaN
  1327.71        500.000        99.5040       0.764746E-001  0.175586       0.728032E-001            NaN  0.171180                 NaN            NaN            NaN
  1326.72        500.000        99.5084       0.760167E-001  0.714210E-001  0.174599                 NaN  0.169536                 NaN            NaN            NaN
  1325.72        500.000        99.2994       0.104246       0.111175       0.243749                 NaN  0.241465                 NaN            NaN            NaN
  1324.73        500.000        99.7256       0.426542E-001  0.989048E-001  0.388119E-001            NaN  0.940384E-001            NaN            NaN            NaN
  1323.73        500.000        99.4984       0.408507E-001  0.140198       0.153987                 NaN  0.166569                 NaN            NaN            NaN
  1322.73        500.000        99.5423       0.100974       0.194003                 NaN            NaN  0.162719                 NaN            NaN            NaN
  1321.74        500.000        99.4901       0.881539E-001  0.190294       0.542208E-001            NaN  0.177186                 NaN            NaN            NaN
  1320.74        500.000        99.5768       0.659940E-001  0.603249E-001  0.151345                 NaN  0.145578                 NaN            NaN            NaN
  1319.74        500.000        99.8659                 NaN  0.692168E-001  0.208939E-001            NaN  0.440078E-001            NaN            NaN            NaN
  1318.75        500.000        99.2097       0.143158       0.631053E-001  0.310138                 NaN  0.273936                 NaN            NaN            NaN
  1317.75        500.000        99.5438       0.714088E-001  0.163603       0.642574E-001            NaN  0.156891                 NaN            NaN            NaN
  1316.76        500.000        99.5475       0.704537E-001  0.162258       0.643269E-001            NaN  0.155474                 NaN            NaN            NaN
  1315.76        500.000        99.5502       0.696863E-001  0.645165E-001  0.161189                 NaN  0.154416                 NaN            NaN            NaN
  1314.76        500.000        99.5545       0.689136E-001  0.159667       0.641251E-001            NaN  0.152760                 NaN            NaN            NaN
  1313.77        500.000        99.5580       0.685187E-001  0.632774E-001  0.158614                 NaN  0.151621                 NaN            NaN            NaN
  1312.77        500.000        99.5612       0.677231E-001  0.634863E-001  0.157227                 NaN  0.150365                 NaN            NaN            NaN
  1311.78        500.000        99.5642       0.671369E-001  0.632546E-001  0.156093                 NaN  0.149275                 NaN            NaN            NaN
  1310.78        500.000        99.5685       0.664050E-001  0.154918       0.624993E-001            NaN  0.147632                 NaN            NaN            NaN
  1309.78        500.000        99.5714       0.656608E-001  0.153827       0.625407E-001            NaN  0.146545                 NaN            NaN            NaN
  1308.79        500.000        99.5746       0.649821E-001  0.152666       0.623713E-001            NaN  0.145368                 NaN            NaN            NaN
  1307.79        500.000        99.5781       0.643350E-001  0.621763E-001  0.151288                 NaN  0.144102                 NaN            NaN            NaN
  1306.80        500.000        99.5830       0.707811E-001  0.154961       0.477707E-001            NaN  0.143508                 NaN            NaN            NaN
  1305.80        500.000        99.5815       0.556527E-001  0.144181       0.770352E-001            NaN  0.141591                 NaN            NaN            NaN
  1304.80        500.000        99.5882       0.614477E-001  0.147100       0.631370E-001            NaN  0.140068                 NaN            NaN            NaN
  1303.81        500.000        99.5904       0.611259E-001  0.146533       0.625275E-001            NaN  0.139374                 NaN            NaN            NaN
  1302.81        500.000        99.5932       0.602658E-001  0.145223       0.629545E-001            NaN  0.138308                 NaN            NaN            NaN
  1301.82        500.000        99.5964       0.592591E-001  0.143674       0.636383E-001            NaN  0.137055                 NaN            NaN            NaN
  1300.82        500.000        99.5995       0.588189E-001  0.646577E-001  0.140719                 NaN  0.136266                 NaN            NaN            NaN
  1299.82        500.000        99.6025       0.574660E-001  0.638261E-001  0.141673                 NaN  0.134571                 NaN            NaN            NaN
  1298.83        500.000        99.6052       0.569748E-001  0.139949       0.641105E-001            NaN  0.133753                 NaN            NaN            NaN
  1297.83        500.000        99.6076       0.558461E-001  0.651018E-001  0.138678                 NaN  0.132727                 NaN            NaN            NaN
  1296.83        500.000        99.6108       0.553239E-001  0.645274E-001  0.137770                 NaN  0.131567                 NaN            NaN            NaN
  1295.84        500.000        99.6042       0.398674E-001  0.990672E-001  0.125153                 NaN  0.131739                 NaN            NaN            NaN
  1294.84        500.000        99.6241       0.673452E-001  0.146035       0.338479E-001            NaN  0.128651                 NaN            NaN            NaN
  1293.85        500.000        99.6189       0.523199E-001  0.668319E-001  0.133646                 NaN  0.128326                 NaN            NaN            NaN
  1292.85        500.000        99.6214       0.517352E-001  0.132588       0.668509E-001            NaN  0.127418                 NaN            NaN            NaN
  1291.85        500.000        99.6235       0.509156E-001  0.674653E-001  0.131499                 NaN  0.126613                 NaN            NaN            NaN
  1290.86        500.000        99.6268       0.496948E-001  0.686462E-001  0.129573                 NaN  0.125324                 NaN            NaN            NaN
  1289.86        500.000        99.6292       0.492019E-001  0.682607E-001  0.128891                 NaN  0.124419                 NaN            NaN            NaN
  1288.87        500.000        99.6315       0.480651E-001  0.697489E-001  0.127183                 NaN  0.123527                 NaN            NaN            NaN
  1287.87        500.000        99.6340       0.469825E-001  0.705946E-001  0.125993                 NaN  0.122478                 NaN            NaN            NaN
  1286.87        500.000        99.6362       0.461817E-001  0.716634E-001  0.124231                 NaN  0.121682                 NaN            NaN            NaN
  1285.88        500.000        99.6387       0.454508E-001  0.123953       0.712420E-001            NaN  0.120632                 NaN            NaN            NaN
  1284.88        500.000        99.6409       0.443949E-001  0.121720       0.731152E-001            NaN  0.119875                 NaN            NaN            NaN
  1283.89        500.000        99.6432       0.427000E-001  0.120450       0.750024E-001            NaN  0.118685                 NaN            NaN            NaN
  1282.89        500.000        99.6453       0.422265E-001  0.752411E-001  0.119241                 NaN  0.118039                 NaN            NaN            NaN
  1281.89        500.000        99.6476       0.410950E-001  0.117760       0.764685E-001            NaN  0.117034                 NaN            NaN            NaN
  1280.90        500.000        95.7543       0.765998E-002  0.762072       0.361640                 NaN  0.542530        2.57178                 NaN            NaN
  1279.90        500.000        93.9874       0.650158E-002   1.04715       0.480616                 NaN  0.737146        3.74114                 NaN            NaN
  1278.91        500.000        94.2616                 NaN  0.452225        1.01991                 NaN  0.706832        3.55946                 NaN            NaN
  1277.91        500.000        94.5140                 NaN  0.983980       0.429053                 NaN  0.679355        3.39359                 NaN            NaN
  1276.91        500.000        94.7470                 NaN  0.408191       0.950167                 NaN  0.653832        3.24083                 NaN            NaN
  1275.92        500.000        94.9489                 NaN  0.923889       0.388355                 NaN  0.632144        3.10672                 NaN            NaN
  1274.92        500.000        95.1602       0.544444E-005  0.893359       0.369076                 NaN  0.608550        2.96877                 NaN            NaN
  1273.92        500.000        95.3467                 NaN  0.349412       0.869104                 NaN  0.588096        2.84666                 NaN            NaN
  1272.93        500.000        95.5210                 NaN  0.847607       0.329903                 NaN  0.568911        2.73256                 NaN            NaN
  1271.93        500.000        95.6875                 NaN  0.827007       0.311198                 NaN  0.550412        2.62390                 NaN            NaN
  1270.94        500.000        95.8359       0.406330E-005  0.291308       0.812519                 NaN  0.534159        2.52608                 NaN            NaN
  1269.94        500.000        95.9813                 NaN  0.271949       0.797434                 NaN  0.517975        2.43136                 NaN            NaN
  1268.94        500.000        96.1201                 NaN  0.252119       0.784146                 NaN  0.502399        2.34122                 NaN            NaN
  1267.95        500.000        96.2460                 NaN  0.778488       0.228345                 NaN  0.488548        2.25859                 NaN            NaN
  1266.95        500.000        96.3682                 NaN  0.772798       0.204929                 NaN  0.474798        2.17927                 NaN            NaN
  1265.96        500.000        96.4812                 NaN  0.175494       0.775623                 NaN  0.462314        2.10532                 NaN            NaN
  1264.96        500.000        96.5929                 NaN  0.776666       0.147604                 NaN  0.449480        2.03340                 NaN            NaN
  1263.96        500.000        96.6938                 NaN  0.107929       0.792155                 NaN  0.438170        1.96790                 NaN            NaN
  1262.97        500.000        96.1672                 NaN  0.293830       0.694241                 NaN  0.502887        2.29394       0.479133E-001            NaN
  1261.97        500.000        95.9351                 NaN  0.425286       0.593012                 NaN  0.530994        2.43939       0.761764E-001            NaN
  1260.98        500.000        96.0914                 NaN  0.604465       0.378063                 NaN  0.512463        2.34101       0.725730E-001            NaN
  1259.98        500.000        96.2426                 NaN  0.356974       0.590145                 NaN  0.493838        2.24708       0.693643E-001            NaN
  1258.98        500.000        96.3792                 NaN  0.915640                 NaN            NaN  0.477538        2.16143       0.662187E-001            NaN
  1257.99        500.000        96.5061                 NaN  0.886293                 NaN            NaN  0.461965        2.08222       0.634075E-001            NaN
  1256.99        500.000        96.6346                 NaN  0.855055                 NaN            NaN  0.445760        2.00383       0.607552E-001            NaN
  1256.00        500.000        96.7501                 NaN  0.827819                 NaN            NaN  0.431521        1.93237       0.582184E-001            NaN
  1255.00        500.000        96.8600                 NaN  0.801456                 NaN            NaN  0.417121        1.86531       0.560689E-001            NaN
  1254.00        500.000        96.9555                 NaN  0.779032                 NaN            NaN  0.405936        1.80589       0.536661E-001            NaN
  1253.01        500.000        97.0562                 NaN  0.755225                 NaN            NaN  0.392883        1.74407       0.515997E-001            NaN
  1252.01        500.000        97.1467                 NaN  0.732929                 NaN            NaN  0.380818        1.68967       0.498775E-001            NaN
  1251.01        500.000        97.2415       0.283667E-005  0.709381                 NaN            NaN  0.368555        1.63258       0.479575E-001            NaN
  1250.02        500.000        97.3084                 NaN  0.694772                 NaN            NaN  0.360979        1.58980       0.460289E-001            NaN
  1249.02        500.000        97.4049       0.290474E-001  0.631458                 NaN            NaN  0.349341        1.53978       0.454944E-001            NaN
  1248.03        500.000        97.4755       0.234741E-001  0.621697                 NaN            NaN  0.340073        1.49557       0.436716E-001            NaN
  1247.03        500.000        97.5528       0.299366E-001  0.593574                 NaN            NaN  0.329525        1.45156       0.426125E-001            NaN
  1246.03        500.000        97.6244       0.360543E-001  0.567431                 NaN            NaN  0.319756        1.41076       0.415881E-001            NaN
  1245.04        500.000        97.6873       0.253808E-001  0.565695                 NaN            NaN  0.311740        1.37032       0.395978E-001            NaN
  1244.04        500.000        97.7501       0.292854E-001  0.544954                 NaN            NaN  0.302969        1.33414       0.385885E-001            NaN
  1243.05        500.000        97.8182       0.349189E-001  0.519312                 NaN            NaN  0.293667        1.29623       0.376348E-001            NaN
  1242.05        500.000        97.8622       0.317323E-001  0.514597                 NaN            NaN  0.287382        1.26763       0.364882E-001            NaN
  1241.05        500.000        97.9222       0.258052E-001  0.505988                 NaN            NaN  0.279603        1.23154       0.348713E-001            NaN
  1240.06        500.000        97.9757       0.276199E-001  0.490040                 NaN            NaN  0.272169        1.20050       0.339456E-001            NaN
  1239.06        500.000        98.0252       0.272056E-001  0.478041                 NaN            NaN  0.265305        1.17138       0.328901E-001            NaN
  1238.07        500.000        98.0731       0.241611E-001  0.469787                 NaN            NaN  0.258650        1.14259       0.317194E-001            NaN
  1237.07        500.000        98.1209       0.274623E-001  0.453463                 NaN            NaN  0.251900        1.11533       0.309478E-001            NaN
  1236.07        500.000        98.1645       0.230665E-001  0.448011                 NaN            NaN  0.245995        1.08866       0.297593E-001            NaN
  1235.08        500.000        98.2061       0.218575E-001  0.439314                 NaN            NaN  0.240155        1.06381       0.288172E-001            NaN
  1234.08        500.000        98.2486       0.222747E-001  0.427653                 NaN            NaN  0.234102        1.03938       0.279979E-001            NaN
  1233.09        500.000        98.2878       0.196358E-001  0.421195                 NaN            NaN  0.228647        1.01576       0.269974E-001            NaN
  1232.09        500.000        98.3258       0.172804E-001  0.414496                 NaN            NaN  0.223363       0.992973       0.260688E-001            NaN
  1231.09        500.000        98.3620       0.148817E-001  0.408548                 NaN            NaN  0.218229       0.971216       0.251630E-001            NaN
  1230.10        500.000        98.3976       0.126872E-001  0.402197                 NaN            NaN  0.213223       0.949970       0.242974E-001            NaN
  1229.10        500.000        98.4335       0.145177E-001  0.390704                 NaN            NaN  0.207988       0.929572       0.236817E-001            NaN
  1228.10        500.000        98.4636       0.844568E-002  0.390935                 NaN            NaN  0.203875       0.910568       0.226227E-001            NaN
  1227.11        500.000        98.4961       0.805174E-002  0.383260                 NaN            NaN  0.199180       0.891487       0.219208E-001            NaN
  1226.11        500.000        98.5270       0.568292E-002  0.378030                 NaN            NaN  0.194788       0.873304       0.211523E-001            NaN
  1225.12        500.000        98.5566       0.464509E-002  0.372404                 NaN            NaN  0.190475       0.855416       0.204470E-001            NaN
  1224.12        500.000        98.5848       0.851737E-003  0.369766                 NaN            NaN  0.186425       0.838492       0.196619E-001            NaN
  1223.12        500.000        98.6128                 NaN  0.364255                 NaN            NaN  0.182439       0.821494       0.189883E-001            NaN
  1222.13        500.000        98.6400       0.306993E-005  0.357203                 NaN            NaN  0.178371       0.805959       0.184259E-001            NaN
  1221.13        500.000        98.6682                 NaN  0.349534                 NaN            NaN  0.174682       0.789830       0.177849E-001            NaN
  1220.14        500.000        98.6944                 NaN  0.342973                 NaN            NaN  0.170948       0.774493       0.171584E-001            NaN
  1219.14        500.000        98.7202                 NaN  0.336088                 NaN            NaN  0.167081       0.759960       0.166949E-001            NaN
  1218.14        500.000        98.7442                 NaN  0.330117                 NaN            NaN  0.164474       0.745313       0.159027E-001            NaN
  1217.15        500.000        98.7727                 NaN  0.322191                 NaN            NaN  0.159504       0.729900       0.156593E-001            NaN
  1216.15        500.000        98.7943                 NaN  0.316704                 NaN            NaN  0.156659       0.717327       0.150293E-001            NaN
  1215.16        500.000        98.8193                 NaN  0.309478                 NaN            NaN  0.153260       0.703363       0.145675E-001            NaN
  1214.16        500.000        98.8421                 NaN  0.303809                 NaN            NaN  0.149365       0.690504       0.142320E-001            NaN
  1213.16        500.000        98.8634                 NaN  0.298205                 NaN            NaN  0.146121       0.678471       0.138124E-001            NaN
  1212.17        500.000        98.8869                 NaN  0.291422                 NaN            NaN  0.143742       0.664836       0.131335E-001            NaN
  1211.17        500.000        98.9081                 NaN  0.285617                 NaN            NaN  0.140103       0.653334       0.127952E-001            NaN
  1210.18        500.000        98.9297                 NaN  0.279602                 NaN            NaN  0.137007       0.641250       0.124775E-001            NaN
  1209.18        500.000        98.9478       0.219269E-005  0.275292                 NaN            NaN  0.135086       0.630033       0.117887E-001            NaN
  1208.18        500.000        98.9709                 NaN  0.268052                 NaN            NaN  0.130657       0.618573       0.117740E-001            NaN
  1207.19        500.000        98.9881                 NaN  0.264367                 NaN            NaN  0.128696       0.607590       0.112078E-001            NaN
  1206.19        500.000        99.0082                 NaN  0.258116                 NaN            NaN  0.125714       0.597065       0.109252E-001            NaN
  1205.19        500.000        99.0283                 NaN  0.252662                 NaN            NaN  0.122587       0.585858       0.105836E-001            NaN
  1204.20        500.000        72.0518                 NaN   3.58593       0.892287                 NaN   2.70342        13.1828       0.158627        7.42517     
  1203.20        500.000        99.4608                 NaN  0.214744E-001            NaN            NaN            NaN            NaN            NaN  0.517692     
  1202.21        500.000        99.4041                 NaN  0.101909       0.891212E-002            NaN  0.919735E-001  0.388871       0.420424E-002            NaN
  1201.21        500.000        99.9698                 NaN            NaN            NaN            NaN  0.301916E-001            NaN            NaN            NaN
  1200.21        500.000        99.6944                 NaN  0.405588E-001  0.120093E-001            NaN            NaN  0.150721       0.110511E-002  0.101205     
  1199.22        500.000        99.8120                 NaN  0.380310E-001            NaN            NaN            NaN            NaN            NaN  0.149932     
  1198.22        500.000        99.7402       0.157403E-001            NaN            NaN            NaN  0.357143E-001  0.205576       0.278767E-002            NaN
  1197.23        500.000        98.7665                 NaN  0.159455       0.146484E-005            NaN  0.909223E-001  0.451591                 NaN  0.531499     
  1196.23        500.000        99.5000                 NaN  0.141397E-001  0.390396E-001            NaN  0.433833E-001            NaN            NaN  0.403485     
  1195.23        500.000        99.2874                 NaN  0.734564E-001            NaN            NaN  0.557475E-001  0.573855       0.953231E-002            NaN
  1194.24        500.000        99.7163                 NaN            NaN            NaN            NaN  0.147317E-001  0.108991       0.277105E-002  0.157202     
  1193.24        500.000        99.9555                 NaN  0.111771E-001            NaN            NaN  0.495924E-002            NaN  0.205865E-003  0.281569E-001
  1192.25        500.000        99.8885                 NaN  0.330073E-001            NaN            NaN  0.125348E-001            NaN  0.955865E-002  0.564446E-001
  1191.25        500.000        99.7530                 NaN  0.166887E-001            NaN            NaN  0.281006E-001  0.202200                 NaN            NaN
  1190.25        500.000        99.5623                 NaN  0.130752                 NaN            NaN  0.448428E-001            NaN  0.531939E-002  0.256822     
  1189.26        500.000        99.7521                 NaN  0.352336E-001            NaN            NaN  0.550421E-002  0.207161                 NaN            NaN
  1188.26        500.000       0.416706                 NaN   6.43023        2.25579                 NaN   7.18541        42.8806       0.319612        40.5117     
  1187.26        500.000                 NaN            NaN   2.74938        5.94360       0.404980E-005   7.14536        43.0881       0.340387        40.7332     
  1186.27        500.000                 NaN            NaN  0.123643E-004   3.14120        5.58221        7.17041        43.0373       0.332954        40.7359     
  1185.27        500.000                 NaN            NaN  0.166683E-004   3.28690        5.43718        7.17181        43.0347       0.332717        40.7367     
  1184.28        500.000                 NaN            NaN  0.871230        7.86601                 NaN   7.15880        43.0340       0.329303        40.7406     
  1183.28        500.000                 NaN            NaN   3.73082        4.97553       0.120996E-004   7.15782        43.0620       0.337013        40.7368     
  1182.28        500.000                 NaN            NaN   3.13444        5.56936       0.170966E-004   7.15752        43.0635       0.337523        40.7377     
  1181.29        500.000                 NaN            NaN   2.22735        6.47674       0.361618E-005   7.18535        43.0376       0.337290        40.7357     
  1180.29        500.000                 NaN            NaN   2.32385        6.38182       0.885465E-005   7.17672        43.0403       0.337900        40.7394     
  1179.30        500.000                 NaN   1.58629        5.97385       0.181888E-003            NaN   6.94697        43.6427       0.442904        41.4071     
  1178.30        500.000                 NaN   1.59482        5.95946       0.398344E-003            NaN   6.94639        43.6439       0.443335        41.4117     
  1177.30        500.000                 NaN   1.60350        5.94540       0.204832E-004            NaN   6.94576        43.6453       0.443785        41.4163     
  1176.31        500.000                 NaN   1.61202        5.93124       0.204114E-004            NaN   6.94516        43.6465       0.444225        41.4208     
  1175.31        500.000                 NaN   1.62044        5.91722       0.203344E-004            NaN   6.94457        43.6478       0.444660        41.4253     
  1174.32        500.000                 NaN   1.62878        5.90335       0.202520E-004            NaN   6.94398        43.6490       0.445091        41.4298     
  1173.32        500.000                 NaN   1.63703        5.88964       0.252167E-004            NaN   6.94340        43.6502       0.445517        41.4342     
  1172.32        500.000                 NaN   1.61669        5.92729       0.498841E-005            NaN   6.94785        43.6379       0.443616        41.4267     
  1171.33        500.000                 NaN            NaN   1.42774        7.32457                 NaN   7.17486        42.9971       0.324326        40.7514     
  1170.33        500.000                 NaN            NaN   5.17951        3.55305                 NaN   7.19770        42.9890       0.331106        40.7496     
  1169.34        500.000                 NaN            NaN   1.85854        6.85588       0.184196E-005   7.19465        43.0112       0.333325        40.7464     
  1168.34        500.000                 NaN            NaN  0.971898        7.77886                 NaN   7.21055        42.9637       0.324315        40.7507     
  1167.34        500.000                 NaN            NaN   1.88937        6.83191       0.209160E-004   7.18982        43.0075       0.331548        40.7499     
  1166.35        500.000                 NaN            NaN   1.83843        6.88026       0.193650E-005   7.19017        43.0091       0.332016        40.7500     
  1165.35        500.000                 NaN   1.69287        5.77089       0.266217E-001            NaN   6.93985        43.6561       0.448314        41.4654     
  1164.35        500.000                 NaN   1.70677        5.77329       0.548204E-003            NaN   6.93858        43.6596       0.449104        41.4721     
  1163.36        500.000                 NaN   1.71417        5.76112       0.408587E-003            NaN   6.93805        43.6606       0.449498        41.4762     
  1162.36        500.000                 NaN   1.75966        5.69423       0.971995E-004            NaN   6.93744        43.6604       0.449839        41.4983     
  1161.37        500.000                 NaN   1.72824        5.73727       0.970038E-003            NaN   6.93715        43.6622       0.450194        41.4840     
  1160.37        500.000                 NaN   1.71245        5.76808       0.143975E-004            NaN   6.94096        43.6514       0.448617        41.4785     
