|6.6.6
Archiving\03_Data\eq/QFM_m0.75/EETA/EETA_1.tab                            
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       pxmn           Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)       
  2000.00        2500.00        99.0012       0.967162       0.316518E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.0012       0.967160       0.316517E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.0012       0.967158       0.316516E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.0012       0.967157       0.316516E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        99.0012       0.967155       0.316515E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        99.0012       0.967153       0.316515E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        99.0012       0.967151       0.316514E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        99.0012       0.967149       0.316513E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        99.0012       0.967148       0.316513E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        99.0012       0.967146       0.316512E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        99.0012       0.967144       0.316512E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        99.0012       0.967142       0.316511E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        99.0012       0.967140       0.316510E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        99.0012       0.967138       0.316510E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        99.0012       0.967136       0.316509E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        99.0012       0.967134       0.316508E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        99.0012       0.967132       0.316508E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        99.0012       0.967129       0.316507E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        99.0012       0.967127       0.316506E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        99.0012       0.967125       0.316506E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        99.0012       0.967123       0.316505E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        99.0012       0.967121       0.316504E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        99.0012       0.967118       0.316503E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        99.0012       0.967116       0.316503E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        99.0012       0.967114       0.316502E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        99.0012       0.967112       0.316501E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        99.0012       0.967109       0.316500E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        99.0012       0.967107       0.316500E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        99.0012       0.967104       0.316499E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        99.0012       0.967102       0.316498E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        99.0013       0.967100       0.316497E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        99.0013       0.967097       0.316496E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        99.0013       0.967095       0.316496E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        99.0013       0.967092       0.316495E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        99.0013       0.967089       0.316494E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        99.0013       0.967087       0.316493E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        99.0013       0.967084       0.316492E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        99.0013       0.967081       0.316491E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        99.0013       0.967079       0.316490E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        99.0013       0.967076       0.316490E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        99.0013       0.967073       0.316489E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        99.0013       0.967071       0.316488E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        99.0013       0.967068       0.316487E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        99.0013       0.967065       0.316486E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        99.0013       0.967062       0.316485E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        99.0013       0.967059       0.316484E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        99.0013       0.967056       0.316483E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        99.0013       0.967053       0.316482E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        99.0013       0.967050       0.316481E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        99.0013       0.967047       0.316480E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        2500.00        99.0013       0.967044       0.316479E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        2500.00        99.0013       0.967041       0.316478E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        2500.00        99.0013       0.967038       0.316477E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        2500.00        99.0013       0.967034       0.316476E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        2500.00        99.0013       0.967031       0.316475E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        2500.00        99.0013       0.967028       0.316474E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        2500.00        99.0013       0.967025       0.316473E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        2500.00        99.0013       0.967021       0.316472E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        2500.00        99.0013       0.967018       0.316471E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        2500.00        99.0013       0.967015       0.316469E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        2500.00        99.0013       0.967011       0.316468E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        2500.00        99.0013       0.967008       0.316467E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        2500.00        99.0013       0.967004       0.316466E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        2500.00        99.0014       0.967001       0.316465E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        2500.00        99.0014       0.966997       0.316464E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        2500.00        99.0014       0.966994       0.316463E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1788.46        2500.00        99.0014       0.966990       0.316461E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1785.26        2500.00        99.0014       0.966986       0.316460E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1782.05        2500.00        99.0014       0.966982       0.316459E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1778.85        2500.00        99.0014       0.966979       0.316458E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1775.64        2500.00        99.0014       0.966975       0.316456E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1772.44        2500.00        99.0014       0.966971       0.316455E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.23        2500.00        99.0014       0.966967       0.316454E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.03        2500.00        99.0014       0.966963       0.316453E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1762.82        2500.00        99.0014       0.966959       0.316451E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.62        2500.00        99.0014       0.966955       0.316450E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.41        2500.00        99.0014       0.966951       0.316449E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
