|6.6.6
Archiving\03_Data\eq/QFM_m0.75/EETA/EETA_3.tab                            
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       pxmn           Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)       
  2000.00        2500.00        99.2128       0.776066       0.111547E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.2127       0.776133       0.111546E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.2126       0.776201       0.111545E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.2126       0.776268       0.111545E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        99.2125       0.776336       0.111544E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        99.2124       0.776404       0.111544E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        99.2124       0.776471       0.111543E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        99.2123       0.776539       0.111542E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        99.2122       0.776607       0.111542E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        99.2122       0.776675       0.111542E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        99.2121       0.776743       0.111541E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        99.2120       0.776810       0.111541E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        99.2120       0.776878       0.111540E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        99.2119       0.776946       0.111540E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        99.2118       0.777014       0.111539E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        99.2118       0.777082       0.111539E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        99.2117       0.777150       0.111539E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        99.2116       0.777218       0.111538E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        99.2116       0.777286       0.111538E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        99.2115       0.777354       0.111538E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        99.2114       0.777422       0.111538E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        99.2114       0.777490       0.111537E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        99.2113       0.777559       0.111537E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        99.2112       0.777627       0.111537E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        99.2112       0.777695       0.111537E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        99.2111       0.777763       0.111537E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        99.2110       0.777831       0.111536E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        99.2109       0.777899       0.111536E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        99.2109       0.777968       0.111536E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        99.2108       0.778036       0.111536E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        99.2107       0.778104       0.111536E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        99.2107       0.778173       0.111536E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        99.2106       0.778241       0.111536E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        99.2105       0.778309       0.111536E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        99.2105       0.778378       0.111536E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        99.2104       0.778446       0.111536E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        99.2103       0.778514       0.111536E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        99.2103       0.778583       0.111536E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        99.2102       0.778651       0.111536E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        99.2101       0.778720       0.111536E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        99.2101       0.778789       0.111537E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        99.2100       0.778857       0.111537E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        99.2099       0.778925       0.111537E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        99.2099       0.778994       0.111537E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        99.2098       0.779062       0.111537E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        99.2097       0.779131       0.111537E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        99.2096       0.779199       0.111538E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        99.2096       0.779268       0.111538E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        99.2095       0.779337       0.111538E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        99.2094       0.779405       0.111538E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        2500.00        99.2094       0.779474       0.111539E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        2500.00        99.2093       0.779542       0.111539E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        2500.00        99.2092       0.779611       0.111539E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        2500.00        99.2092       0.779680       0.111540E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        2500.00        99.2091       0.779748       0.111540E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        2500.00        99.2090       0.779817       0.111540E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        2500.00        99.2090       0.779886       0.111541E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        2500.00        99.2089       0.779954       0.111541E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        2500.00        99.2088       0.780023       0.111541E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        2500.00        99.2088       0.780092       0.111542E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        2500.00        99.2087       0.780160       0.111542E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        2500.00        99.2086       0.780229       0.111543E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        2500.00        99.2085       0.780298       0.111543E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        2500.00        99.2085       0.780367       0.111544E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        2500.00        99.2084       0.780436       0.111544E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        2500.00        99.2083       0.780504       0.111545E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1788.46        2500.00        99.2083       0.780573       0.111545E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1785.26        2500.00        99.2082       0.780641       0.111546E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1782.05        2500.00        99.2081       0.780710       0.111546E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1778.85        2500.00        99.2081       0.780779       0.111547E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1775.64        2500.00        99.2080       0.780847       0.111548E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1772.44        2500.00        99.2079       0.780916       0.111548E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.23        2500.00        99.2079       0.780985       0.111549E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.03        2500.00        99.2078       0.781054       0.111549E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1762.82        2500.00        99.2077       0.781122       0.111550E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.62        2500.00        99.2077       0.781191       0.111551E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.41        2500.00        99.2076       0.781260       0.111551E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1753.21        2500.00        99.2075       0.781328       0.111552E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1750.00        2500.00        99.2074       0.781397       0.111553E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.79        2500.00        99.2074       0.781466       0.111553E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1743.59        2500.00        99.2073       0.781535       0.111554E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1740.38        2500.00        99.2072       0.781603       0.111555E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1737.18        2500.00        99.2072       0.781672       0.111556E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1733.97        2500.00        99.2071       0.781741       0.111556E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1730.77        2500.00        99.0139       0.781832                 NaN  0.204298                 NaN            NaN            NaN            NaN            NaN            NaN
  1727.56        2500.00        99.0091       0.781902                 NaN  0.209039                 NaN            NaN            NaN            NaN            NaN            NaN
  1724.36        2500.00        99.0042       0.781973                 NaN  0.213781                 NaN            NaN            NaN            NaN            NaN            NaN
  1721.15        2500.00        98.9994       0.782043                 NaN  0.218523                 NaN            NaN            NaN            NaN            NaN            NaN
  1717.95        2500.00        98.9946       0.782113                 NaN  0.223267                 NaN            NaN            NaN            NaN            NaN            NaN
  1714.74        2500.00        98.9871       0.782184                 NaN  0.230751                 NaN            NaN            NaN            NaN            NaN            NaN
  1711.54        2500.00        98.9795       0.782255                 NaN  0.238236                 NaN            NaN            NaN            NaN            NaN            NaN
  1708.33        2500.00        98.9720       0.782326                 NaN  0.245722                 NaN            NaN            NaN            NaN            NaN            NaN
  1705.13        2500.00        98.9644       0.782397                 NaN  0.253209                 NaN            NaN            NaN            NaN            NaN            NaN
  1701.92        2500.00        98.9568       0.782468                 NaN  0.260698                 NaN            NaN            NaN            NaN            NaN            NaN
  1698.72        2500.00        98.9493       0.782539                 NaN  0.268187                 NaN            NaN            NaN            NaN            NaN            NaN
  1695.51        2500.00        98.9417       0.782610                 NaN  0.275678                 NaN            NaN            NaN            NaN            NaN            NaN
  1692.31        2500.00        98.9341       0.782682                 NaN  0.283170                 NaN            NaN            NaN            NaN            NaN            NaN
  1689.10        2500.00        98.9215       0.782754                 NaN  0.295793                 NaN            NaN            NaN            NaN            NaN            NaN
  1685.90        2500.00        98.9088       0.782827                 NaN  0.308417                 NaN            NaN            NaN            NaN            NaN            NaN
  1682.69        2500.00        98.8961       0.782899                 NaN  0.321043                 NaN            NaN            NaN            NaN            NaN            NaN
  1679.49        2500.00        98.8834       0.782972                 NaN  0.333671                 NaN            NaN            NaN            NaN            NaN            NaN
  1676.28        2500.00        98.8707       0.783044                 NaN  0.346301                 NaN            NaN            NaN            NaN            NaN            NaN
  1673.08        2500.00        98.8579       0.783117                 NaN  0.358934                 NaN            NaN            NaN            NaN            NaN            NaN
  1669.87        2500.00        98.8452       0.783190                 NaN  0.371568                 NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        98.8325       0.783263                 NaN  0.384204                 NaN            NaN            NaN            NaN            NaN            NaN
  1663.46        2500.00        98.8021       0.783349                 NaN  0.406423       0.811220E-002            NaN            NaN            NaN            NaN            NaN
  1660.26        2500.00        98.7740       0.783439                 NaN  0.423527       0.190550E-001            NaN            NaN            NaN            NaN            NaN
  1657.05        2500.00        98.7376       0.783530                 NaN  0.448993       0.298590E-001            NaN            NaN            NaN            NaN            NaN
  1653.85        2500.00        98.7012       0.783622                 NaN  0.474465       0.406657E-001            NaN            NaN            NaN            NaN            NaN
  1650.64        2500.00        98.6564       0.783716                 NaN  0.508663       0.511766E-001            NaN            NaN            NaN            NaN            NaN
  1647.44        2500.00        98.6116       0.783809                 NaN  0.542868       0.616901E-001            NaN            NaN            NaN            NaN            NaN
