|6.6.6
Archiving\03_Data\eqLP/QFM_m4.75/GRV/GRV_1.tab                            
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       pxmn           iron           Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        500.000        99.1673       0.832743                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        99.1673       0.832742                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        99.1673       0.832742                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        99.1673       0.832742                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        99.1673       0.832742                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        99.1673       0.832741                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        99.1673       0.832741                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        99.1673       0.832741                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        99.1673       0.832741                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        99.1673       0.832740                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        99.1673       0.832740                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        99.1673       0.832740                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        99.1568       0.832765       0.104431E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        99.1185       0.832856       0.486648E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        99.0802       0.832947       0.868950E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        99.0418       0.833039       0.125134                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        99.0035       0.833130       0.163380                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        98.9661       0.833220       0.200678                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        98.9287       0.833309       0.237984                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000        98.8913       0.833398       0.275298                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000        98.8539       0.833487       0.312619                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000        98.8165       0.833576       0.349949                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000        98.7790       0.833666       0.387287                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000        98.7416       0.833755       0.424633                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        500.000        98.7042       0.833844       0.461986                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000        98.6680       0.833930       0.498081                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        500.000        98.6318       0.834017       0.534183                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        500.000        98.5956       0.834103       0.570292                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        500.000        98.5594       0.834189       0.606409                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        500.000        98.5232       0.834276       0.642533                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        500.000        98.4870       0.834362       0.678665                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        500.000        98.4507       0.834448       0.714804                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        500.000        98.4145       0.834535       0.750951                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        500.000        98.3795       0.834618       0.785868                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        500.000        98.3445       0.834702       0.820793                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        500.000        98.3095       0.834785       0.855724                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        500.000        98.2745       0.834869       0.890662                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        500.000        98.2394       0.834952       0.925608                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        500.000        98.2044       0.835036       0.960560                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        500.000        98.1694       0.835119       0.995519                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        500.000        98.1343       0.835203        1.03049                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        500.000        98.1005       0.835283        1.06419                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        500.000        98.0667       0.835364        1.09791                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        500.000        98.0329       0.835444        1.13163                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        500.000        97.9991       0.835525        1.16536                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        500.000        97.9653       0.835605        1.19910                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
