|6.6.6
Archiving\03_Data\eqfracLP/QFM_m0.5/YM20/YM20_1.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1538.46        500.000       0.210874E-001            NaN   99.8646       0.269924E-001  0.873581E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1537.11        500.000                 NaN            NaN   99.6318       0.368236                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.76        500.000                 NaN            NaN   99.4169       0.583081                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.41        500.000                 NaN            NaN   99.4204       0.579552                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.06        500.000                 NaN            NaN   99.4189       0.573589       0.748186E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1531.71        500.000                 NaN            NaN   99.4360       0.564032                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.36        500.000                 NaN            NaN   99.4325       0.567546                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.01        500.000                 NaN            NaN   99.4365       0.563452                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.66        500.000                 NaN            NaN   99.4409       0.559069                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.31        500.000                 NaN            NaN   99.4448       0.555233                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.96        500.000                 NaN            NaN   99.4491       0.545011       0.591263E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1523.62        500.000                 NaN            NaN   99.4529       0.532122       0.149810E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1522.27        500.000                 NaN            NaN   99.4552       0.542605       0.222490E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1520.92        500.000                 NaN            NaN   99.4578       0.527841       0.143750E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1519.57        500.000                 NaN            NaN   99.4641       0.517953       0.179347E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1518.22        500.000                 NaN            NaN   99.4704       0.508556       0.209979E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1516.87        500.000                 NaN            NaN   99.4713       0.508716       0.199806E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1515.52        500.000                 NaN            NaN   99.4753       0.506659       0.180158E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1514.17        500.000                 NaN            NaN   99.4782       0.503456       0.183350E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1512.82        500.000                 NaN            NaN   99.4831       0.498620       0.182641E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1511.47        500.000                 NaN            NaN   99.4855       0.498834       0.156428E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1510.12        500.000                 NaN            NaN   99.4870       0.498301       0.147266E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1508.77        500.000                 NaN            NaN   99.6712       0.327838       0.949940E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1507.42        500.000                 NaN            NaN   99.3056       0.677238       0.171466E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1506.07        500.000                 NaN            NaN   99.4959       0.491426       0.126568E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1504.72        500.000                 NaN            NaN   99.5019       0.485259       0.128279E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1503.37        500.000                 NaN            NaN   98.6667        1.29906       0.342747E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1502.02        500.000                 NaN            NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.67        500.000                 NaN            NaN   99.8675       0.130259       0.227609E-002            NaN            NaN            NaN            NaN            NaN            NaN
