|6.6.6
Archiving\03_Data\eqfracLP/QFM_m0.5/YM20/YM20_3.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1538.46        500.000       0.133703E-001            NaN   99.8899       0.232296E-001  0.735057E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1537.11        500.000                 NaN            NaN   99.6831       0.316932                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.76        500.000                 NaN            NaN   99.4981       0.501900                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.41        500.000                 NaN            NaN   99.5013       0.498723                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.06        500.000                 NaN            NaN   99.5003       0.493439       0.629457E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1531.71        500.000                 NaN            NaN   99.5149       0.485125                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.36        500.000                 NaN            NaN   99.5120       0.488009                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.01        500.000                 NaN            NaN   99.5156       0.484377                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.66        500.000                 NaN            NaN   99.5195       0.480528                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.31        500.000                 NaN            NaN   99.5229       0.477091                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.96        500.000                 NaN            NaN   99.5268       0.468191       0.496359E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1523.62        500.000                 NaN            NaN   99.5305       0.456980       0.125668E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1522.27        500.000                 NaN            NaN   99.5323       0.465884       0.186587E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1520.92        500.000                 NaN            NaN   99.5348       0.453148       0.120534E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1519.57        500.000                 NaN            NaN   99.5404       0.444590       0.150277E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1518.22        500.000                 NaN            NaN   99.5461       0.436268       0.175869E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1516.87        500.000                 NaN            NaN   99.5470       0.436316       0.167311E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1515.52        500.000                 NaN            NaN   99.5505       0.434464       0.150810E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1514.17        500.000                 NaN            NaN   99.5530       0.431660       0.153424E-001            NaN            NaN            NaN            NaN            NaN            NaN
