|6.6.6
Archiving\03_Data\eq/QFM_m1.75/TIS/TIS_3.tab                              
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       pxmn           Ni             Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an            
  2000.00        2500.00        99.1899       0.804467       0.567236E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.1898       0.804549       0.567241E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.1897       0.804630       0.567246E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.1896       0.804712       0.567251E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        99.1895       0.804794       0.567256E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        99.1895       0.804875       0.567261E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        99.1894       0.804957       0.567266E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        99.1893       0.805039       0.567272E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        99.1892       0.805121       0.567278E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        99.1891       0.805203       0.567283E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        99.1890       0.805285       0.567289E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        99.1890       0.805366       0.567295E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        99.1889       0.805448       0.567301E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        99.1888       0.805530       0.567307E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        99.1887       0.805613       0.567314E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        99.1886       0.805695       0.567320E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        99.1885       0.805777       0.567327E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        99.1885       0.805859       0.567333E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        99.1884       0.805941       0.567340E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        99.1883       0.806023       0.567347E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        99.1882       0.806106       0.567354E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        99.1881       0.806188       0.567361E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        99.1881       0.806271       0.567368E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        99.1880       0.806353       0.567375E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        99.1879       0.806436       0.567383E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        99.1878       0.806518       0.567390E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        99.1877       0.806601       0.567398E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        99.1876       0.806683       0.567405E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        99.1876       0.806766       0.567413E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        99.1875       0.806848       0.567421E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        99.1874       0.806931       0.567429E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        99.1873       0.807014       0.567437E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        99.1872       0.807097       0.567445E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        99.1871       0.807180       0.567454E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        99.1871       0.807263       0.567463E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        99.1870       0.807346       0.567472E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        99.1869       0.807430       0.567481E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        99.1868       0.807513       0.567490E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        99.1867       0.807597       0.567499E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        99.1866       0.807681       0.567508E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        99.1866       0.807764       0.567518E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        99.1865       0.807847       0.567527E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        99.1864       0.807929       0.567535E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        99.1863       0.808012       0.567544E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        99.1862       0.808094       0.567553E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        99.1861       0.808177       0.567562E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        99.1861       0.808259       0.567572E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        99.1860       0.808342       0.567581E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        99.1859       0.808425       0.567590E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        99.1858       0.808508       0.567600E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        2500.00        99.1857       0.808591       0.567610E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        2500.00        99.1856       0.808675       0.567620E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        2500.00        99.1856       0.808758       0.567630E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        2500.00        99.1855       0.808841       0.567640E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        2500.00        99.1854       0.808925       0.567651E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        2500.00        99.1853       0.809008       0.567661E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        2500.00        99.1852       0.809092       0.567672E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        2500.00        99.1851       0.809175       0.567682E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        2500.00        99.1851       0.809259       0.567693E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        2500.00        99.1850       0.809342       0.567704E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        2500.00        99.1849       0.809426       0.567715E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        2500.00        99.1848       0.809509       0.567726E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        2500.00        99.1847       0.809593       0.567737E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        2500.00        99.1846       0.809677       0.567748E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        2500.00        99.1846       0.809760       0.567759E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        2500.00        99.1845       0.809844       0.567771E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1788.46        2500.00        99.1844       0.809928       0.567782E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1785.26        2500.00        99.1843       0.810011       0.567793E-002            NaN            NaN            NaN            NaN            NaN            NaN
