|6.6.6
Archiving\03_Data\eqfrac/QFM_m4.25/ALH/ALH_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        ne             lc            
  1564.10        2500.00       0.294875E-002   99.9906       0.649388E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.69        2500.00       0.328083E-002   99.6351       0.364452E-001  0.325163                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.27        2500.00                 NaN   99.3243       0.632937E-001  0.612366                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.86        2500.00                 NaN   99.4607       0.523257E-001  0.486992                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.44        2500.00                 NaN   99.4657       0.497604E-001  0.484540                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.03        2500.00                 NaN   99.4680       0.495184E-001  0.482490                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.62        2500.00                 NaN   99.4736       0.489155E-001  0.477462                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.20        2500.00                 NaN   99.4747       0.482783E-001  0.476990                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.79        2500.00                 NaN   99.4816       0.468153E-001  0.471588                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        2500.00                 NaN   99.4842       0.471425E-001  0.468686                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.96        2500.00                 NaN   99.4854       0.456326E-001  0.469017                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.55        2500.00                 NaN   98.9942       0.953250E-001  0.910447                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.13        2500.00                 NaN   99.9834                 NaN  0.165859E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.72        2500.00                 NaN   99.8431       0.204951E-001  0.136368                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.31        2500.00                 NaN   99.1716       0.664605E-001  0.761924                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.89        2500.00                 NaN   99.5051       0.438763E-001  0.451067                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.48        2500.00                 NaN   99.4592       0.638893E-001  0.476910                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.07        2500.00                 NaN   99.5636       0.466536E-001  0.389729                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.65        2500.00                 NaN   99.9543       0.143346E-001  0.313258E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.24        2500.00                 NaN   99.0802       0.416313E-001  0.878122                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.82        2500.00                 NaN   99.4764       0.174338E-001  0.301813       0.204313                 NaN            NaN            NaN            NaN            NaN            NaN
  1534.41        2500.00                 NaN   99.5348       0.308137E-001  0.173154E-001  0.417081                 NaN            NaN            NaN            NaN            NaN            NaN
  1533.00        2500.00                 NaN   99.2638                 NaN  0.248388E-001  0.711359                 NaN            NaN            NaN            NaN            NaN            NaN
  1531.58        2500.00                 NaN   99.3983                 NaN  0.181109E-001  0.583603                 NaN            NaN            NaN            NaN            NaN            NaN
  1530.17        2500.00                 NaN   99.3977                 NaN  0.162112E-001  0.586100                 NaN            NaN            NaN            NaN            NaN            NaN
  1528.76        2500.00                 NaN   99.3990                 NaN  0.139103E-001  0.587095                 NaN            NaN            NaN            NaN            NaN            NaN
  1527.34        2500.00                 NaN   99.4001                 NaN  0.114707E-001  0.588412                 NaN            NaN            NaN            NaN            NaN            NaN
  1525.93        2500.00                 NaN   99.4003                 NaN  0.974575E-002  0.589978                 NaN            NaN            NaN            NaN            NaN            NaN
  1524.51        2500.00                 NaN   99.3063                 NaN  0.768165E-002  0.686062                 NaN            NaN            NaN            NaN            NaN            NaN
  1523.10        2500.00                 NaN   99.4998                 NaN  0.354704E-002  0.496611                 NaN            NaN            NaN            NaN            NaN            NaN
  1521.69        2500.00                 NaN   99.4023                 NaN  0.882420E-003  0.596771                 NaN            NaN            NaN            NaN            NaN            NaN
  1520.27        2500.00                 NaN   99.4027                 NaN  0.385203E-002  0.593453                 NaN            NaN            NaN            NaN            NaN            NaN
  1518.86        2500.00                 NaN   99.3832                 NaN            NaN  0.616775                 NaN            NaN            NaN            NaN            NaN            NaN
  1517.45        2500.00                 NaN   99.4214                 NaN  0.533077E-002  0.573290                 NaN            NaN            NaN            NaN            NaN            NaN
  1516.03        2500.00                 NaN   99.4009                 NaN            NaN  0.599108                 NaN            NaN            NaN            NaN            NaN            NaN
  1514.62        2500.00                 NaN   99.4003                 NaN            NaN  0.599681                 NaN            NaN            NaN            NaN            NaN            NaN
  1513.20        2500.00       0.252005E-002   99.3944                 NaN            NaN  0.603090                 NaN            NaN            NaN            NaN            NaN            NaN
  1511.79        2500.00       0.452432E-002   99.3880                 NaN            NaN  0.607466                 NaN            NaN            NaN            NaN            NaN            NaN
  1510.38        2500.00       0.448777E-002   99.3831                 NaN            NaN  0.612382                 NaN            NaN            NaN            NaN            NaN            NaN
  1508.96        2500.00       0.442408E-002   99.3887                 NaN            NaN  0.606833                 NaN            NaN            NaN            NaN            NaN            NaN
  1507.55        2500.00       0.440497E-002   99.3826                 NaN            NaN  0.613012                 NaN            NaN            NaN            NaN            NaN            NaN
  1506.13        2500.00       0.434425E-002   99.3801                 NaN            NaN  0.615563                 NaN            NaN            NaN            NaN            NaN            NaN
  1504.72        2500.00       0.430560E-002   99.3745                 NaN            NaN  0.621235                 NaN            NaN            NaN            NaN            NaN            NaN
  1503.31        2500.00       0.424959E-002   99.3696                 NaN            NaN  0.626123                 NaN            NaN            NaN            NaN            NaN            NaN
  1501.89        2500.00       0.420072E-002   99.3643                 NaN            NaN  0.631510                 NaN            NaN            NaN            NaN            NaN            NaN
  1500.48        2500.00       0.208633E-002   99.7024                 NaN            NaN  0.295526                 NaN            NaN            NaN            NaN            NaN            NaN
  1499.07        2500.00       0.617032E-002   99.0047                 NaN            NaN  0.989175                 NaN            NaN            NaN            NaN            NaN            NaN
  1497.65        2500.00       0.319987E-002   99.1940                 NaN            NaN  0.311797       0.490992                 NaN            NaN            NaN            NaN            NaN
  1496.24        2500.00       0.274259E-002   98.8695                 NaN            NaN  0.391235       0.736490                 NaN            NaN            NaN            NaN            NaN
  1494.82        2500.00       0.178543E-002   99.2478                 NaN            NaN  0.261296       0.489131                 NaN            NaN            NaN            NaN            NaN
  1493.41        2500.00       0.932668E-002   99.9900                 NaN            NaN  0.636012E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1492.00        2500.00                 NaN   98.1607                 NaN            NaN   1.18599       0.653303                 NaN            NaN            NaN            NaN            NaN
  1490.58        2500.00       0.638267E-004   99.0885                 NaN            NaN  0.598101       0.313325                 NaN            NaN            NaN            NaN            NaN
  1489.17        2500.00       0.154888E-002   99.0958                 NaN            NaN  0.314525       0.588081                 NaN            NaN            NaN            NaN            NaN
  1487.76        2500.00                 NaN   99.1044                 NaN            NaN  0.587502       0.308125                 NaN            NaN            NaN            NaN            NaN
  1486.34        2500.00       0.121509E-002   99.1115                 NaN            NaN  0.309377       0.577907                 NaN            NaN            NaN            NaN            NaN
  1484.93        2500.00       0.179040E-002   99.1199                 NaN            NaN  0.308390       0.569902                 NaN            NaN            NaN            NaN            NaN
  1483.51        2500.00       0.172658E-002   99.1261                 NaN            NaN  0.566503       0.305707                 NaN            NaN            NaN            NaN            NaN
  1482.10        2500.00       0.168937E-002   99.1306                 NaN            NaN  0.564647       0.303060                 NaN            NaN            NaN            NaN            NaN
  1480.69        2500.00       0.161731E-002   99.1425                 NaN            NaN  0.301310       0.554585                 NaN            NaN            NaN            NaN            NaN
  1479.27        2500.00       0.156167E-002   99.1490                 NaN            NaN  0.550426       0.299012                 NaN            NaN            NaN            NaN            NaN
  1477.86        2500.00       0.150623E-002   99.1549                 NaN            NaN  0.546222       0.297416                 NaN            NaN            NaN            NaN            NaN
  1476.45        2500.00       0.145031E-002   99.1585                 NaN            NaN  0.543863       0.296188                 NaN            NaN            NaN            NaN            NaN
  1475.03        2500.00       0.140064E-002   99.1719                 NaN            NaN  0.292584       0.534118                 NaN            NaN            NaN            NaN            NaN
  1473.62        2500.00       0.135994E-002   99.1750                 NaN            NaN  0.532501       0.291169                 NaN            NaN            NaN            NaN            NaN
  1472.20        2500.00       0.130643E-002   99.1812                 NaN            NaN  0.528365       0.289087                 NaN            NaN            NaN            NaN            NaN
  1470.79        2500.00       0.125835E-002   99.1877                 NaN            NaN  0.524096       0.286991                 NaN            NaN            NaN            NaN            NaN
  1469.38        2500.00       0.121609E-002   99.1891                 NaN            NaN  0.286939       0.522788                 NaN            NaN            NaN            NaN            NaN
  1467.96        2500.00       0.116165E-002   99.2055                 NaN            NaN  0.281653       0.511726                 NaN            NaN            NaN            NaN            NaN
  1466.55        2500.00       0.111976E-002   99.2061                 NaN            NaN  0.281554       0.511180                 NaN            NaN            NaN            NaN            NaN
  1465.14        2500.00                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1463.72        2500.00       0.213568E-002   98.4300                 NaN            NaN  0.556185        1.01166                 NaN            NaN            NaN            NaN            NaN
  1462.31        2500.00       0.987052E-003   99.2233                 NaN            NaN  0.500215       0.275491                 NaN            NaN            NaN            NaN            NaN
  1460.89        2500.00       0.949625E-003   99.2284                 NaN            NaN  0.273404       0.497240                 NaN            NaN            NaN            NaN            NaN
  1459.48        2500.00       0.913886E-003   99.2330                 NaN            NaN  0.494242       0.271855                 NaN            NaN            NaN            NaN            NaN
  1458.07        2500.00       0.880149E-003   99.2391                 NaN            NaN  0.269609       0.490371                 NaN            NaN            NaN            NaN            NaN
  1456.65        2500.00       0.831305E-003   99.2451                 NaN            NaN  0.486149       0.267894                 NaN            NaN            NaN            NaN            NaN
  1455.24        2500.00       0.801150E-003   99.2496                 NaN            NaN  0.266258       0.483335                 NaN            NaN            NaN            NaN            NaN
  1453.82        2500.00       0.764835E-003   99.2546                 NaN            NaN  0.480168       0.264485                 NaN            NaN            NaN            NaN            NaN
  1452.41        2500.00       0.731491E-003   99.2593                 NaN            NaN  0.262731       0.477238                 NaN            NaN            NaN            NaN            NaN
  1451.00        2500.00       0.851237E-003   99.0805                 NaN            NaN  0.593201       0.325465                 NaN            NaN            NaN            NaN            NaN
