|6.6.6
Archiving\03_Data\eqfrac/QFM_m1.5/EETA/EETA_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          Sp(TH)         an             San(TH)        ilm            q             
  1439.10        2500.00        86.3946        4.84094        8.76444                 NaN            NaN  0.308724E-005            NaN            NaN            NaN            NaN            NaN
  1438.00        2500.00        99.3581       0.219899       0.421910                 NaN            NaN            NaN  0.448861E-004            NaN            NaN            NaN            NaN
  1436.90        2500.00        99.3602       0.219836       0.419423                 NaN            NaN  0.485908E-005  0.512918E-003            NaN            NaN            NaN            NaN
  1435.80        2500.00        99.0461       0.327093       0.626089                 NaN            NaN            NaN  0.706575E-003            NaN            NaN            NaN            NaN
  1434.70        2500.00        99.6867       0.107982       0.205092                 NaN            NaN            NaN  0.219751E-003            NaN            NaN            NaN            NaN
  1433.60        2500.00        99.3682       0.414217       0.217187                 NaN            NaN            NaN  0.417403E-003            NaN            NaN            NaN            NaN
  1432.50        2500.00        99.3703       0.413035       0.216321                 NaN            NaN            NaN  0.392367E-003            NaN            NaN            NaN            NaN
  1431.40        2500.00        99.3724       0.215447       0.411760                 NaN            NaN            NaN  0.385141E-003            NaN            NaN            NaN            NaN
  1430.30        2500.00        99.3478       0.224089       0.427752                 NaN            NaN            NaN  0.375634E-003            NaN            NaN            NaN            NaN
  1429.20        2500.00        99.4054       0.390119       0.204130                 NaN            NaN            NaN  0.311106E-003            NaN            NaN            NaN            NaN
  1428.09        2500.00        99.3790       0.213231       0.407460                 NaN            NaN            NaN  0.326363E-003            NaN            NaN            NaN            NaN
  1426.99        2500.00        99.3789       0.407813       0.212960                 NaN            NaN            NaN  0.312009E-003            NaN            NaN            NaN            NaN
  1425.89        2500.00        99.3849       0.211358       0.403424                 NaN            NaN            NaN  0.276969E-003            NaN            NaN            NaN            NaN
  1424.79        2500.00        99.3850       0.210767       0.404000                 NaN            NaN            NaN  0.270183E-003            NaN            NaN            NaN            NaN
  1423.69        2500.00        99.3867       0.402912       0.210157                 NaN            NaN            NaN  0.249007E-003            NaN            NaN            NaN            NaN
  1422.59        2500.00        99.1587       0.322531       0.407023                 NaN            NaN            NaN  0.529376E-004  0.111738                 NaN            NaN            NaN
  1421.49        2500.00        98.5140       0.444550       0.635461                 NaN            NaN            NaN            NaN  0.405953                 NaN            NaN            NaN
  1420.39        2500.00        98.6891       0.424624       0.387934                 NaN            NaN  0.120517                 NaN  0.377801                 NaN            NaN            NaN
  1419.29        2500.00        98.5724       0.490556       0.275872                 NaN            NaN  0.233349                 NaN  0.427775                 NaN            NaN            NaN
  1418.19        2500.00        97.1352        1.00360       0.524182                 NaN            NaN  0.474910                 NaN  0.862127                 NaN            NaN            NaN
  1417.09        2500.00        99.9994                 NaN            NaN            NaN            NaN  0.576384E-003            NaN            NaN            NaN            NaN            NaN
  1415.99        2500.00        98.7032       0.239904       0.450775                 NaN            NaN  0.217637                 NaN  0.388472                 NaN            NaN            NaN
  1414.89        2500.00        98.6324       0.475449       0.248605                 NaN            NaN  0.232998                 NaN  0.410556                 NaN            NaN            NaN
  1413.79        2500.00        98.6528       0.239845       0.471751                 NaN            NaN  0.231907                 NaN  0.403739                 NaN            NaN            NaN
  1412.69        2500.00        98.6643       0.467252       0.235783                 NaN            NaN  0.232100                 NaN  0.400521                 NaN            NaN            NaN
  1411.59        2500.00        98.6771       0.228950       0.464829                 NaN            NaN  0.232353                 NaN  0.396746                 NaN            NaN            NaN
  1410.49        2500.00        98.6911       0.222240       0.461785                 NaN            NaN  0.232308                 NaN  0.392596                 NaN            NaN            NaN
  1409.39        2500.00        97.3720       0.938957       0.427883                 NaN            NaN  0.470569                 NaN  0.790562                 NaN            NaN            NaN
  1408.29        2500.00        99.8384       0.579679E-001  0.235176E-001            NaN            NaN  0.313296E-001            NaN  0.487779E-001            NaN            NaN            NaN
  1407.19        2500.00        98.9602       0.372507       0.165580                 NaN            NaN  0.190332                 NaN  0.311354                 NaN            NaN            NaN
  1406.08        2500.00        98.7414       0.449131       0.198572                 NaN            NaN  0.233061                 NaN  0.377829                 NaN            NaN            NaN
  1404.98        2500.00        98.7584       0.444913       0.194020                 NaN            NaN  0.230584                 NaN  0.372121                 NaN            NaN            NaN
  1403.88        2500.00        98.7681       0.187428       0.443174                 NaN            NaN  0.231687                 NaN  0.369577                 NaN            NaN            NaN
  1402.78        2500.00        98.7803       0.181975       0.440045                 NaN            NaN  0.231672                 NaN  0.366008                 NaN            NaN            NaN
  1401.68        2500.00        98.7903       0.438929       0.176123                 NaN            NaN  0.231721                 NaN  0.362932                 NaN            NaN            NaN
  1400.58        2500.00        98.8032       0.434989       0.171308                 NaN            NaN  0.231500                 NaN  0.359039                 NaN            NaN            NaN
  1399.48        2500.00        98.8144       0.166722       0.432155                 NaN            NaN  0.231218                 NaN  0.355550                 NaN            NaN            NaN
  1398.38        2500.00        98.8254       0.161247       0.429742                 NaN            NaN  0.231271                 NaN  0.352325                 NaN            NaN            NaN
  1397.28        2500.00        98.8303       0.158697       0.428020                 NaN            NaN  0.231661                 NaN  0.351314                 NaN            NaN            NaN
  1396.18        2500.00        98.8522       0.148772       0.424806                 NaN            NaN  0.230545                 NaN  0.343712                 NaN            NaN            NaN
  1395.08        2500.00        98.8579       0.146289       0.422286                 NaN            NaN  0.230968                 NaN  0.342521                 NaN            NaN            NaN
  1393.98        2500.00        98.8683       0.419800       0.142082                 NaN            NaN  0.230557                 NaN  0.339227                 NaN            NaN            NaN
  1392.88        2500.00        98.8775       0.135178       0.419374                 NaN            NaN  0.231164                 NaN  0.336778                 NaN            NaN            NaN
  1391.78        2500.00        98.8892       0.133496       0.414856                 NaN            NaN  0.229700                 NaN  0.332733                 NaN            NaN            NaN
  1390.68        2500.00        98.8978       0.128175       0.413521                 NaN            NaN  0.230209                 NaN  0.330282                 NaN            NaN            NaN
  1389.58        2500.00        98.9080       0.123935       0.411175                 NaN            NaN  0.229834                 NaN  0.327083                 NaN            NaN            NaN
  1388.48        2500.00        98.9166       0.119733       0.409115                 NaN            NaN  0.229990                 NaN  0.324523                 NaN            NaN            NaN
  1387.38        2500.00        98.9266       0.407009       0.115190                 NaN            NaN  0.229632                 NaN  0.321585                 NaN            NaN            NaN
  1386.28        2500.00        98.9366       0.404098       0.112163                 NaN            NaN  0.228873                 NaN  0.318270                 NaN            NaN            NaN
  1385.18        2500.00        98.9445       0.107711       0.402971                 NaN            NaN  0.228931                 NaN  0.315860                 NaN            NaN            NaN
  1384.07        2500.00        98.9529       0.400983       0.104246                 NaN            NaN  0.228701                 NaN  0.313219                 NaN            NaN            NaN
  1382.97        2500.00        98.9605       0.984420E-001  0.399651                 NaN            NaN  0.230050                 NaN  0.311317                 NaN            NaN            NaN
  1381.87        2500.00        98.9725       0.396217       0.977986E-001            NaN            NaN  0.226729                 NaN  0.306761                 NaN            NaN            NaN
  1380.77        2500.00        98.9735       0.874985E-001  0.400523                 NaN            NaN  0.231160                 NaN  0.307290                 NaN            NaN            NaN
