|6.6.6
Archiving\03_Data\DeqfracLP/QFM/T13/T13_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1589.74        500.000       0.880975E-002            NaN   99.9840       0.717344E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.26        500.000       0.170164E-002            NaN   99.0324       0.931528       0.343365E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1586.78        500.000                 NaN            NaN   99.0373       0.962737                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.31        500.000                 NaN            NaN   99.0445       0.951325       0.420437E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1583.83        500.000                 NaN            NaN   99.0538       0.885674       0.605202E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1582.35        500.000                 NaN            NaN   99.0637       0.874964       0.613034E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1580.87        500.000                 NaN            NaN   99.0726       0.868537       0.588431E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1579.39        500.000                 NaN            NaN   99.0697       0.877539       0.527645E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1577.92        500.000                 NaN            NaN   99.0983       0.844328       0.573839E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        500.000                 NaN            NaN   99.1000       0.841636       0.583971E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1574.96        500.000                 NaN            NaN   99.1083       0.837484       0.542152E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1573.48        500.000                 NaN            NaN   99.1145       0.833205       0.522891E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1572.00        500.000                 NaN            NaN   99.1248       0.823597       0.516215E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1570.53        500.000                 NaN            NaN   99.1310       0.818324       0.506835E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1569.05        500.000                 NaN            NaN   99.1419       0.807823       0.502971E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1567.57        500.000                 NaN            NaN   99.1061       0.840032       0.538481E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1566.09        500.000                 NaN            NaN   99.1377       0.819125       0.431425E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1564.61        500.000                 NaN            NaN   99.2151       0.743123       0.418216E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1563.14        500.000                 NaN            NaN   99.1744       0.780821       0.448050E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1561.66        500.000                 NaN            NaN   99.1768       0.779226       0.439712E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1560.18        500.000                 NaN            NaN   99.1857       0.772226       0.420971E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1558.70        500.000                 NaN            NaN   99.1914       0.767705       0.409188E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1557.22        500.000                 NaN            NaN   99.1980       0.762119       0.399035E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1555.74        500.000                 NaN            NaN   99.2059       0.755577       0.385569E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1554.27        500.000                 NaN            NaN   99.2122       0.749008       0.387769E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1552.79        500.000                 NaN            NaN   99.2156       0.749148       0.352824E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1551.31        500.000                 NaN            NaN   99.2262       0.738525       0.353185E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1549.83        500.000                 NaN            NaN   98.7462        1.19526       0.585821E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1548.35        500.000                 NaN            NaN   99.7141       0.273054       0.128951E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1546.88        500.000                 NaN            NaN   99.2601       0.707342       0.325742E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1545.40        500.000                 NaN            NaN   99.2496       0.718689       0.317342E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1543.92        500.000                 NaN            NaN   99.2549       0.712623       0.325069E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1542.44        500.000                 NaN            NaN   99.2624       0.711028       0.265814E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1540.96        500.000                 NaN            NaN   99.7503       0.218483       0.312492E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1539.49        500.000                 NaN            NaN   98.7894        1.18652       0.240884E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1538.01        500.000                 NaN            NaN   98.6298        1.32248       0.477547E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1536.53        500.000                 NaN            NaN   99.9369       0.630955E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.05        500.000                 NaN            NaN   99.2877       0.688577       0.237134E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1533.57        500.000                 NaN            NaN   99.2936       0.684833       0.215210E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1532.10        500.000                 NaN            NaN   99.2974       0.681892       0.207416E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1530.62        500.000                 NaN            NaN   99.3043       0.676525       0.191870E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1529.14        500.000                 NaN            NaN   99.3092       0.672082       0.187439E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1527.66        500.000                 NaN            NaN   99.3132       0.669437       0.173553E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1526.18        500.000                 NaN            NaN   99.3173       0.666702       0.160085E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1524.71        500.000                 NaN            NaN   99.3230       0.660214       0.167580E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1523.23        500.000                 NaN            NaN   99.3273       0.659525       0.131308E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1521.75        500.000                 NaN            NaN   99.3273       0.663401       0.925866E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1520.27        500.000                 NaN            NaN   99.3369       0.648433       0.146817E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1518.79        500.000                 NaN            NaN   99.3432       0.645499       0.113161E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1517.32        500.000                 NaN            NaN   99.3453       0.644067       0.106346E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1515.84        500.000                 NaN            NaN   99.3491       0.642349       0.857279E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1514.36        500.000                 NaN            NaN   99.3524       0.641733       0.589760E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1512.88        500.000                 NaN            NaN   99.3588       0.633054       0.813182E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1511.40        500.000                 NaN            NaN   99.3597       0.635690       0.462253E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1509.93        500.000                 NaN            NaN   99.3660       0.629419       0.460383E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1508.45        500.000                 NaN            NaN   99.3689       0.625510       0.557229E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1506.97        500.000                 NaN            NaN   99.3735       0.622615       0.389333E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1505.49        500.000                 NaN            NaN   99.3828       0.567203       0.500324E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1504.01        500.000                 NaN            NaN   99.3800       0.619981                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.54        500.000                 NaN            NaN   99.3840       0.616039                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.06        500.000                 NaN            NaN   99.3768       0.623183                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.58        500.000                 NaN            NaN   99.4017       0.598336       0.141750E-005            NaN            NaN            NaN            NaN            NaN            NaN
  1498.10        500.000                 NaN            NaN   99.3982       0.550588       0.512353E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1496.62        500.000                 NaN            NaN   99.4017       0.598338                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.15        500.000                 NaN            NaN   99.4026       0.591109       0.628110E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1493.67        500.000                 NaN            NaN   99.4043       0.595723                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.19        500.000                 NaN            NaN   99.4143       0.541466       0.442729E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1490.71        500.000                 NaN            NaN   99.4104       0.589604                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.23        500.000                 NaN            NaN   99.4142       0.585800                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.75        500.000                 NaN            NaN   99.4169       0.583067                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.28        500.000                 NaN            NaN   99.4189       0.559511       0.215933E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1484.80        500.000                 NaN            NaN   99.4273       0.572668                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.32        500.000                 NaN            NaN   99.4251       0.574913                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.84        500.000                 NaN            NaN   99.4286       0.571382                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.36        500.000                 NaN            NaN   99.4309       0.569111                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.89        500.000                 NaN            NaN   99.4325       0.567532                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.41        500.000                 NaN            NaN   99.2451       0.754871                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.93        500.000                 NaN            NaN   99.6754       0.324566       0.209992E-005            NaN            NaN            NaN            NaN            NaN            NaN
  1474.45        500.000                 NaN            NaN   99.3984       0.601561                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1472.97        500.000                 NaN            NaN   99.4449       0.555084                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1471.50        500.000                 NaN            NaN   99.4455       0.554541                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1470.02        500.000                 NaN            NaN   99.4488       0.551153                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1468.54        500.000                 NaN            NaN   99.4519       0.548133                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1467.06        500.000                 NaN            NaN   99.4524       0.547576                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1465.58        500.000                 NaN            NaN   99.4546       0.545352                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1464.11        500.000                 NaN            NaN   99.4570       0.543004                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1462.63        500.000                 NaN            NaN   99.4582       0.541779                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1461.15        500.000                 NaN            NaN   99.4612       0.538805                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1459.67        500.000                 NaN            NaN   99.4623       0.537743                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1458.19        500.000                 NaN            NaN   99.4699       0.530149                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1456.72        500.000                 NaN            NaN   99.2742       0.487961                 NaN  0.237828                 NaN            NaN            NaN            NaN            NaN
  1455.24        500.000                 NaN            NaN   98.8894       0.366540                 NaN  0.744063                 NaN            NaN            NaN            NaN            NaN
  1453.76        500.000                 NaN            NaN   98.8997       0.363924                 NaN  0.736374                 NaN            NaN            NaN            NaN            NaN
  1452.28        500.000                 NaN            NaN   98.9078       0.359787                 NaN  0.732376                 NaN            NaN            NaN            NaN            NaN
  1450.80        500.000                 NaN            NaN   98.9199       0.354836                 NaN  0.725229                 NaN            NaN            NaN            NaN            NaN
  1449.33        500.000                 NaN            NaN   98.9287       0.350704                 NaN  0.720608                 NaN            NaN            NaN            NaN            NaN
