|6.6.6
Archiving\03_Data\eq/QFM_m5/WD94/WD94_3.tab                               
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       pxmn           iron           O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        2500.00        96.7320       0.722091        2.54590                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        96.7215       0.722239        2.55630                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        96.7109       0.722387        2.56671                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        96.7003       0.722534        2.57712                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        96.6898       0.722682        2.58753                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        96.6792       0.722829        2.59795                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        96.6687       0.722977        2.60836                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        96.6581       0.723124        2.61879                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        96.6475       0.723272        2.62921                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        96.6372       0.723417        2.63934                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        96.6270       0.723563        2.64948                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        96.6167       0.723708        2.65962                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        96.6064       0.723854        2.66976                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        96.5961       0.723999        2.67991                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        96.5858       0.724144        2.69006                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        96.5755       0.724290        2.70021                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        96.5652       0.724435        2.71037                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        96.5552       0.724579        2.72025                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        96.5451       0.724722        2.73013                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        96.5351       0.724865        2.74002                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        96.5251       0.725009        2.74991                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        96.5150       0.725152        2.75981                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        96.5050       0.725296        2.76971                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        96.4950       0.725439        2.77960                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        96.4849       0.725582        2.78951                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        96.4751       0.725724        2.79914                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        96.4654       0.725865        2.80877                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        96.4556       0.726007        2.81840                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        96.4458       0.726148        2.82804                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        96.4360       0.726289        2.83768                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        96.4262       0.726431        2.84732                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        96.4165       0.726572        2.85697                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        96.4067       0.726714        2.86662                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        96.3970       0.726854        2.87610                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        96.3874       0.726994        2.88559                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        96.0079       0.727250        2.88970       0.375188                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        95.4069       0.727572        2.89024       0.975249                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        94.8216       0.727880        2.88977        1.56073                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        94.2358       0.728187        2.88930        2.14668                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        93.6496       0.728494        2.88883        2.73310                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        93.0629       0.728799        2.88834        3.31998                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        92.5063       0.729075        2.88534        3.87930                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        91.9493       0.729350        2.88233        4.43902                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        91.3919       0.729624        2.87932        4.99913                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        90.8342       0.729897        2.87630        5.55963                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        90.2760       0.730169        2.87327        6.12052                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        89.7175       0.730440        2.87024        6.68179                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        89.1586       0.730710        2.86720        7.24345                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        88.5994       0.730979        2.86415        7.80549                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        88.0626       0.731220        2.85842        8.34780                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        2500.00        87.5254       0.731461        2.85267        8.89042                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        2500.00        86.9880       0.731701        2.84693        9.43337                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        2500.00        86.4503       0.731939        2.84117        9.97663                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        2500.00        85.9206       0.732165        2.83419        10.5131                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        2500.00        85.3906       0.732390        2.82719        11.0498                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        2500.00        84.8604       0.732607        2.81894        11.5880                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        2500.00        84.3326       0.732824        2.81058        12.1204       0.357478E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        2500.00        83.8004       0.733031        2.79920        12.6525       0.148047E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        2500.00        83.2680       0.733237        2.78782        13.1849       0.260411E-001            NaN            NaN            NaN            NaN            NaN            NaN
