|6.6.6
Archiving\03_Data\eqfracLP/QFM/ALH/ALH_1.tab                              
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1516.03        500.000       0.174032E-001            NaN   99.8983       0.244169E-001  0.599180E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1514.74        500.000                 NaN            NaN   99.4534       0.490252       0.563465E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1513.44        500.000       0.628248E-002            NaN   99.4754       0.470988       0.473096E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1512.15        500.000                 NaN            NaN   99.4555       0.544549                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.86        500.000                 NaN            NaN   99.4483       0.551701                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.56        500.000                 NaN            NaN   99.6972       0.302831                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.27        500.000                 NaN            NaN   99.2244       0.775557                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.98        500.000                 NaN            NaN   99.4621       0.537915                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.68        500.000                 NaN            NaN   99.4520       0.548011                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.39        500.000                 NaN            NaN   99.6570       0.343033                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.10        500.000                 NaN            NaN   99.2941       0.705941                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.80        500.000                 NaN            NaN   99.4769       0.521047       0.206738E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1500.51        500.000                 NaN            NaN   99.4769       0.523084                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.22        500.000                 NaN            NaN   99.8051       0.162033       0.328734E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1497.92        500.000                 NaN            NaN   99.1618       0.838152                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.63        500.000                 NaN            NaN   99.4854       0.514618       0.333011E-005            NaN            NaN            NaN            NaN            NaN            NaN
  1495.34        500.000                 NaN            NaN   99.4715       0.492892       0.356423E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1494.04        500.000                 NaN            NaN   99.5112       0.488761                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.75        500.000                 NaN            NaN   99.4918       0.497652       0.105125E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1491.46        500.000                 NaN            NaN   99.4976       0.502364       0.142412E-005            NaN            NaN            NaN            NaN            NaN            NaN
