|6.6.6
Archiving\03_Data\Deqfrac/QFM_m0.75/YM20/YM20_3.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             Sp(TH)         San(TH)        ilm            q             
  1612.18        2500.00        99.8330       0.166962       0.141243E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.65        2500.00        99.1591       0.768620       0.722389E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.11        2500.00        99.1624       0.741512       0.961090E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.58        2500.00        99.1713       0.734213       0.945365E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.04        2500.00        99.1788       0.727984       0.932338E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.51        2500.00        99.1826       0.725080       0.923106E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1602.97        2500.00        99.5270       0.422590       0.504172E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.44        2500.00        98.8705        1.00341       0.126053                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.91        2500.00        99.2096       0.702141       0.882361E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.37        2500.00        99.2184       0.694250       0.873016E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.84        2500.00        99.0833       0.810640       0.106050                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.30        2500.00        99.3696       0.563463       0.668891E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.77        2500.00        99.2360       0.680122       0.838822E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1592.23        2500.00        99.2538       0.665196       0.810021E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.70        2500.00        99.9959       0.406841E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1589.17        2500.00        98.5208        1.31861       0.160612                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.63        2500.00        99.2658       0.654979       0.792575E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.10        2500.00        99.2726       0.649208       0.782061E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.56        2500.00        99.2813       0.643345       0.753195E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.03        2500.00        99.2882       0.636586       0.752130E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.49        2500.00        99.2918       0.634535       0.736964E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.96        2500.00        99.3005       0.625296       0.741940E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.43        2500.00        99.3048       0.623640       0.715929E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.89        2500.00        99.3111       0.617429       0.714428E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.36        2500.00        99.3163       0.614223       0.695210E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.82        2500.00        99.3230       0.608406       0.686066E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.29        2500.00        99.3278       0.604823       0.673955E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.75        2500.00        99.3354       0.597007       0.675729E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.22        2500.00        99.3387       0.596460       0.648608E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.69        2500.00        99.3437       0.592803       0.635204E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.15        2500.00        99.3509       0.585787       0.633050E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.62        2500.00        99.3555       0.581516       0.630052E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.08        2500.00        99.3614       0.577063       0.614976E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.55        2500.00        99.3637       0.576097       0.601759E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.01        2500.00        99.3728       0.567428       0.597533E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.48        2500.00        99.3763       0.563793       0.599501E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.95        2500.00        99.3557       0.583618       0.606634E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.41        2500.00        99.4112       0.534274       0.545035E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        2500.00        99.3851       0.559791       0.550750E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.34        2500.00        99.4012       0.541464       0.573272E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.81        2500.00        99.4002       0.545940       0.538222E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.27        2500.00        99.4039       0.543162       0.529635E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.74        2500.00        99.4076       0.540996       0.514328E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.21        2500.00        99.4107       0.536578       0.527579E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.67        2500.00        99.4156       0.527837       0.566016E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.14        2500.00        99.5519       0.419910       0.282079E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.60        2500.00        99.2917       0.648849       0.594540E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.07        2500.00        99.4286       0.524325       0.471155E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.53        2500.00        99.4310       0.523509       0.454879E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.00        2500.00        99.4354       0.519287       0.453415E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.47        2500.00        99.4398       0.515944       0.442794E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
