|6.6.6
Archiving\03_Data\Deqfrac/QFM_m0.75/YM20/YM20_1.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             Sp(TH)         San(TH)        ilm            q             
  1612.18        2500.00        99.8130       0.186956       0.161662E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.65        2500.00        99.0571       0.860263       0.826365E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.11        2500.00        99.0600       0.830078       0.109971                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.58        2500.00        99.0697       0.822084       0.108239                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.04        2500.00        99.0780       0.815240       0.106772                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.51        2500.00        99.0820       0.812233       0.105759                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1602.97        2500.00        99.4692       0.473081       0.577403E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.44        2500.00        98.7317        1.12382       0.144439                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.91        2500.00        99.1118       0.786975       0.101190                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.37        2500.00        99.1215       0.778317       0.100145                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.84        2500.00        98.9687       0.909555       0.121776                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.30        2500.00        99.2912       0.632052       0.767757E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.77        2500.00        99.1407       0.762945       0.963325E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1592.23        2500.00        99.1607       0.746297       0.930476E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.70        2500.00        99.9954       0.456679E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1589.17        2500.00        98.3367        1.47881       0.184458                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.63        2500.00        99.1734       0.735423       0.911418E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.10        2500.00        99.1811       0.728978       0.899387E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.56        2500.00        99.1907       0.722569       0.866940E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.03        2500.00        99.1981       0.715256       0.866064E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.49        2500.00        99.2020       0.713074       0.848817E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.96        2500.00        99.2115       0.702961       0.854963E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.43        2500.00        99.2164       0.701106       0.825110E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.89        2500.00        99.2232       0.694429       0.823846E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.36        2500.00        99.2290       0.690842       0.801712E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.82        2500.00        99.2365       0.684366       0.791422E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.29        2500.00        99.2415       0.680660       0.778017E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.75        2500.00        99.2499       0.672072       0.780243E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.22        2500.00        99.2536       0.671498       0.749344E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.69        2500.00        99.2591       0.667448       0.734063E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.15        2500.00        99.2671       0.659735       0.731729E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.62        2500.00        99.2719       0.655217       0.728680E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.08        2500.00        99.2786       0.650236       0.711378E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.55        2500.00        99.2812       0.649205       0.696362E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.01        2500.00        99.2911       0.639690       0.691801E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.48        2500.00        99.2948       0.635807       0.694330E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.95        2500.00        99.2715       0.658199       0.702749E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.41        2500.00        99.3341       0.602772       0.631755E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        2500.00        99.3046       0.631533       0.638300E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.34        2500.00        99.3223       0.611235       0.664982E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.81        2500.00        99.3214       0.616175       0.624406E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.27        2500.00        99.3252       0.613329       0.614833E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.74        2500.00        99.3293       0.610941       0.597264E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.21        2500.00        99.3326       0.606147       0.612898E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.67        2500.00        99.3378       0.596386       0.657794E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.14        2500.00        99.4926       0.474643       0.328048E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.60        2500.00        99.1976       0.733328       0.691172E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.07        2500.00        99.3524       0.592793       0.548162E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.53        2500.00        99.3551       0.591999       0.529454E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.00        2500.00        99.3599       0.587285       0.527893E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.47        2500.00        99.3647       0.583717       0.515771E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.93        2500.00        99.3683       0.581408       0.503352E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.40        2500.00        99.3721       0.578455       0.493978E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.86        2500.00        99.3763       0.572933       0.507855E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.33        2500.00        99.3749       0.581776       0.433215E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.79        2500.00        99.3865       0.567709       0.457776E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.26        2500.00        99.3861       0.569474       0.444620E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.73        2500.00        99.3895       0.566911       0.435830E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.19        2500.00        99.3892       0.569759       0.410736E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.66        2500.00        99.3998       0.557870       0.423241E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.12        2500.00        99.2959       0.650650       0.534301E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
