|6.6.6
Archiving\03_Data\eqfracLP/QFM_m2/Y98/Y98_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        an             O(HP)          ilm            San(TH)        q             
  1439.10        500.000        85.5918        5.52340        8.88477                 NaN            NaN            NaN            NaN            NaN            NaN
  1438.00        500.000        99.3372       0.412937       0.249859                 NaN            NaN            NaN            NaN            NaN            NaN
  1436.90        500.000        99.3399       0.249090       0.411017                 NaN            NaN            NaN            NaN            NaN            NaN
  1435.80        500.000        99.3450       0.246637       0.408389                 NaN            NaN            NaN            NaN            NaN            NaN
  1434.70        500.000        99.3420       0.410337       0.247710                 NaN            NaN            NaN            NaN            NaN            NaN
  1433.60        500.000        99.3598       0.399462       0.240748                 NaN            NaN            NaN            NaN            NaN            NaN
  1432.50        500.000        98.8376       0.445181       0.478599                 NaN  0.238637                 NaN            NaN            NaN            NaN
  1431.40        500.000        98.0411       0.592512       0.756959                 NaN  0.609441                 NaN            NaN            NaN            NaN
  1430.30        500.000        97.9486       0.620087       0.792317                 NaN  0.638958                 NaN            NaN            NaN            NaN
  1429.20        500.000        98.2159       0.540932       0.688251                 NaN  0.554899                 NaN            NaN            NaN            NaN
  1428.09        500.000        98.1372       0.718264       0.565007                 NaN  0.579494                 NaN            NaN            NaN            NaN
  1426.99        500.000        98.1674       0.556799       0.705533                 NaN  0.570272                 NaN            NaN            NaN            NaN
  1425.89        500.000        98.1961       0.548641       0.693954                 NaN  0.561316                 NaN            NaN            NaN            NaN
  1424.79        500.000        98.2235       0.682843       0.540817                 NaN  0.552857                 NaN            NaN            NaN            NaN
  1423.69        500.000        98.2515       0.532703       0.671618                 NaN  0.544158                 NaN            NaN            NaN            NaN
  1422.59        500.000        98.2786       0.524925       0.660742                 NaN  0.535738                 NaN            NaN            NaN            NaN
  1421.49        500.000        98.2175       0.684489       0.543272                 NaN  0.554763                 NaN            NaN            NaN            NaN
  1420.39        500.000        98.4167       0.607059       0.483794                 NaN  0.492424                 NaN            NaN            NaN            NaN
  1419.29        500.000        98.2922       0.633717       0.545174                 NaN  0.528880                 NaN            NaN            NaN            NaN
  1418.19        500.000        98.4402       0.617903       0.453840                 NaN  0.488088                 NaN            NaN            NaN            NaN
  1417.09        500.000        98.4010       0.611995       0.489385                 NaN  0.497661                 NaN            NaN            NaN            NaN
  1415.99        500.000        98.4243       0.602642       0.482791                 NaN  0.490276                 NaN            NaN            NaN            NaN
  1414.89        500.000        98.4413       0.595164       0.478830                 NaN  0.484738                 NaN            NaN            NaN            NaN
  1413.79        500.000        98.4709       0.468931       0.584711                 NaN  0.475459                 NaN            NaN            NaN            NaN
