|6.6.6
Archiving\03_Data\eqfracLP/QFM_m2/Y98/Y98_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        an             O(HP)          ilm            San(TH)        q             
  1439.10        500.000        83.6806        6.30371        10.0157                 NaN            NaN            NaN            NaN            NaN            NaN
  1438.00        500.000        99.2326       0.475872       0.291534                 NaN            NaN            NaN            NaN            NaN            NaN
  1436.90        500.000        99.2354       0.290764       0.473812                 NaN            NaN            NaN            NaN            NaN            NaN
  1435.80        500.000        99.2410       0.288054       0.470975                 NaN            NaN            NaN            NaN            NaN            NaN
  1434.70        500.000        99.2372       0.473391       0.289458                 NaN            NaN            NaN            NaN            NaN            NaN
  1433.60        500.000        99.2576       0.460975       0.281455                 NaN            NaN            NaN            NaN            NaN            NaN
  1432.50        500.000        98.6998       0.520560       0.552369                 NaN  0.227272                 NaN            NaN            NaN            NaN
  1431.40        500.000        97.8509       0.683780       0.885216                 NaN  0.580095                 NaN            NaN            NaN            NaN
  1430.30        500.000        97.7478       0.716280       0.927751                 NaN  0.608130                 NaN            NaN            NaN            NaN
  1429.20        500.000        98.0408       0.624920       0.806046                 NaN  0.528269                 NaN            NaN            NaN            NaN
  1428.09        500.000        97.9536       0.841696       0.653028                 NaN  0.551643                 NaN            NaN            NaN            NaN
  1426.99        500.000        97.9859       0.643845       0.827382                 NaN  0.542887                 NaN            NaN            NaN            NaN
  1425.89        500.000        98.0165       0.634750       0.814397                 NaN  0.534386                 NaN            NaN            NaN            NaN
  1424.79        500.000        98.0457       0.801927       0.626019                 NaN  0.526361                 NaN            NaN            NaN            NaN
  1423.69        500.000        98.0756       0.616957       0.789297                 NaN  0.518110                 NaN            NaN            NaN            NaN
  1422.59        500.000        98.1046       0.608228       0.777033                 NaN  0.510126                 NaN            NaN            NaN            NaN
  1421.49        500.000        98.0365       0.805550       0.629756                 NaN  0.528234                 NaN            NaN            NaN            NaN
  1420.39        500.000        98.2547       0.715025       0.561247                 NaN  0.468995                 NaN            NaN            NaN            NaN
  1419.29        500.000        98.1169       0.746791       0.632617                 NaN  0.503678                 NaN            NaN            NaN            NaN
  1418.19        500.000        98.2792       0.728821       0.527060                 NaN  0.464932                 NaN            NaN            NaN            NaN
  1417.09        500.000        98.2350       0.722321       0.568615                 NaN  0.474063                 NaN            NaN            NaN            NaN
  1415.99        500.000        98.2599       0.711759       0.561271                 NaN  0.467074                 NaN            NaN            NaN            NaN
  1414.89        500.000        98.2776       0.703511       0.557001                 NaN  0.461844                 NaN            NaN            NaN            NaN
  1413.79        500.000        98.3096       0.545754       0.691611                 NaN  0.453056                 NaN            NaN            NaN            NaN
