|6.6.6
Archiving\03_Data\eqfrac/QFM_m4.5/WD94/WD94_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            iron          
  1605.77        2500.00       0.222389E-001   99.4975       0.393185       0.870682E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1604.25        2500.00                 NaN   99.2203       0.684284       0.954504E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1602.73        2500.00                 NaN   99.2021       0.699570       0.983581E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1601.22        2500.00                 NaN   99.2122       0.692119       0.957013E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1599.70        2500.00                 NaN   99.2187       0.686418       0.948654E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1598.18        2500.00                 NaN   99.2248       0.681930       0.933186E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1596.66        2500.00                 NaN   99.2334       0.675528       0.911078E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1595.14        2500.00                 NaN   99.2406       0.667875       0.915422E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1593.62        2500.00                 NaN   99.2482       0.661663       0.901778E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1592.11        2500.00                 NaN   99.2530       0.658405       0.886101E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1590.59        2500.00                 NaN   99.2630       0.648016       0.890337E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1589.07        2500.00                 NaN   99.2596       0.657242       0.831302E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1587.55        2500.00                 NaN   99.2810       0.634148       0.848906E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1586.03        2500.00                 NaN   99.2776       0.638338       0.840372E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1584.51        2500.00                 NaN   99.2878       0.628964       0.832374E-001            NaN            NaN            NaN            NaN            NaN            NaN
