|6.6.6
Archiving\03_Data\eqfrac/QFM_m4.5/WD94/WD94_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            iron          
  1605.77        2500.00       0.142859E-001   99.5673       0.344505       0.738857E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1604.25        2500.00                 NaN   99.3183       0.600480       0.812099E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1602.73        2500.00                 NaN   99.3028       0.613541       0.836503E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1601.22        2500.00                 NaN   99.3117       0.606898       0.813548E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1599.70        2500.00                 NaN   99.3178       0.601622       0.805951E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1598.18        2500.00                 NaN   99.3232       0.597583       0.792562E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1596.66        2500.00                 NaN   99.3309       0.591757       0.773405E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1595.14        2500.00                 NaN   99.3376       0.584738       0.776452E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1593.62        2500.00                 NaN   99.3444       0.579145       0.764661E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1592.11        2500.00                 NaN   99.3488       0.576061       0.750991E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1590.59        2500.00                 NaN   99.3578       0.566786       0.754170E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1589.07        2500.00                 NaN   99.3550       0.574628       0.703671E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1587.55        2500.00                 NaN   99.3739       0.554237       0.718289E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1586.03        2500.00                 NaN   99.3710       0.557912       0.711017E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1584.51        2500.00                 NaN   99.3804       0.549292       0.703493E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1583.00        2500.00                 NaN   99.3900       0.540835       0.691975E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1581.48        2500.00                 NaN   99.3923       0.539129       0.685251E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1579.96        2500.00                 NaN   99.3978       0.534423       0.677890E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1578.44        2500.00                 NaN   99.4024       0.530669       0.669202E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1576.92        2500.00                 NaN   99.4089       0.526209       0.648764E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1575.41        2500.00                 NaN   99.3610       0.572437       0.665661E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1573.89        2500.00                 NaN   99.4690       0.472011       0.589709E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1572.37        2500.00                 NaN   99.4244       0.499704       0.758921E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1570.85        2500.00                 NaN   99.1247       0.791666       0.836551E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1569.33        2500.00                 NaN   99.7421       0.230345       0.275947E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1567.81        2500.00                 NaN   99.4398       0.499468       0.607110E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1566.30        2500.00                 NaN   99.4445       0.495273       0.602284E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1564.78        2500.00                 NaN   99.4483       0.493783       0.579541E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1563.26        2500.00                 NaN   99.4534       0.489587       0.569973E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1561.74        2500.00                 NaN   99.4580       0.485247       0.567839E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1560.22        2500.00                 NaN   99.4036       0.575316       0.210980E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1558.71        2500.00                 NaN   99.5280       0.380199       0.917527E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1557.19        2500.00                 NaN   99.4713       0.473990       0.547400E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1555.67        2500.00                 NaN   99.4754       0.471786       0.527888E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1554.15        2500.00                 NaN   99.4803       0.466961       0.527875E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1552.63        2500.00                 NaN   99.4828       0.466328       0.509029E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1551.11        2500.00                 NaN   99.4897       0.458214       0.520522E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1549.60        2500.00                 NaN   99.4933       0.456690       0.500531E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1548.08        2500.00                 NaN   99.4959       0.453497       0.506472E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1546.56        2500.00                 NaN   99.5019       0.449349       0.487677E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1545.04        2500.00                 NaN   99.5018       0.449282       0.489296E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1543.52        2500.00                 NaN   99.5118       0.441573       0.466581E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1542.00        2500.00                 NaN   99.5124       0.441710       0.459100E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1540.49        2500.00                 NaN   99.5159       0.437150       0.469043E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1538.97        2500.00                 NaN   99.4661       0.483322       0.505998E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1537.45        2500.00                 NaN   99.5774       0.382247       0.403270E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1535.93        2500.00                 NaN   99.5253       0.431571       0.430947E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1534.41        2500.00                 NaN   99.5298       0.427030       0.431495E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1532.90        2500.00                 NaN   99.5356       0.421893       0.424823E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1531.38        2500.00                 NaN   99.5356       0.436966       0.273842E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1529.86        2500.00                 NaN   99.5410       0.404899       0.540956E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1528.34        2500.00                 NaN   99.5432       0.416429       0.403410E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1526.82        2500.00                 NaN   99.5400       0.411762       0.482661E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1525.30        2500.00                 NaN   99.5558       0.416555       0.276255E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1523.79        2500.00                 NaN   99.5526       0.410347       0.370948E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1522.27        2500.00                 NaN   99.5538       0.408584       0.376493E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1520.75        2500.00                 NaN   99.5629       0.400864       0.362271E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1519.23        2500.00                 NaN   99.5619       0.402636       0.354963E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1517.71        2500.00                 NaN   99.5632       0.403329       0.334333E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1516.19        2500.00                 NaN   99.5683       0.398055       0.336856E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1514.68        2500.00                 NaN   99.5702       0.397126       0.327226E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1513.16        2500.00                 NaN   99.6499       0.327796       0.223003E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1511.64        2500.00                 NaN   99.4934       0.462638       0.439285E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1510.12        2500.00                 NaN   99.5851       0.385137       0.297159E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1508.60        2500.00                 NaN   99.5552       0.303364       0.169985E-001  0.124478                 NaN            NaN            NaN            NaN            NaN
  1507.09        2500.00                 NaN   99.6014                 NaN            NaN  0.398565                 NaN            NaN            NaN            NaN            NaN
  1505.57        2500.00                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.05        2500.00                 NaN   98.8175                 NaN            NaN   1.18248                 NaN            NaN            NaN            NaN            NaN
  1502.53        2500.00                 NaN   99.4766       0.116424E-001            NaN  0.511790                 NaN            NaN            NaN            NaN            NaN
  1501.01        2500.00                 NaN   99.4765                 NaN            NaN  0.523513                 NaN            NaN            NaN            NaN            NaN
  1499.49        2500.00                 NaN   99.4670                 NaN            NaN  0.532998                 NaN            NaN            NaN            NaN            NaN
  1497.98        2500.00                 NaN   99.4897                 NaN            NaN  0.510347                 NaN            NaN            NaN            NaN            NaN
  1496.46        2500.00                 NaN   99.4803       0.127400E-001            NaN  0.507006                 NaN            NaN            NaN            NaN            NaN
