|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m3/T13/T13_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1602.56        500.000        99.9875       0.125213E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.05        500.000        99.1000       0.361863E-005  0.900005                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.54        500.000        99.0059                 NaN  0.994086                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.03        500.000        99.0181       0.284634E-001  0.953426                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.52        500.000        99.0280       0.528627E-001  0.919116                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.01        500.000        99.0384       0.519933E-001  0.909587                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.50        500.000        99.0465       0.495939E-001  0.903890                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.99        500.000        99.0597       0.494692E-001  0.890816                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.48        500.000        99.0680       0.476554E-001  0.884358                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        500.000        99.0765       0.477266E-001  0.875799                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.46        500.000        99.0849       0.463110E-001  0.868815                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.95        500.000        99.0998       0.451379E-001  0.855067                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.44        500.000        99.1052       0.435814E-001  0.851175                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.93        500.000        99.1127       0.417511E-001  0.845543                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.42        500.000        99.1242       0.411125E-001  0.834716                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.91        500.000        99.1316       0.403928E-001  0.828031                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.40        500.000        99.1393       0.387617E-001  0.821919                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.89        500.000        99.1478       0.403920E-001  0.811763                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.38        500.000        99.1551       0.342367E-001  0.810633                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.87        500.000        99.1650       0.360552E-001  0.798918                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.36        500.000        99.1717       0.351008E-001  0.793241                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.85        500.000        99.1810       0.346987E-001  0.784306                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.34        500.000        99.1866       0.313536E-001  0.782088                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.83        500.000        99.1949       0.316969E-001  0.773411                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.32        500.000        99.2030       0.315945E-001  0.765450                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.81        500.000        99.2087       0.292507E-001  0.762082                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.30        500.000        99.2083       0.266924E-001  0.765009                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.79        500.000        99.2306       0.278804E-001  0.741504                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.28        500.000        99.2274       0.249234E-001  0.747658                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.76        500.000        99.2368       0.238317E-001  0.739340                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.25        500.000        99.2444       0.251773E-001  0.730401                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.74        500.000        99.2494       0.260446E-001  0.724513                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.23        500.000        99.2594       0.239133E-001  0.716690                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.72        500.000        99.2630       0.209695E-001  0.716055                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.21        500.000        99.2680       0.194951E-001  0.712521                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.70        500.000        98.9744       0.471494E-001  0.978404                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.19        500.000        99.5804       0.124348E-002  0.418390                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.68        500.000        99.2825       0.244074E-002  0.715095                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.17        500.000        99.2949       0.107125E-001  0.694387                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.66        500.000        99.2975       0.209663E-001  0.681566                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.15        500.000        99.2984       0.125328E-001  0.689087                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.64        500.000        99.3082       0.113646E-001  0.680447                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.13        500.000        99.3163       0.375148E-005  0.683738                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.62        500.000        99.3190       0.230353E-001  0.657935                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.11        500.000        99.3269       0.189871E-001  0.654094                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.60        500.000        99.3282       0.306914E-002  0.668744                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.09        500.000        99.3328       0.538978E-002  0.661777                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.58        500.000        99.3391       0.576478E-002  0.655179                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.07        500.000        99.3379       0.505784E-001  0.611525                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.56        500.000        99.3637       0.799800E-003  0.635506                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.05        500.000        99.3557       0.161048E-001  0.628243                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.54        500.000        99.3571       0.636734E-002  0.636493                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.03        500.000        99.3670       0.297076E-001  0.603278                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.52        500.000        99.3684                 NaN  0.631584                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.01        500.000        99.3715                 NaN  0.628462                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.50        500.000        99.3758                 NaN  0.624215                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.99        500.000        99.3809       0.205311E-005  0.619087                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.48        500.000        99.3851                 NaN  0.614911                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.97        500.000        99.3876                 NaN  0.612435                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.46        500.000        99.3935                 NaN  0.606482                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.95        500.000        99.3978                 NaN  0.602230                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.44        500.000        99.4011                 NaN  0.598899                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.93        500.000        99.4046                 NaN  0.595399                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.42        500.000        99.4093                 NaN  0.590737                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.91        500.000        99.4112                 NaN  0.588767                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.40        500.000        99.4163                 NaN  0.583720                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.89        500.000        99.4190                 NaN  0.580976                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.38        500.000        99.4234                 NaN  0.576566                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.87        500.000        99.4269                 NaN  0.573141                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.36        500.000        99.4302                 NaN  0.569805                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.85        500.000        99.4334                 NaN  0.566621                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.34        500.000        99.4378       0.325117E-001  0.529674                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.83        500.000        99.4438                 NaN  0.556178                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.32        500.000        99.4442                 NaN  0.555806                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.81        500.000        99.3672                 NaN  0.172407       0.460391                 NaN            NaN            NaN            NaN            NaN            NaN
  1489.30        500.000        99.3239                 NaN  0.445626E-002  0.671598                 NaN            NaN            NaN            NaN            NaN            NaN
  1487.79        500.000        99.0382       0.110590                 NaN  0.851238                 NaN            NaN            NaN            NaN            NaN            NaN
  1486.28        500.000        99.7494                 NaN  0.109892       0.140726                 NaN            NaN            NaN            NaN            NaN            NaN
  1484.77        500.000        99.2507                 NaN            NaN  0.749304                 NaN            NaN            NaN            NaN            NaN            NaN
  1483.26        500.000        99.3275                 NaN            NaN  0.672458                 NaN            NaN            NaN            NaN            NaN            NaN
  1481.75        500.000        99.3288                 NaN            NaN  0.671182                 NaN            NaN            NaN            NaN            NaN            NaN
  1480.24        500.000        99.3301                 NaN            NaN  0.669877                 NaN            NaN            NaN            NaN            NaN            NaN
  1478.73        500.000        99.3297                 NaN            NaN  0.670323                 NaN            NaN            NaN            NaN            NaN            NaN
  1477.22        500.000        99.3287                 NaN            NaN  0.671314                 NaN            NaN            NaN            NaN            NaN            NaN
  1475.71        500.000        99.3281                 NaN            NaN  0.671907                 NaN            NaN            NaN            NaN            NaN            NaN
  1474.20        500.000        99.3259                 NaN            NaN  0.674072                 NaN            NaN            NaN            NaN            NaN            NaN
  1472.68        500.000        99.3246                 NaN            NaN  0.675354                 NaN            NaN            NaN            NaN            NaN            NaN
  1471.17        500.000        99.3213                 NaN            NaN  0.678653                 NaN            NaN            NaN            NaN            NaN            NaN
  1469.66        500.000        99.3198                 NaN            NaN  0.680188                 NaN            NaN            NaN            NaN            NaN            NaN
  1468.15        500.000        99.3153                 NaN            NaN  0.684693                 NaN            NaN            NaN            NaN            NaN            NaN
  1466.64        500.000        99.3073                 NaN            NaN  0.692689                 NaN            NaN            NaN            NaN            NaN            NaN
  1465.13        500.000        99.3047                 NaN            NaN  0.695321                 NaN            NaN            NaN            NaN            NaN            NaN
  1463.62        500.000        99.2963                 NaN            NaN  0.703709                 NaN            NaN            NaN            NaN            NaN            NaN
  1462.11        500.000        99.1201                 NaN            NaN  0.312007       0.567914                 NaN            NaN            NaN            NaN            NaN
  1460.60        500.000        98.9004                 NaN            NaN  0.734247       0.365341                 NaN            NaN            NaN            NaN            NaN
  1459.09        500.000        98.9099                 NaN            NaN  0.362957       0.727105                 NaN            NaN            NaN            NaN            NaN
  1457.58        500.000        98.9166                 NaN            NaN  0.723782       0.359649                 NaN            NaN            NaN            NaN            NaN
  1456.07        500.000        98.9334                 NaN            NaN  0.712694       0.353945                 NaN            NaN            NaN            NaN            NaN
  1454.56        500.000        98.9410                 NaN            NaN  0.707507       0.351454                 NaN            NaN            NaN            NaN            NaN
  1453.05        500.000        98.9518                 NaN            NaN  0.347526       0.700715                 NaN            NaN            NaN            NaN            NaN
  1451.54        500.000        98.9612                 NaN            NaN  0.695492       0.343266                 NaN            NaN            NaN            NaN            NaN
  1450.03        500.000        98.9710                 NaN            NaN  0.339457       0.689591                 NaN            NaN            NaN            NaN            NaN
