|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m3/T13/T13_3.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1602.56        500.000        99.9893       0.106819E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.05        500.000        99.2077       0.308937E-005  0.792345                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.54        500.000        99.1250                 NaN  0.874963                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.03        500.000        99.1366       0.242873E-001  0.839063                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.52        500.000        99.1463       0.450810E-001  0.808596                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.01        500.000        99.1556       0.443314E-001  0.800034                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.50        500.000        99.1629       0.422677E-001  0.794855                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.99        500.000        99.1748       0.421365E-001  0.783054                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.48        500.000        99.1823       0.405732E-001  0.777150                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        500.000        99.1900       0.406073E-001  0.769380                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.46        500.000        99.1976       0.393910E-001  0.762997                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.95        500.000        99.2110       0.383690E-001  0.750673                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.44        500.000        99.2159       0.370360E-001  0.747107                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.93        500.000        99.2225       0.354676E-001  0.742019                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.42        500.000        99.2329       0.349046E-001  0.732229                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.91        500.000        99.2396       0.342767E-001  0.726139                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.40        500.000        99.2466       0.328757E-001  0.720532                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.89        500.000        99.2543       0.342481E-001  0.711484                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.38        500.000        99.2607       0.290112E-001  0.710241                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.87        500.000        99.2697       0.305441E-001  0.699785                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.36        500.000        99.2757       0.297142E-001  0.694540                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.85        500.000        99.2840       0.293659E-001  0.686590                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.34        500.000        99.2889       0.265236E-001  0.684547                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.83        500.000        99.2966       0.268011E-001  0.676633                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.32        500.000        99.3038       0.266999E-001  0.669462                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.81        500.000        99.3089       0.247133E-001  0.666380                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.30        500.000        99.3086       0.225412E-001  0.668869                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.79        500.000        99.3285       0.235292E-001  0.647991                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
