|6.6.6
Archiving\03_Data\frac/QFM_m4.75/ALH/ALH_3.tab                            
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         melt(TH)       mang           iron           pxmn           O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             lc            
  1947.37        2500.00        97.1440       0.104341        2.29812       0.453525                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1944.86        2500.00        97.0906       0.815023E-001   2.31532       0.512528                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.36        2500.00        97.0375       0.587666E-001   2.33245       0.571271                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.85        2500.00        96.9821       0.350307E-001   2.35025       0.632599                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1937.34        2500.00        96.9320       0.136333E-001   2.36644       0.687896                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        2500.00        96.9081       0.338313E-002   2.37411       0.714420                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        2500.00        96.8860                 NaN   2.39065       0.723314                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        2500.00        96.8759                 NaN   2.40063       0.723446                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        2500.00        96.8863       0.280476E-002   2.39464       0.716242                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        2500.00        96.8557                 NaN   2.42055       0.723710                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        2500.00        96.8457                 NaN   2.43047       0.723842                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        2500.00        96.8357                 NaN   2.44036       0.723974                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        2500.00        96.8256                 NaN   2.45025       0.724106                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        2500.00        96.8157                 NaN   2.46011       0.724237                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        2500.00        96.8057                 NaN   2.46995       0.724368                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        2500.00        96.7957                 NaN   2.47977       0.724499                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        2500.00        96.7858                 NaN   2.48958       0.724630                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        2500.00        96.7759                 NaN   2.49936       0.724761                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        2500.00        96.7660                 NaN   2.50912       0.724891                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        2500.00        96.7561                 NaN   2.51886       0.725022                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        2500.00        96.7463                 NaN   2.52857       0.725152                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        2500.00        96.7364                 NaN   2.53827       0.725282                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        2500.00        96.7266                 NaN   2.54795       0.725411                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        2500.00        96.7169                 NaN   2.55761       0.725541                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        2500.00        96.7070                 NaN   2.56728       0.725671                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        2500.00        96.5286                 NaN   2.57312       0.725845       0.172453                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        2500.00        99.4740                 NaN  0.407736E-002            NaN  0.521915                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        2500.00        99.4163                 NaN            NaN            NaN  0.583677                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        2500.00        99.5427                 NaN  0.416995E-002            NaN  0.453094                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        2500.00        99.4811                 NaN            NaN            NaN  0.518894                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        2500.00        99.4847                 NaN            NaN            NaN  0.515323                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        2500.00        99.4515                 NaN            NaN            NaN  0.548545                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        2500.00        99.5381                 NaN            NaN            NaN  0.461858                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        2500.00        99.4723                 NaN            NaN            NaN  0.527702                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        2500.00        99.4939                 NaN            NaN            NaN  0.506117                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        2500.00        99.4922                 NaN            NaN            NaN  0.507762                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        2500.00        99.4996                 NaN            NaN            NaN  0.500436                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        2500.00        99.4986                 NaN            NaN            NaN  0.501435                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        2500.00        99.4997                 NaN            NaN            NaN  0.500302                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        2500.00        99.5022                 NaN            NaN            NaN  0.497793                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        2500.00        99.5035                 NaN            NaN            NaN  0.496509                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        2500.00        99.5042                 NaN            NaN            NaN  0.495829                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        2500.00        99.5063                 NaN            NaN            NaN  0.493656                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        2500.00        99.5067                 NaN            NaN            NaN  0.493302                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        2500.00        99.5086                 NaN            NaN            NaN  0.491422                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        2500.00        99.5091                 NaN            NaN            NaN  0.490871                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        2500.00        99.5130                 NaN            NaN            NaN  0.486987                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        2500.00        99.5139                 NaN            NaN            NaN  0.486116                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        2500.00        99.5134                 NaN            NaN            NaN  0.486562                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        2500.00        99.5136                 NaN            NaN            NaN  0.486434                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        2500.00        99.5148                 NaN            NaN            NaN  0.485224                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        2500.00        99.5146                 NaN            NaN            NaN  0.485418                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        2500.00        99.5166                 NaN            NaN            NaN  0.483394                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        2500.00        99.5149                 NaN            NaN            NaN  0.485116                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        2500.00        99.5183                 NaN            NaN            NaN  0.481654                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        2500.00        99.5168                 NaN            NaN            NaN  0.483219                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        2500.00        99.5161                 NaN            NaN            NaN  0.483911                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        2500.00        99.5181                 NaN            NaN            NaN  0.481926                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        2500.00        99.5149                 NaN            NaN            NaN  0.485091                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        2500.00        99.5192                 NaN            NaN            NaN  0.480831                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        2500.00        99.5176                 NaN            NaN            NaN  0.482443                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        2500.00        99.5169                 NaN            NaN            NaN  0.483089                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        2500.00        99.5137                 NaN            NaN            NaN  0.482343       0.398149E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        2500.00        99.5072                 NaN            NaN            NaN  0.483030       0.977751E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        2500.00        99.5080                 NaN            NaN            NaN  0.482268       0.972202E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        2500.00        99.2303                 NaN            NaN            NaN  0.753862       0.158650E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        2500.00        99.7858                 NaN            NaN            NaN  0.210523       0.368105E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        2500.00        99.5055                 NaN            NaN            NaN  0.484824       0.966719E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        2500.00        99.5053                 NaN            NaN            NaN  0.485060       0.963053E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        2500.00        99.5038                 NaN            NaN            NaN  0.486582       0.961826E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        2500.00        99.5010                 NaN            NaN            NaN  0.489328       0.964492E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        2500.00        99.3438                 NaN            NaN            NaN  0.643631       0.126149E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        2500.00        99.6634                 NaN            NaN            NaN  0.330185       0.643521E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        2500.00        99.4998                 NaN            NaN            NaN  0.490613       0.954277E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        2500.00        99.5010                 NaN            NaN            NaN  0.489484       0.947504E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        2500.00        99.4985                 NaN            NaN            NaN  0.492011       0.948140E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        2500.00        99.4977                 NaN            NaN            NaN  0.492853       0.944816E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        2500.00        99.4964                 NaN            NaN            NaN  0.494212       0.942840E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        2500.00        99.4953                 NaN            NaN            NaN  0.495325       0.939738E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        2500.00        99.4919                 NaN            NaN            NaN  0.498648       0.942402E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        2500.00        99.4938                 NaN            NaN            NaN  0.496895       0.933045E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        2500.00        99.4908                 NaN            NaN            NaN  0.499869       0.934263E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        2500.00        99.4899                 NaN            NaN            NaN  0.500755       0.930375E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        2500.00        99.4841                 NaN            NaN            NaN  0.506496       0.939503E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        2500.00        99.4901                 NaN            NaN            NaN  0.500748       0.919458E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        2500.00        99.4854                 NaN            NaN            NaN  0.505386       0.926056E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        2500.00        99.4407                 NaN            NaN            NaN  0.549813       0.944600E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        2500.00        99.5249                 NaN            NaN            NaN  0.466052       0.904018E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        2500.00        99.4762                 NaN            NaN            NaN  0.514535       0.931033E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        2500.00        99.4843                 NaN            NaN            NaN  0.506580       0.907965E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        2500.00        98.9654                 NaN            NaN            NaN   1.01651       0.180771E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        2500.00        99.9920                 NaN            NaN            NaN  0.790323E-002  0.140194E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        2500.00        99.4745                 NaN            NaN            NaN  0.516354       0.912329E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        2500.00        99.4729                 NaN            NaN            NaN  0.517986       0.910906E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        2500.00        99.4685                 NaN            NaN            NaN  0.522373       0.913839E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        2500.00        99.4724                 NaN            NaN            NaN  0.518580       0.902973E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        2500.00        99.4690                 NaN            NaN            NaN  0.521917       0.904124E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        2500.00        99.0259                 NaN            NaN            NaN  0.956210       0.178828E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        2500.00        99.9116                 NaN            NaN            NaN  0.881727E-001  0.215197E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        2500.00        99.4644                 NaN            NaN            NaN  0.526603       0.900006E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        2500.00        99.4637                 NaN            NaN            NaN  0.527329       0.896303E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        2500.00        99.4614                 NaN            NaN            NaN  0.529597       0.896754E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        2500.00        99.4604                 NaN            NaN            NaN  0.530640       0.894925E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        2500.00        99.4603                 NaN            NaN            NaN  0.530796       0.890771E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        2500.00        99.4590                 NaN            NaN            NaN  0.532105       0.889332E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        2500.00        99.4573                 NaN            NaN            NaN  0.533781       0.887948E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        2500.00        99.4566                 NaN            NaN            NaN  0.534582       0.885426E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        2500.00        99.4562                 NaN            NaN            NaN  0.534950       0.883482E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        2500.00        99.4555                 NaN            NaN            NaN  0.535709       0.880833E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        2500.00        99.4542                 NaN            NaN            NaN  0.536997       0.880128E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        2500.00        99.4544                 NaN            NaN            NaN  0.536850       0.877020E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        2500.00        99.4533                 NaN            NaN            NaN  0.537957       0.874964E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        99.4529                 NaN            NaN            NaN  0.538379       0.874195E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        2500.00        99.4513                 NaN            NaN            NaN  0.539919       0.873680E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        2500.00        99.4549                 NaN            NaN            NaN  0.536496       0.865166E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        2500.00        99.0844                 NaN            NaN            NaN  0.901126       0.145204E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        2500.00        99.8221                 NaN            NaN            NaN  0.175100       0.279097E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        2500.00        99.4533                 NaN            NaN            NaN  0.538101       0.862071E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        2500.00        99.4531                 NaN            NaN            NaN  0.538293       0.860574E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        2500.00        99.4535                 NaN            NaN            NaN  0.537919       0.858627E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        2500.00        99.4519                 NaN            NaN            NaN  0.539531       0.858235E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        2500.00        99.4526                 NaN            NaN            NaN  0.538793       0.857524E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        2500.00        99.4586                 NaN            NaN            NaN  0.532950       0.845652E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        2500.00        99.4528                 NaN            NaN            NaN  0.535095       0.845784E-002  0.366163E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        2500.00        98.4209                 NaN            NaN            NaN  0.165292                 NaN   1.41379                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        2500.00        98.5272                 NaN            NaN            NaN  0.138987                 NaN   1.33382                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        2500.00        98.4964                 NaN            NaN            NaN  0.141446                 NaN   1.36211                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        2500.00        98.5240                 NaN            NaN            NaN  0.137073                 NaN   1.33896                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        2500.00        98.5497                 NaN            NaN            NaN  0.132936                 NaN   1.31736                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        2500.00        98.5746                 NaN            NaN            NaN  0.130616                 NaN   1.29475                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        2500.00        98.5952                 NaN            NaN            NaN  0.127822                 NaN   1.27702                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        2500.00        98.6274                 NaN            NaN            NaN  0.123826                 NaN   1.24874                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        2500.00        98.6488                 NaN            NaN            NaN  0.121470                 NaN   1.22977                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00        98.6680                 NaN            NaN            NaN  0.118994                 NaN   1.21305                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        2500.00        98.6935                 NaN            NaN            NaN  0.113825                 NaN   1.19265                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        2500.00        98.7132                 NaN            NaN            NaN  0.111053                 NaN   1.17577                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        2500.00        98.6905                 NaN            NaN            NaN  0.112438                 NaN   1.19703                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        2500.00        98.7968                 NaN            NaN            NaN  0.101884                 NaN   1.10137                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00        98.7743                 NaN            NaN            NaN  0.102897                 NaN   1.12277                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        2500.00        98.2152                 NaN            NaN            NaN  0.145827                 NaN   1.63901                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        2500.00        99.3922                 NaN            NaN            NaN  0.511063E-001            NaN  0.556655                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        2500.00        98.8286                 NaN            NaN            NaN  0.948797E-001            NaN   1.07652                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        2500.00        98.8492                 NaN            NaN            NaN  0.929066E-001            NaN   1.05793                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00        98.8644                 NaN            NaN            NaN  0.899626E-001            NaN   1.04561                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        2500.00        98.8838                 NaN            NaN            NaN  0.876203E-001            NaN   1.02862                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        2500.00        98.8841                 NaN            NaN            NaN  0.841638E-001            NaN   1.03174                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        2500.00        98.9280                 NaN            NaN            NaN  0.818068E-001            NaN  0.990170                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        2500.00        99.6714                 NaN            NaN            NaN            NaN            NaN            NaN  0.328570                 NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00        98.1518                 NaN            NaN            NaN  0.131671                 NaN   1.71650                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        2500.00        98.9597                 NaN            NaN            NaN  0.755223E-001            NaN  0.964789                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        2500.00        98.9738                 NaN            NaN            NaN  0.732471E-001            NaN  0.952924                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        2500.00        98.9877                 NaN            NaN            NaN  0.720079E-001            NaN  0.940248                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        2500.00        99.0038                 NaN            NaN            NaN  0.708067E-001            NaN  0.925360                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        2500.00        99.0158                 NaN            NaN            NaN  0.682833E-001            NaN  0.915955                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        2500.00        99.0248                 NaN            NaN            NaN  0.633655E-001            NaN  0.911826                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        2500.00        99.0426                 NaN            NaN            NaN  0.630989E-001            NaN  0.894342                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        2500.00        98.9248                 NaN            NaN            NaN  0.946332E-006            NaN  0.414548       0.660635                 NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        2500.00        98.8505                 NaN            NaN            NaN            NaN            NaN  0.810229E-001   1.06848                 NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        2500.00        98.8693                 NaN            NaN            NaN  0.888878E-006            NaN  0.733915E-001   1.05736                 NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        2500.00        98.8725                 NaN            NaN            NaN            NaN            NaN  0.658101E-001   1.06170                 NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        2500.00        98.8790                 NaN            NaN            NaN            NaN            NaN  0.596829E-001   1.06130                 NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        2500.00        98.8867                 NaN            NaN            NaN            NaN            NaN  0.530075E-001   1.06029                 NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        2500.00        98.8922                 NaN            NaN            NaN            NaN            NaN  0.465226E-001   1.06126                 NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        2500.00        98.8990                 NaN            NaN            NaN            NaN            NaN  0.396844E-001   1.06127                 NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        2500.00        98.9030                 NaN            NaN            NaN            NaN            NaN  0.324275E-001   1.06459                 NaN            NaN            NaN            NaN            NaN            NaN
