|6.6.6
Archiving\03_Data\frac/QFM_m4.75/ALH/ALH_1.tab                            
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         melt(TH)       mang           iron           pxmn           O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             lc            
  2000.00        2500.00        94.6255       0.462169        4.91236                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1997.49        2500.00        94.5998       0.462203        4.93800                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1994.99        2500.00        94.5741       0.462236        4.96362                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1992.48        2500.00        94.5486       0.462270        4.98914                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1989.97        2500.00        94.5231       0.462303        5.01463                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.47        2500.00        94.4976       0.462336        5.04006                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1984.96        2500.00        94.4722       0.462369        5.06544                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1982.46        2500.00        94.4468       0.462403        5.09076                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1979.95        2500.00        94.4215       0.462436        5.11602                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.44        2500.00        94.3963       0.462469        5.14127                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.94        2500.00        94.3711       0.462502        5.16642                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1972.43        2500.00        94.3460       0.462534        5.19151                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1969.92        2500.00        94.3208       0.462567        5.21659                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.42        2500.00        94.2958       0.462600        5.24158                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.91        2500.00        94.2437       0.441707        5.27595       0.386719E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1962.41        2500.00        94.1680       0.402612        5.31843       0.110984                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1959.90        2500.00        94.0899       0.362220        5.36215       0.185694                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1957.39        2500.00        94.0178       0.325042        5.40272       0.254460                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1954.89        2500.00        93.9432       0.286484        5.44458       0.325778                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1952.38        2500.00        93.8691       0.248236        5.48615       0.396523                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1949.87        2500.00        93.7953       0.210141        5.52753       0.466984                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1947.37        2500.00        93.7220       0.172246        5.56871       0.537075                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1944.86        2500.00        93.6490       0.134527        5.60966       0.606843                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.36        2500.00        93.5763       0.969864E-001   5.65043       0.676278                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.85        2500.00        93.5006       0.578057E-001   5.69280       0.748748                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1937.34        2500.00        93.4321       0.224940E-001   5.73131       0.814062                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        2500.00        93.3997       0.558144E-002   5.74941       0.845343                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        2500.00        93.3553                 NaN   5.78892       0.855747                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        2500.00        93.3315                 NaN   5.81267       0.855805                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        2500.00        93.3501       0.462630E-002   5.79802       0.847225                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
