|6.6.6
Archiving\03_Data\eqfrac/QFM_m4.25/EETA/EETA_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          an             San(TH)        ilm            q             
  1461.54        2500.00       0.295571E-002   99.8394                 NaN  0.157642                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1460.38        2500.00       0.931002E-003   99.4327                 NaN  0.330315       0.236066                 NaN            NaN            NaN            NaN            NaN            NaN
  1459.23        2500.00       0.554766E-003   99.3962                 NaN  0.176415       0.426793                 NaN            NaN            NaN            NaN            NaN            NaN
  1458.07        2500.00       0.530065E-003   99.4003                 NaN  0.174778       0.424344                 NaN            NaN            NaN            NaN            NaN            NaN
  1456.91        2500.00       0.500872E-003   99.3938                 NaN  0.176659       0.429073                 NaN            NaN            NaN            NaN            NaN            NaN
  1455.76        2500.00       0.473264E-003   99.4176                 NaN  0.412162       0.169719                 NaN            NaN            NaN            NaN            NaN            NaN
  1454.60        2500.00       0.445700E-003   99.4093                 NaN  0.172601       0.417670                 NaN            NaN            NaN            NaN            NaN            NaN
  1453.44        2500.00       0.431229E-003   99.4131                 NaN  0.414778       0.171696                 NaN            NaN            NaN            NaN            NaN            NaN
  1452.29        2500.00       0.425484E-003   99.4184                 NaN  0.169993       0.411177                 NaN            NaN            NaN            NaN            NaN            NaN
  1451.13        2500.00       0.396237E-003   99.4206                 NaN  0.169276       0.409743                 NaN            NaN            NaN            NaN            NaN            NaN
  1449.97        2500.00       0.371367E-003   99.4236                 NaN  0.407962       0.168031                 NaN            NaN            NaN            NaN            NaN            NaN
  1448.82        2500.00       0.357038E-003   99.4264                 NaN  0.167236       0.406047                 NaN            NaN            NaN            NaN            NaN            NaN
  1447.66        2500.00       0.341253E-003   99.4296                 NaN  0.403516       0.166555                 NaN            NaN            NaN            NaN            NaN            NaN
  1446.50        2500.00                 NaN   99.9029                 NaN  0.774505E-001            NaN            NaN  0.196179E-001            NaN            NaN            NaN            NaN
  1445.35        2500.00       0.727522E-003   98.9700                 NaN  0.298329       0.730916                 NaN            NaN            NaN            NaN            NaN            NaN
  1444.19        2500.00       0.294304E-003   99.4372                 NaN  0.399046       0.163465                 NaN            NaN            NaN            NaN            NaN            NaN
  1443.03        2500.00       0.238381E-003   99.3877                 NaN  0.179359       0.432682                 NaN            NaN            NaN            NaN            NaN            NaN
  1441.88        2500.00       0.224696E-003   99.4972                 NaN  0.147402       0.355156                 NaN            NaN            NaN            NaN            NaN            NaN
  1440.72        2500.00       0.235332E-003   99.4462                 NaN  0.160900       0.392620                 NaN            NaN            NaN            NaN            NaN            NaN
  1439.56        2500.00       0.222598E-003   99.4496                 NaN  0.159737       0.390489                 NaN            NaN            NaN            NaN            NaN            NaN
  1438.41        2500.00       0.211154E-003   99.4520                 NaN  0.388821       0.158953                 NaN            NaN            NaN            NaN            NaN            NaN
  1437.25        2500.00       0.203483E-003   99.4542                 NaN  0.387873       0.157565                 NaN  0.205738E-003            NaN            NaN            NaN            NaN
  1436.09        2500.00       0.185529E-003   99.4561                 NaN  0.156886       0.386831                 NaN            NaN            NaN            NaN            NaN            NaN
  1434.93        2500.00       0.177648E-003   99.4603                 NaN  0.156243       0.383244                 NaN            NaN            NaN            NaN            NaN            NaN
  1433.78        2500.00       0.155748E-003   99.4618                 NaN  0.155056       0.383034                 NaN            NaN            NaN            NaN            NaN            NaN
  1432.62        2500.00       0.147072E-003   99.0081                 NaN  0.389475       0.364547                 NaN  0.191028E-003  0.237546                 NaN            NaN            NaN
  1431.46        2500.00                 NaN   98.5110                 NaN  0.410431       0.452549                 NaN  0.109073       0.516967                 NaN            NaN            NaN
  1430.31        2500.00                 NaN   98.5088                 NaN  0.276557       0.492627                 NaN  0.187412       0.534616                 NaN            NaN            NaN
  1429.15        2500.00                 NaN   98.5298                 NaN  0.487789       0.268237                 NaN  0.186804       0.527398                 NaN            NaN            NaN
  1427.99        2500.00                 NaN   98.5504                 NaN  0.259961       0.483222                 NaN  0.185977       0.520397                 NaN            NaN            NaN
  1426.84        2500.00                 NaN   98.5717                 NaN  0.478334       0.251866                 NaN  0.185120       0.513003                 NaN            NaN            NaN
  1425.68        2500.00                 NaN   98.5916                 NaN  0.243323       0.473994                 NaN  0.184784       0.506349                 NaN            NaN            NaN
  1424.52        2500.00                 NaN   98.4327                 NaN  0.531088       0.265093                 NaN  0.207237       0.563861                 NaN            NaN            NaN
  1423.37        2500.00                 NaN   98.8084                 NaN  0.405236       0.198175                 NaN  0.159273       0.428932                 NaN            NaN            NaN
  1422.21        2500.00                 NaN   98.6481                 NaN  0.462803       0.220268                 NaN  0.181967       0.486899                 NaN            NaN            NaN
  1421.05        2500.00                 NaN   98.6670                 NaN  0.458117       0.212791                 NaN  0.181565       0.480489                 NaN            NaN            NaN
  1419.90        2500.00                 NaN   98.6856                 NaN  0.454173       0.205566                 NaN  0.180603       0.474077                 NaN            NaN            NaN
  1418.74        2500.00                 NaN   98.7028                 NaN  0.450578       0.198234                 NaN  0.180116       0.468287                 NaN            NaN            NaN
  1417.58        2500.00                 NaN   98.7192                 NaN  0.190471       0.448142                 NaN  0.179521       0.462658                 NaN            NaN            NaN
  1416.43        2500.00                 NaN   98.7357                 NaN  0.443888       0.184965                 NaN  0.178587       0.456821                 NaN            NaN            NaN
