|6.6.6
Archiving\03_Data\eqfrac/QFM_m4.25/EETA/EETA_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          an             San(TH)        ilm            q             
  1461.54        2500.00       0.454201E-002   99.8111                 NaN  0.184385                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1460.38        2500.00       0.142857E-002   99.3404                 NaN  0.382162       0.276006                 NaN            NaN            NaN            NaN            NaN            NaN
  1459.23        2500.00       0.850853E-003   99.2988                 NaN  0.206357       0.493951                 NaN            NaN            NaN            NaN            NaN            NaN
  1458.07        2500.00       0.812543E-003   99.3034                 NaN  0.204517       0.491319                 NaN            NaN            NaN            NaN            NaN            NaN
  1456.91        2500.00       0.767603E-003   99.2954                 NaN  0.206826       0.496998                 NaN            NaN            NaN            NaN            NaN            NaN
  1455.76        2500.00       0.724941E-003   99.3228                 NaN  0.477622       0.198844                 NaN            NaN            NaN            NaN            NaN            NaN
  1454.60        2500.00       0.682231E-003   99.3128                 NaN  0.202304       0.484168                 NaN            NaN            NaN            NaN            NaN            NaN
  1453.44        2500.00       0.660056E-003   99.3170                 NaN  0.481027       0.201355                 NaN            NaN            NaN            NaN            NaN            NaN
  1452.29        2500.00       0.650824E-003   99.3229                 NaN  0.199458       0.477033                 NaN            NaN            NaN            NaN            NaN            NaN
  1451.13        2500.00       0.605802E-003   99.3251                 NaN  0.198704       0.475571                 NaN            NaN            NaN            NaN            NaN            NaN
  1449.97        2500.00       0.567499E-003   99.3284                 NaN  0.473690       0.197332                 NaN            NaN            NaN            NaN            NaN            NaN
  1448.82        2500.00       0.545432E-003   99.3312                 NaN  0.196527       0.471695                 NaN            NaN            NaN            NaN            NaN            NaN
  1447.66        2500.00       0.521040E-003   99.3347                 NaN  0.468918       0.195814                 NaN            NaN            NaN            NaN            NaN            NaN
  1446.50        2500.00                 NaN   99.8854                 NaN  0.899485E-001            NaN            NaN  0.246124E-001            NaN            NaN            NaN            NaN
  1445.35        2500.00       0.110887E-002   98.7986                 NaN  0.350829       0.849454                 NaN            NaN            NaN            NaN            NaN            NaN
  1444.19        2500.00       0.448776E-003   99.3427                 NaN  0.464352       0.192495                 NaN            NaN            NaN            NaN            NaN            NaN
  1443.03        2500.00       0.363600E-003   99.2846                 NaN  0.211339       0.503649                 NaN            NaN            NaN            NaN            NaN            NaN
  1441.88        2500.00       0.342333E-003   99.4122                 NaN  0.173775       0.413665                 NaN            NaN            NaN            NaN            NaN            NaN
  1440.72        2500.00       0.358286E-003   99.3524                 NaN  0.189762       0.457441                 NaN            NaN            NaN            NaN            NaN            NaN
  1439.56        2500.00       0.338741E-003   99.3560                 NaN  0.188504       0.455185                 NaN            NaN            NaN            NaN            NaN            NaN
  1438.41        2500.00       0.321157E-003   99.3586                 NaN  0.453418       0.187668                 NaN            NaN            NaN            NaN            NaN            NaN
  1437.25        2500.00       0.309383E-003   99.3608                 NaN  0.452534       0.186138                 NaN  0.260068E-003            NaN            NaN            NaN            NaN
  1436.09        2500.00       0.281896E-003   99.3628                 NaN  0.185407       0.451512                 NaN            NaN            NaN            NaN            NaN            NaN
  1434.93        2500.00       0.269756E-003   99.3675                 NaN  0.184753       0.447498                 NaN            NaN            NaN            NaN            NaN            NaN
  1433.78        2500.00       0.236408E-003   99.3688                 NaN  0.183456       0.447485                 NaN            NaN            NaN            NaN            NaN            NaN
  1432.62        2500.00       0.223151E-003   98.8859                 NaN  0.455116       0.431477                 NaN  0.242232E-003  0.227018                 NaN            NaN            NaN
  1431.46        2500.00                 NaN   98.3525                 NaN  0.486039       0.528993                 NaN  0.138434       0.494029                 NaN            NaN            NaN
  1430.31        2500.00                 NaN   98.3465                 NaN  0.327782       0.576338                 NaN  0.238237       0.511095                 NaN            NaN            NaN
  1429.15        2500.00                 NaN   98.3683                 NaN  0.571190       0.318243                 NaN  0.237879       0.504422                 NaN            NaN            NaN
  1427.99        2500.00                 NaN   98.3897                 NaN  0.308734       0.566368                 NaN  0.237261       0.497954                 NaN            NaN            NaN
  1426.84        2500.00                 NaN   98.4118                 NaN  0.561139       0.299421                 NaN  0.236579       0.491109                 NaN            NaN            NaN
  1425.68        2500.00                 NaN   98.4324                 NaN  0.289549       0.556544                 NaN  0.236540       0.484970                 NaN            NaN            NaN
  1424.52        2500.00                 NaN   98.2541                 NaN  0.624176       0.315773                 NaN  0.265672       0.540240                 NaN            NaN            NaN
  1423.37        2500.00                 NaN   98.6709                 NaN  0.476807       0.236343                 NaN  0.204653       0.411309                 NaN            NaN            NaN
  1422.21        2500.00                 NaN   98.4909                 NaN  0.544989       0.262934                 NaN  0.234141       0.467030                 NaN            NaN            NaN
  1421.05        2500.00                 NaN   98.5106                 NaN  0.539937       0.254252                 NaN  0.234049       0.461117                 NaN            NaN            NaN
  1419.90        2500.00                 NaN   98.5300                 NaN  0.535783       0.245862                 NaN  0.233203       0.455198                 NaN            NaN            NaN
  1418.74        2500.00                 NaN   98.5478                 NaN  0.532028       0.237327                 NaN  0.232973       0.449874                 NaN            NaN            NaN
  1417.58        2500.00                 NaN   98.5647                 NaN  0.228254       0.529687                 NaN  0.232615       0.444702                 NaN            NaN            NaN
  1416.43        2500.00                 NaN   98.5817                 NaN  0.525207       0.221924                 NaN  0.231842       0.439327                 NaN            NaN            NaN
  1415.27        2500.00                 NaN   98.5978                 NaN  0.522111       0.214114                 NaN  0.231622       0.434389                 NaN            NaN            NaN
  1414.11        2500.00                 NaN   98.6152                 NaN  0.518582       0.205836                 NaN  0.231245       0.429112                 NaN            NaN            NaN
  1412.96        2500.00                 NaN   98.6331                 NaN  0.514420       0.198184                 NaN  0.230527       0.423784                 NaN            NaN            NaN
  1411.80        2500.00                 NaN   98.6487                 NaN  0.190445       0.511474                 NaN  0.230241       0.419112                 NaN            NaN            NaN
  1410.64        2500.00                 NaN   98.6654                 NaN  0.184485       0.507263                 NaN  0.229239       0.413656                 NaN            NaN            NaN
  1409.49        2500.00                 NaN   98.6779                 NaN  0.176256       0.506400                 NaN  0.229622       0.409854                 NaN            NaN            NaN
  1408.33        2500.00                 NaN   98.6938                 NaN  0.505042       0.167576                 NaN  0.228853       0.404721                 NaN            NaN            NaN
  1407.17        2500.00                 NaN   98.7038                 NaN  0.501499       0.163356                 NaN  0.228998       0.402335                 NaN            NaN            NaN
  1406.02        2500.00                 NaN   98.7325                 NaN  0.494754       0.154156                 NaN  0.226007       0.392567                 NaN            NaN            NaN
  1404.86        2500.00                 NaN   98.7367                 NaN  0.148292       0.495804                 NaN  0.227424       0.391745                 NaN            NaN            NaN
  1403.70        2500.00                 NaN   98.7434                 NaN  0.484056       0.161399                 NaN  0.222423       0.388738                 NaN            NaN            NaN
  1402.55        2500.00                 NaN   98.7711                 NaN  0.120342       0.497008                 NaN  0.230233       0.381323                 NaN            NaN            NaN
  1401.39        2500.00                 NaN   98.6162                 NaN  0.551190       0.146697                 NaN  0.256596       0.429286                 NaN            NaN            NaN
  1400.23        2500.00                 NaN   98.9523                 NaN  0.420518       0.109106                 NaN  0.193926       0.324169                 NaN            NaN            NaN
  1399.08        2500.00                 NaN   98.8038                 NaN  0.117427       0.483729                 NaN  0.224358       0.370730                 NaN            NaN            NaN
  1397.92        2500.00                 NaN   98.8169                 NaN  0.481092       0.111786                 NaN  0.223751       0.366456                 NaN            NaN            NaN
  1396.76        2500.00                 NaN   98.6637                 NaN  0.124744       0.545054                 NaN  0.252532       0.414005                 NaN            NaN            NaN
  1395.61        2500.00                 NaN   99.0079                 NaN  0.827424E-001  0.409006                 NaN  0.192822       0.307491                 NaN            NaN            NaN
  1394.45        2500.00                 NaN   98.8541                 NaN  0.474180       0.952155E-001            NaN  0.221678       0.354854                 NaN            NaN            NaN
  1393.29        2500.00                 NaN   98.8651                 NaN  0.473708       0.884643E-001            NaN  0.221376       0.351374                 NaN            NaN            NaN
  1392.14        2500.00                 NaN   98.8777                 NaN  0.470525       0.840530E-001            NaN  0.220328       0.347391                 NaN            NaN            NaN
  1390.98        2500.00                 NaN   98.8883                 NaN  0.780397E-001  0.469762                 NaN  0.219889       0.343998                 NaN            NaN            NaN
  1389.82        2500.00                 NaN   98.8986                 NaN  0.468126       0.733203E-001            NaN  0.219232       0.340720                 NaN            NaN            NaN
  1388.67        2500.00                 NaN   98.9094                 NaN  0.467610       0.677781E-001            NaN  0.218150       0.337105                 NaN            NaN            NaN
  1387.51        2500.00                 NaN   98.9197                 NaN  0.466699       0.617910E-001            NaN  0.218020       0.333798                 NaN            NaN            NaN
  1386.35        2500.00                 NaN   98.9327                 NaN  0.462152       0.591754E-001            NaN  0.216232       0.329789                 NaN            NaN            NaN
  1385.20        2500.00                 NaN   98.9421                 NaN  0.461829       0.535779E-001            NaN  0.215786       0.326676                 NaN            NaN            NaN
  1384.04        2500.00                 NaN   98.9475                 NaN  0.460996       0.501958E-001            NaN  0.215748       0.325530                 NaN            NaN            NaN
  1382.88        2500.00                 NaN   98.9673                 NaN  0.458645       0.419450E-001            NaN  0.213790       0.318358                 NaN            NaN            NaN
  1381.72        2500.00                 NaN   98.9727                 NaN  0.404854E-001  0.457196                 NaN  0.212857       0.316754                 NaN            NaN            NaN
  1380.57        2500.00                 NaN   98.9814                 NaN  0.322525E-001  0.458166                 NaN  0.213805       0.314347                 NaN            NaN            NaN
  1379.41        2500.00                 NaN   98.9919                 NaN  0.453818       0.341327E-001            NaN  0.209798       0.310312                 NaN            NaN            NaN
  1378.25        2500.00                 NaN   99.0011                 NaN  0.455156       0.253587E-001            NaN  0.210761       0.307640                 NaN            NaN            NaN
  1377.10        2500.00                 NaN   99.0104                 NaN  0.208415E-001  0.453328                 NaN  0.210680       0.304703                 NaN            NaN            NaN
  1375.94        2500.00                 NaN   99.0187                 NaN  0.218503E-001  0.450813                 NaN  0.207063       0.301574                 NaN            NaN            NaN
  1374.78        2500.00                 NaN   99.0174                 NaN  0.435217       0.334371E-001            NaN  0.209437       0.304475                 NaN            NaN            NaN
  1373.63        2500.00                 NaN   99.0417                 NaN  0.415140       0.725535E-001            NaN  0.181457       0.289187                 NaN            NaN            NaN
  1372.47        2500.00                 NaN   99.0469                 NaN  0.453428                 NaN            NaN  0.206988       0.292671                 NaN            NaN            NaN
  1371.31        2500.00                 NaN   99.0576                 NaN  0.442734                 NaN            NaN  0.209664       0.290032                 NaN            NaN            NaN
  1370.16        2500.00                 NaN   99.0630                 NaN  0.445219       0.360556E-002            NaN  0.201307       0.286878                 NaN            NaN            NaN
  1369.00        2500.00                 NaN   99.0653                 NaN  0.416845       0.466191E-001            NaN  0.186918       0.284283                 NaN            NaN            NaN
  1367.84        2500.00                 NaN   99.0794                 NaN  0.439672                 NaN            NaN  0.199411       0.281477                 NaN            NaN            NaN
  1366.69        2500.00                 NaN   99.0819                 NaN  0.353186E-001  0.418202                 NaN  0.185676       0.278941                 NaN            NaN            NaN
  1365.53        2500.00                 NaN   99.0971                 NaN  0.427071                 NaN            NaN  0.199770       0.276049                 NaN            NaN            NaN
  1364.37        2500.00                 NaN   99.0946                 NaN  0.398873       0.584502E-001            NaN  0.174588       0.273514                 NaN            NaN            NaN
  1363.22        2500.00                 NaN   99.1110                 NaN  0.426998                 NaN            NaN  0.191407       0.270644                 NaN            NaN            NaN
  1362.06        2500.00                 NaN   99.1172                 NaN  0.421807                 NaN            NaN  0.192394       0.268585                 NaN            NaN            NaN
  1360.90        2500.00                 NaN   99.1247                 NaN  0.422102                 NaN            NaN  0.187608       0.265573                 NaN            NaN            NaN
  1359.75        2500.00                 NaN   99.1319                 NaN  0.417100                 NaN            NaN  0.187678       0.263352                 NaN            NaN            NaN
  1358.59        2500.00                 NaN   99.1387                 NaN  0.417725                 NaN            NaN  0.183000       0.260625                 NaN            NaN            NaN
  1357.43        2500.00                 NaN   99.1604                 NaN  0.658919E-001  0.396949                 NaN  0.129508       0.247204                 NaN            NaN            NaN
  1356.28        2500.00                 NaN   99.1451                 NaN  0.402846                 NaN            NaN  0.192546       0.259467                 NaN            NaN            NaN
  1355.12        2500.00                 NaN   99.1452                 NaN  0.397209                 NaN            NaN  0.196996       0.260572                 NaN            NaN            NaN
  1353.96        2500.00                 NaN   99.1657                 NaN  0.408386                 NaN            NaN  0.174922       0.250993                 NaN            NaN            NaN
  1352.81        2500.00                 NaN   99.1739                 NaN  0.401283                 NaN            NaN  0.176124       0.248698                 NaN            NaN            NaN
