|6.6.6
Archiving\03_Data\eqfracLP/QFM_m1.75/EETA/EETA_3.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         an             O(HP)          San(TH)        ilm            q             
  1423.08        500.000        99.9539       0.460979E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1422.02        500.000        99.6072       0.959983E-001  0.296767                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1420.96        500.000        99.4798       0.192081       0.328159                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1419.90        500.000        99.4822       0.326795       0.190969                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1418.84        500.000        99.4844       0.325511       0.190130                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1417.78        500.000        99.4904       0.321322       0.188263                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1416.72        500.000        99.4937       0.186193       0.319575                 NaN  0.532216E-003            NaN            NaN            NaN            NaN            NaN
  1415.66        500.000        99.4913       0.188306       0.320362                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1414.60        500.000        99.4732       0.193885       0.332950                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1413.54        500.000        99.9044       0.352227E-001  0.603384E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1412.48        500.000        99.1242       0.322547       0.553244                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1411.42        500.000        98.6845       0.388066       0.517955                 NaN            NaN  0.409449                 NaN            NaN            NaN            NaN
  1410.36        500.000        98.5593       0.418989       0.567066                 NaN            NaN  0.454620                 NaN            NaN            NaN            NaN
  1409.30        500.000        98.7989       0.473615       0.348225                 NaN            NaN  0.379273                 NaN            NaN            NaN            NaN
  1408.24        500.000        98.7057       0.510048       0.375479                 NaN            NaN  0.408767                 NaN            NaN            NaN            NaN
  1407.17        500.000        98.7218       0.503738       0.370770                 NaN            NaN  0.403681                 NaN            NaN            NaN            NaN
  1406.11        500.000        98.7351       0.498062       0.367220                 NaN            NaN  0.399590                 NaN            NaN            NaN            NaN
  1405.05        500.000        98.7570       0.490079       0.360481                 NaN            NaN  0.392466                 NaN            NaN            NaN            NaN
  1403.99        500.000        98.7700       0.356607       0.484948                 NaN            NaN  0.388422                 NaN            NaN            NaN            NaN
  1402.93        500.000        98.7843       0.479330       0.352324                 NaN            NaN  0.384091                 NaN            NaN            NaN            NaN
  1401.87        500.000        98.8026       0.472075       0.347243                 NaN            NaN  0.378080                 NaN            NaN            NaN            NaN
  1400.81        500.000        99.7202       0.817303E-001  0.109683                 NaN            NaN  0.883791E-001            NaN            NaN            NaN            NaN
  1399.75        500.000        99.8045       0.612656E-001  0.555284E-001            NaN            NaN  0.645967E-001  0.140608E-001            NaN            NaN            NaN
  1398.69        500.000        96.9694       0.877433        1.19637                 NaN            NaN  0.956760                 NaN            NaN            NaN            NaN
  1397.63        500.000        98.8579       0.450719       0.330882                 NaN            NaN  0.360543                 NaN            NaN            NaN            NaN
  1396.57        500.000        99.7477       0.850949E-001  0.761448E-001            NaN  0.134733E-003  0.815061E-001  0.938692E-002            NaN            NaN            NaN
  1395.51        500.000        97.9940       0.618604       0.621455                 NaN            NaN  0.656684       0.109256                 NaN            NaN            NaN
  1394.45        500.000        98.9203       0.348244       0.270851                 NaN            NaN  0.360485       0.100088                 NaN            NaN            NaN
  1393.39        500.000        98.9105       0.352614       0.269300                 NaN            NaN  0.364946       0.102687                 NaN            NaN            NaN
  1392.33        500.000        98.9359       0.260258       0.345403                 NaN            NaN  0.356682       0.101783                 NaN            NaN            NaN
  1391.27        500.000        98.9408       0.255919       0.344980                 NaN            NaN  0.355486       0.102781                 NaN            NaN            NaN
  1390.21        500.000        98.9535       0.248288       0.341722                 NaN            NaN  0.351838       0.104644                 NaN            NaN            NaN
  1389.15        500.000        98.9682       0.244426       0.337306                 NaN            NaN  0.346614       0.103454                 NaN            NaN            NaN
  1388.09        500.000        98.9817       0.334307       0.237873                 NaN            NaN  0.342330       0.103794                 NaN            NaN            NaN
  1387.03        500.000        98.9903       0.232414       0.332322                 NaN            NaN  0.340037       0.104908                 NaN            NaN            NaN
  1385.97        500.000        99.0032       0.226506       0.329136                 NaN            NaN  0.335947       0.105199                 NaN            NaN            NaN
  1384.91        500.000        99.0147       0.326341       0.221024                 NaN            NaN  0.332363       0.105561                 NaN            NaN            NaN
  1383.85        500.000        99.0251       0.323749       0.215835                 NaN            NaN  0.329213       0.106127                 NaN            NaN            NaN
  1382.79        500.000        99.0212       0.212049       0.326625                 NaN            NaN  0.331608       0.108545                 NaN            NaN            NaN
  1381.73        500.000        99.0635       0.201147       0.314274                 NaN            NaN  0.315886       0.105147                 NaN            NaN            NaN
  1380.67        500.000        99.0587       0.315486       0.200226                 NaN            NaN  0.318560       0.107002                 NaN            NaN            NaN
  1379.61        500.000        99.0673       0.313716       0.195273                 NaN            NaN  0.316025       0.107656                 NaN            NaN            NaN
  1378.55        500.000        99.0796       0.310250       0.190069                 NaN            NaN  0.312124       0.107954                 NaN            NaN            NaN
  1377.48        500.000        99.0821       0.310610       0.185004                 NaN            NaN  0.312242       0.110011                 NaN            NaN            NaN
  1376.42        500.000        99.1053       0.304550       0.179536                 NaN            NaN  0.303180       0.107413                 NaN            NaN            NaN
  1375.36        500.000        99.1093       0.303164       0.176188                 NaN            NaN  0.302672       0.108663                 NaN            NaN            NaN
  1374.30        500.000        99.1183       0.301149       0.171307                 NaN            NaN  0.299995       0.109288                 NaN            NaN            NaN
  1373.24        500.000        99.1274       0.298930       0.167178                 NaN            NaN  0.297024       0.109434                 NaN            NaN            NaN
  1372.18        500.000        99.1363       0.297336       0.162045                 NaN            NaN  0.294473       0.109864                 NaN            NaN            NaN
  1371.12        500.000        99.1471       0.158072       0.294149                 NaN            NaN  0.290794       0.109927                 NaN            NaN            NaN
  1370.06        500.000        99.1545       0.154181       0.292554                 NaN            NaN  0.288523       0.110252                 NaN            NaN            NaN
  1369.00        500.000        99.1638       0.150190       0.290413                 NaN            NaN  0.285452       0.110190                 NaN            NaN            NaN
  1367.94        500.000        99.1723       0.145331       0.288473                 NaN            NaN  0.282919       0.110999                 NaN            NaN            NaN
  1366.88        500.000        99.1792       0.286299       0.143451                 NaN            NaN  0.280556       0.110513                 NaN            NaN            NaN
  1365.82        500.000        99.1910       0.283923       0.137347                 NaN            NaN  0.276696       0.111061                 NaN            NaN            NaN
  1364.76        500.000        99.1974       0.282312       0.134460                 NaN            NaN  0.274745       0.111111                 NaN            NaN            NaN
  1363.70        500.000        99.2057       0.280058       0.131004                 NaN            NaN  0.272063       0.111163                 NaN            NaN            NaN
  1362.64        500.000        99.2137       0.127043       0.278329                 NaN            NaN  0.269552       0.111377                 NaN            NaN            NaN
  1361.58        500.000        99.2220       0.123540       0.276334                 NaN            NaN  0.266842       0.111318                 NaN            NaN            NaN
  1360.52        500.000        99.2295       0.274450       0.120180                 NaN            NaN  0.264379       0.111515                 NaN            NaN            NaN
  1359.46        500.000        99.2373       0.116946       0.272474                 NaN            NaN  0.261831       0.111429                 NaN            NaN            NaN
  1358.40        500.000        99.2436       0.113116       0.271423                 NaN            NaN  0.259975       0.111870                 NaN            NaN            NaN
  1357.34        500.000        99.2536       0.110427       0.268162                 NaN            NaN  0.256493       0.111273                 NaN            NaN            NaN
  1356.28        500.000        99.2594       0.267636       0.106824                 NaN            NaN  0.254648       0.111503                 NaN            NaN            NaN
  1355.22        500.000        99.2671       0.104216       0.265522                 NaN            NaN  0.251996       0.111176                 NaN            NaN            NaN
  1354.16        500.000        99.2729       0.101113       0.263821                 NaN            NaN  0.250338       0.111839                 NaN            NaN            NaN
  1353.10        500.000        99.2543       0.207207       0.229851                 NaN            NaN  0.246593       0.620857E-001            NaN            NaN            NaN
  1352.04        500.000        99.3087       0.730573E-002  0.286311                 NaN            NaN  0.246328       0.151401                 NaN            NaN            NaN
  1350.98        500.000        99.3004       0.265684       0.710598E-001            NaN            NaN  0.243077       0.119798                 NaN            NaN            NaN
  1349.92        500.000        99.3017       0.256870       0.905110E-001            NaN            NaN  0.240499       0.110462                 NaN            NaN            NaN
  1348.86        500.000        99.3080       0.878180E-001  0.255179                 NaN            NaN  0.238512       0.110485                 NaN            NaN            NaN
  1347.80        500.000        99.3127       0.254831       0.844845E-001            NaN            NaN  0.236997       0.110974                 NaN            NaN            NaN
  1346.73        500.000        99.3212       0.838194E-001  0.251645                 NaN            NaN  0.233921       0.109437                 NaN            NaN            NaN
  1345.67        500.000        99.3270       0.250348       0.808738E-001            NaN            NaN  0.232097       0.109699                 NaN            NaN            NaN
  1344.61        500.000        99.3339       0.248474       0.783002E-001            NaN            NaN  0.229843       0.109517                 NaN            NaN            NaN
  1343.55        500.000        99.3392       0.247525       0.761857E-001            NaN            NaN  0.227934       0.109140                 NaN            NaN            NaN
  1342.49        500.000        99.3455       0.742974E-001  0.245659                 NaN            NaN  0.225782       0.108793                 NaN            NaN            NaN
  1341.43        500.000        99.3513       0.723678E-001  0.244160                 NaN            NaN  0.223773       0.108385                 NaN            NaN            NaN
  1340.37        500.000        99.3576       0.242657       0.698912E-001            NaN            NaN  0.221691       0.108154                 NaN            NaN            NaN
  1339.31        500.000        99.3632       0.240983       0.684529E-001            NaN            NaN  0.219710       0.107635                 NaN            NaN            NaN
  1338.25        500.000        99.3689       0.239946       0.658806E-001            NaN            NaN  0.217829       0.107435                 NaN            NaN            NaN
  1337.19        500.000        99.3744       0.648061E-001  0.237996                 NaN            NaN  0.215843       0.106928                 NaN            NaN            NaN
  1336.13        500.000        99.3805       0.236088       0.638514E-001            NaN            NaN  0.213612       0.105901                 NaN            NaN            NaN
  1335.07        500.000        98.5883       0.154474       0.537273                 NaN            NaN  0.485284       0.234700                 NaN            NaN            NaN
  1334.01        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1332.95        500.000        99.5726       0.458638E-001  0.163680                 NaN            NaN  0.145807       0.720193E-001            NaN            NaN            NaN
  1331.89        500.000        99.4018       0.230283       0.579440E-001            NaN            NaN  0.206171       0.103822                 NaN            NaN            NaN
  1330.83        500.000        99.4065       0.569732E-001  0.228908                 NaN            NaN  0.204438       0.103162                 NaN            NaN            NaN
  1329.77        500.000        99.4121       0.550128E-001  0.227322                 NaN            NaN  0.202585       0.102941                 NaN            NaN            NaN
  1328.71        500.000        99.4164       0.225917       0.552571E-001            NaN            NaN  0.200857       0.101542                 NaN            NaN            NaN
  1327.65        500.000        99.4215       0.224818       0.534247E-001            NaN            NaN  0.199017       0.101288                 NaN            NaN            NaN
  1326.59        500.000        99.4273       0.223203       0.515907E-001            NaN            NaN  0.197060       0.100831                 NaN            NaN            NaN
  1325.53        500.000        99.4319       0.221639       0.511786E-001            NaN            NaN  0.195326       0.999257E-001            NaN            NaN            NaN
  1324.47        500.000        99.4369       0.220157       0.496682E-001            NaN            NaN  0.193708       0.995677E-001            NaN            NaN            NaN
  1323.41        500.000        99.4414       0.218107       0.507374E-001            NaN            NaN  0.191813       0.979328E-001            NaN            NaN            NaN
  1322.35        500.000        99.4456       0.217487       0.491796E-001            NaN            NaN  0.190324       0.974517E-001            NaN            NaN            NaN
  1321.29        500.000        99.4503       0.491465E-001  0.215536                 NaN            NaN  0.188572       0.964695E-001            NaN            NaN            NaN
  1320.23        500.000        99.4550       0.213950       0.484224E-001            NaN            NaN  0.186879       0.957256E-001            NaN            NaN            NaN
