|6.6.6
Archiving\03_Data\eq/QFM/WD94/WD94_1.tab                                  
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       mang           Sp(TH)         O(HP)          pxmn           Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        2500.00        99.5407       0.459258                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.5407       0.459255                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.5407       0.459253                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.5407       0.459251                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        99.5408       0.459249                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        99.5408       0.459247                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        99.5408       0.459244                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        99.5408       0.459242                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        99.5408       0.459240                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        99.5408       0.459238                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        99.5408       0.459235                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        99.5408       0.459233                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        99.5408       0.459230                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        99.5408       0.459228                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        99.5408       0.459226                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        99.5408       0.459223                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        99.5408       0.459221                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        99.5408       0.459218                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        99.5408       0.459216                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        99.5408       0.459213                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        99.5408       0.459211                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        99.5408       0.459208                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        99.5408       0.459206                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        99.5408       0.459203                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        99.5408       0.459200                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        99.5408       0.459198                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        99.5408       0.459195                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        99.5408       0.459192                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        99.5408       0.459189                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        99.5408       0.459186                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        99.5408       0.459184                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        99.5408       0.459181                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        99.5408       0.459178                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        99.5408       0.459175                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        99.5408       0.459172                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        99.5408       0.459169                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        97.2236       0.570589E-001  0.357872E-001   1.94088       0.742720                 NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        96.2260                 NaN  0.582429E-001   2.86760       0.848124                 NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        95.4715                 NaN  0.758723E-001   3.60451       0.848138                 NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        94.7274                 NaN  0.932265E-001   4.33117       0.848152                 NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        93.9834                 NaN  0.110581        5.05786       0.848166                 NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        93.2678                 NaN  0.127069        5.75698       0.848182                 NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        92.5521                 NaN  0.143557        6.45612       0.848197                 NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        91.8364                 NaN  0.160046        7.15529       0.848212                 NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        91.1207                 NaN  0.176536        7.85449       0.848227                 NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        90.4050                 NaN  0.193026        8.55371       0.848242                 NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        89.6893                 NaN  0.209516        9.25295       0.848257                 NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        88.9735                 NaN  0.226008        9.95222       0.848272                 NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        88.2577                 NaN  0.242499        10.6515       0.848287                 NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        87.5843                 NaN  0.257687        11.3097       0.848303                 NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        2500.00        86.9108                 NaN  0.272876        11.9680       0.848319                 NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        2500.00        86.2373                 NaN  0.288065        12.6263       0.848335                 NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        2500.00        85.5638                 NaN  0.303255        13.2846       0.848351                 NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        2500.00        84.8903                 NaN  0.318445        13.9429       0.848367                 NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        2500.00        84.2167                 NaN  0.333636        14.6012       0.848383                 NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        2500.00        83.5432                 NaN  0.348828        15.2596       0.848399                 NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        2500.00        82.8695                 NaN  0.364020        15.9180       0.848414                 NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        2500.00        82.2088                 NaN  0.378038        16.5648       0.848432                 NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        2500.00        81.5479                 NaN  0.392058        17.2116       0.848450                 NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        2500.00        80.8871                 NaN  0.406077        17.8584       0.848468                 NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        2500.00        80.2262                 NaN  0.420098        18.5052       0.848486                 NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        2500.00        79.5653                 NaN  0.434119        19.1521       0.848504                 NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        2500.00        78.9044                 NaN  0.448140        19.7990       0.848522                 NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        2500.00        78.2434                 NaN  0.462163        20.4459       0.848540                 NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        2500.00        77.5824                 NaN  0.476185        21.0929       0.848558                 NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        2500.00        76.9475                 NaN  0.489079        21.7149       0.848576                 NaN            NaN            NaN            NaN            NaN            NaN
  1788.46        2500.00        76.3126                 NaN  0.501973        22.3369       0.848595                 NaN            NaN            NaN            NaN            NaN            NaN
  1785.26        2500.00        75.6776                 NaN  0.514868        22.9589       0.848613                 NaN            NaN            NaN            NaN            NaN            NaN
  1782.05        2500.00        75.0426                 NaN  0.527764        23.5810       0.848632                 NaN            NaN            NaN            NaN            NaN            NaN
  1778.85        2500.00        74.4076                 NaN  0.540660        24.2031       0.848650                 NaN            NaN            NaN            NaN            NaN            NaN
  1775.64        2500.00        73.7725                 NaN  0.553556        24.8252       0.848668                 NaN            NaN            NaN            NaN            NaN            NaN
  1772.44        2500.00        73.1375                 NaN  0.566454        25.4474       0.848687                 NaN            NaN            NaN            NaN            NaN            NaN
  1769.23        2500.00        72.5024                 NaN  0.579351        26.0696       0.848705                 NaN            NaN            NaN            NaN            NaN            NaN
  1766.03        2500.00        71.8843                 NaN  0.591207        26.6758       0.848725                 NaN            NaN            NaN            NaN            NaN            NaN
  1762.82        2500.00        71.2662                 NaN  0.603063        27.2820       0.848744                 NaN            NaN            NaN            NaN            NaN            NaN
  1759.62        2500.00        70.6481                 NaN  0.614919        27.8882       0.848763                 NaN            NaN            NaN            NaN            NaN            NaN
  1756.41        2500.00        70.0299                 NaN  0.626776        28.4945       0.848783                 NaN            NaN            NaN            NaN            NaN            NaN
  1753.21        2500.00        69.4117                 NaN  0.638634        29.1008       0.848802                 NaN            NaN            NaN            NaN            NaN            NaN
  1750.00        2500.00        68.7935                 NaN  0.650492        29.7072       0.848821                 NaN            NaN            NaN            NaN            NaN            NaN
  1746.79        2500.00        68.1753                 NaN  0.662350        30.3135       0.848840                 NaN            NaN            NaN            NaN            NaN            NaN
  1743.59        2500.00        67.5570                 NaN  0.674209        30.9199       0.848860                 NaN            NaN            NaN            NaN            NaN            NaN
  1740.38        2500.00        66.9558                 NaN  0.685202        31.5102       0.848880                 NaN            NaN            NaN            NaN            NaN            NaN
  1737.18        2500.00        66.3545                 NaN  0.696195        32.1004       0.848899                 NaN            NaN            NaN            NaN            NaN            NaN
  1733.97        2500.00        65.7532                 NaN  0.707189        32.6907       0.848919                 NaN            NaN            NaN            NaN            NaN            NaN
  1730.77        2500.00        65.1518                 NaN  0.718183        33.2811       0.848939                 NaN            NaN            NaN            NaN            NaN            NaN
  1727.56        2500.00        64.5504                 NaN  0.729178        33.8714       0.848959                 NaN            NaN            NaN            NaN            NaN            NaN
  1724.36        2500.00        63.9490                 NaN  0.740173        34.4618       0.848979                 NaN            NaN            NaN            NaN            NaN            NaN
  1721.15        2500.00        63.3476                 NaN  0.751169        35.0522       0.848999                 NaN            NaN            NaN            NaN            NaN            NaN
  1717.95        2500.00        62.7461                 NaN  0.762165        35.6427       0.849019                 NaN            NaN            NaN            NaN            NaN            NaN
  1714.74        2500.00        62.1776                 NaN  0.772080        36.2013       0.849038                 NaN            NaN            NaN            NaN            NaN            NaN
  1711.54        2500.00        61.6091                 NaN  0.781995        36.7599       0.849057                 NaN            NaN            NaN            NaN            NaN            NaN
  1708.33        2500.00        61.0405                 NaN  0.791911        37.3185       0.849077                 NaN            NaN            NaN            NaN            NaN            NaN
  1705.13        2500.00        60.4719                 NaN  0.801827        37.8771       0.849096                 NaN            NaN            NaN            NaN            NaN            NaN
  1701.92        2500.00        59.9033                 NaN  0.811743        38.4358       0.849115                 NaN            NaN            NaN            NaN            NaN            NaN
  1698.72        2500.00        59.3347                 NaN  0.821660        38.9945       0.849135                 NaN            NaN            NaN            NaN            NaN            NaN
  1695.51        2500.00        58.7660                 NaN  0.831578        39.5532       0.849154                 NaN            NaN            NaN            NaN            NaN            NaN
  1692.31        2500.00        58.1973                 NaN  0.841496        40.1120       0.849173                 NaN            NaN            NaN            NaN            NaN            NaN
  1689.10        2500.00        57.6586                 NaN  0.850767        40.6414       0.849192                 NaN            NaN            NaN            NaN            NaN            NaN
  1685.90        2500.00        57.1199                 NaN  0.860039        41.1709       0.849211                 NaN            NaN            NaN            NaN            NaN            NaN
  1682.69        2500.00        56.5811                 NaN  0.869311        41.7004       0.849230                 NaN            NaN            NaN            NaN            NaN            NaN
