|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m1/WD94/WD94_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1596.15        500.000        99.4962       0.357748       0.146061                 NaN            NaN            NaN            NaN            NaN            NaN
  1594.66        500.000        99.1276       0.819133       0.533059E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1593.16        500.000        99.1335       0.815622       0.509058E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1591.67        500.000        99.1461       0.803619       0.503086E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1590.17        500.000        99.1545       0.795250       0.502368E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1588.68        500.000        99.1641       0.786436       0.494792E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1587.19        500.000        99.1719       0.780494       0.476462E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1585.69        500.000        99.1758       0.778117       0.461203E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1584.20        500.000        99.1916       0.764146       0.443015E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1582.70        500.000        99.1929       0.764150       0.429552E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1581.21        500.000        99.2081       0.745436       0.464303E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1579.71        500.000        99.2130       0.748163       0.388569E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1578.22        500.000        99.2193       0.739407       0.413104E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1576.73        500.000        99.2263       0.735597       0.381095E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1575.23        500.000        99.2356       0.726523       0.378789E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1573.74        500.000        99.1885       0.770019       0.414404E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1572.24        500.000        99.2310       0.730043       0.390056E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1570.75        500.000        99.3351       0.631098       0.337528E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1569.26        500.000        99.2639       0.701593       0.345460E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1567.76        500.000        99.2717       0.694523       0.337351E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1566.27        500.000        99.1802       0.786619       0.331718E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1564.77        500.000        99.7585       0.229880       0.116267E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1563.28        500.000        98.9072        1.04491       0.478855E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1561.79        500.000        99.2966       0.671725       0.316804E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1560.29        500.000        99.2128       0.754489       0.327573E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1558.80        500.000        99.4005       0.575458       0.240095E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1557.30        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.81        500.000        98.6385        1.30957       0.519427E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1554.31        500.000        99.3284       0.646967       0.246303E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1552.82        500.000        99.3285       0.646427       0.250412E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1551.33        500.000        99.3425       0.635688       0.218471E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1549.83        500.000        99.3410       0.636123       0.229189E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1548.34        500.000        99.3532       0.625736       0.210715E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1546.84        500.000        99.3533       0.627376       0.193391E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1545.35        500.000        99.3595       0.599035       0.414691E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        500.000        99.3690       0.616159       0.148213E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1542.36        500.000        99.3714       0.606669       0.219805E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1540.87        500.000        99.3756       0.611179       0.132237E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1539.37        500.000        99.3779       0.608207       0.138794E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1537.88        500.000        99.3909       0.565775       0.433173E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1536.39        500.000        99.3783       0.502060       0.119683                 NaN            NaN            NaN            NaN            NaN            NaN
  1534.89        500.000        99.5143       0.485680                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.40        500.000        99.3012       0.698790                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.90        500.000        99.4036       0.596446                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.41        500.000        99.4064       0.593604                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.92        500.000        99.4109       0.589102                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.42        500.000        99.4259       0.505356       0.687883E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1525.93        500.000        99.4205       0.579455                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.43        500.000        99.4223       0.577664       0.504197E-005            NaN            NaN            NaN            NaN            NaN            NaN
  1522.94        500.000        99.4275       0.572486                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.44        500.000        99.4329       0.567105       0.107381E-004            NaN            NaN            NaN            NaN            NaN            NaN
  1519.95        500.000        99.4400       0.541665       0.183413E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1518.46        500.000        99.4402       0.559816                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.96        500.000        99.4435       0.556517                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.47        500.000        99.4478       0.552157                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.97        500.000        99.4525       0.547515                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.48        500.000        99.4569       0.543072                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.99        500.000        99.4580       0.542033                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.49        500.000        99.4615       0.538505                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.00        500.000        99.4670       0.532988                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.50        500.000        99.4704       0.529554                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.01        500.000        99.4710       0.529045       0.299660E-005            NaN            NaN            NaN            NaN            NaN            NaN
  1503.52        500.000        99.4772       0.522795                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.02        500.000        99.4808       0.519232                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.53        500.000        99.4823       0.517671                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.03        500.000        99.5041       0.495871                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.54        500.000        99.4710       0.529027       0.163007E-005            NaN            NaN            NaN            NaN            NaN            NaN
  1496.04        500.000        99.5009       0.459386       0.396856E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1494.55        500.000        99.4966       0.503397                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.06        500.000        99.5814       0.418582                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.56        500.000        99.4168       0.583188                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.07        500.000        99.5000       0.500007                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.57        500.000        99.5076       0.492399                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.08        500.000        99.5149       0.485083                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.59        500.000        99.5136       0.486433                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.09        500.000        99.5162       0.483782                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.60        500.000        99.5191       0.480932                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.10        500.000        99.5219       0.478060                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.61        500.000        99.5245       0.475543                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.12        500.000        99.5254       0.474557                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.62        500.000        99.5287       0.471313                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.13        500.000        99.5302       0.469849                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.63        500.000        99.5338       0.466185                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1472.14        500.000        99.5351       0.464941                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1470.64        500.000        99.5362       0.463784                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1469.15        500.000        99.5034       0.296156                 NaN  0.200479                 NaN            NaN            NaN            NaN            NaN
  1467.66        500.000        99.3978                 NaN            NaN  0.602206                 NaN            NaN            NaN            NaN            NaN
  1466.16        500.000        99.3954                 NaN            NaN  0.604564                 NaN            NaN            NaN            NaN            NaN
  1464.67        500.000        99.3935                 NaN            NaN  0.606531                 NaN            NaN            NaN            NaN            NaN
  1463.17        500.000        99.3850                 NaN            NaN  0.614994                 NaN            NaN            NaN            NaN            NaN
  1461.68        500.000        99.3818                 NaN            NaN  0.618216                 NaN            NaN            NaN            NaN            NaN
  1460.19        500.000        99.2188                 NaN            NaN  0.509330       0.271847                 NaN            NaN            NaN            NaN
