|6.6.6
Archiving\03_Data\eqfrac/QFM_m0.5/TAY13/TAY13_1.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        Sp(TH)         ilm            q             
  1589.74        2500.00        99.9995       0.490987E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.26        2500.00        99.3911       0.996958E-001  0.509159                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.78        2500.00        99.2578       0.925851E-001  0.649645                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.31        2500.00        99.2640       0.917343E-001  0.644302                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.83        2500.00        99.2582       0.921013E-001  0.649740                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.35        2500.00        99.2885       0.872669E-001  0.624199                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.87        2500.00        99.2842       0.885572E-001  0.627231                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.39        2500.00        98.7277       0.159433        1.11286                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.92        2500.00        99.8455       0.181518E-001  0.136335                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00        99.7245       0.339963E-001  0.241521                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.96        2500.00        98.9027       0.133079       0.964204                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.48        2500.00        99.3163       0.833116E-001  0.600383                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.00        2500.00        99.3182       0.814775E-001  0.600339                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.53        2500.00        99.4359       0.670432E-001  0.497088                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.05        2500.00        99.2193       0.932695E-001  0.687421                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.57        2500.00        99.3353       0.787532E-001  0.585920                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.09        2500.00        99.3281       0.792101E-001  0.592663                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.61        2500.00        99.3601       0.752636E-001  0.564596                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.14        2500.00        99.3516       0.747187E-001  0.573727                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.66        2500.00        99.3564       0.739973E-001  0.569603                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.18        2500.00        99.3616       0.737902E-001  0.564578                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.70        2500.00        99.3673       0.723314E-001  0.560325                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.22        2500.00        99.3709       0.712441E-001  0.557848                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.74        2500.00        99.3739       0.718676E-001  0.554253                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.27        2500.00        99.3856       0.689086E-001  0.545516                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.79        2500.00        99.3859       0.681101E-001  0.545962                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.31        2500.00        99.3896       0.672757E-001  0.543110                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.83        2500.00        99.3944       0.666762E-001  0.538973                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.35        2500.00        99.1739       0.706124E-001  0.755526                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.88        2500.00        99.6235       0.513739E-001  0.325164                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.40        2500.00        99.4088       0.634973E-001  0.527718                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.92        2500.00        99.4118       0.622966E-001  0.525900                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.44        2500.00        99.4164       0.612744E-001  0.522314                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.96        2500.00        99.5918       0.414034E-001  0.366793                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.49        2500.00        99.2526       0.792171E-001  0.668231                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.01        2500.00        99.4292       0.577662E-001  0.513052                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.53        2500.00        99.4332       0.583151E-001  0.508451                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.05        2500.00        99.4342       0.549374E-001  0.510904                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.57        2500.00        99.4378       0.543437E-001  0.507883                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.10        2500.00        99.4459       0.559037E-001  0.498157                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.62        2500.00        99.4112       0.593861E-001  0.529427                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.14        2500.00        99.4912       0.508752E-001  0.457966                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.66        2500.00        99.4560       0.520197E-001  0.491957                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.18        2500.00        99.4569       0.494502E-001  0.493631                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.71        2500.00        99.4625       0.495513E-001  0.487983                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.23        2500.00        99.4639       0.551113E-001  0.480941                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.75        2500.00        99.4686       0.426375E-001  0.488762                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.27        2500.00        99.4731       0.479188E-001  0.478987                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.79        2500.00        99.3313       0.569217E-001  0.611755                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.32        2500.00        99.8093       0.171246E-001  0.173584                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.84        2500.00        99.2946       0.592846E-001  0.646138                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.36        2500.00        99.4816       0.441215E-001  0.474286                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.88        2500.00        99.3695       0.491344E-001  0.581339                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.40        2500.00        99.8164       0.195122E-001  0.164080                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.93        2500.00        99.2835       0.558804E-001  0.660577                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.45        2500.00        99.4975       0.383053E-001  0.464230                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.97        2500.00        99.5004       0.394153E-001  0.460190                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.49        2500.00        99.5022       0.384650E-001  0.459340                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.01        2500.00        99.5054       0.380201E-001  0.456559                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.54        2500.00        99.5065       0.358098E-001  0.457658                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.06        2500.00        99.5103       0.354470E-001  0.454283                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.58        2500.00        99.5110       0.335578E-001  0.455455                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.10        2500.00        99.5146       0.340160E-001  0.451361                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.62        2500.00        99.5185       0.327362E-001  0.448749                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.15        2500.00        99.5171       0.310687E-001  0.451840                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.67        2500.00        99.5237       0.300154E-001  0.446302                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.19        2500.00        99.5258       0.320404E-001  0.442139                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.71        2500.00        99.5278       0.288060E-001  0.443425                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.23        2500.00        99.5281       0.271279E-001  0.444809                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.75        2500.00        99.5308       0.247138E-001  0.444512                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.28        2500.00        99.5341       0.275203E-001  0.438385                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.80        2500.00        99.5358       0.252209E-001  0.439002                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.32        2500.00        99.5361       0.229119E-001  0.440989                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.84        2500.00        99.5390       0.228050E-001  0.438152                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.36        2500.00        99.5414       0.223887E-001  0.436199                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.89        2500.00        99.5422       0.206277E-001  0.437169                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.41        2500.00        99.5454       0.204123E-001  0.434141                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.93        2500.00        99.5456       0.180294E-001  0.436325                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1474.45        2500.00        99.5498       0.295724E-001  0.420619                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1472.97        2500.00        99.5490       0.617547E-002  0.444836                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1471.50        2500.00        99.5511       0.154131E-001  0.433535                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1470.02        2500.00        99.3545       0.372714E-001  0.323860       0.284381                 NaN            NaN            NaN            NaN            NaN            NaN
  1468.54        2500.00        99.9773       0.178096E-001            NaN  0.492407E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1467.06        2500.00        98.2336       0.875885E-001  0.197394       0.270757        1.21063                 NaN            NaN            NaN            NaN            NaN
  1465.58        2500.00        99.1113       0.496119E-001  0.763380E-001  0.593646       0.169056                 NaN            NaN            NaN            NaN            NaN
  1464.11        2500.00        99.1183       0.482055E-001  0.725340E-001  0.173447       0.587502                 NaN            NaN            NaN            NaN            NaN
  1462.63        2500.00        99.1240       0.469763E-001  0.691464E-001  0.177265       0.582622                 NaN            NaN            NaN            NaN            NaN
  1461.15        2500.00        99.1305       0.458239E-001  0.663222E-001  0.577538       0.179834                 NaN            NaN            NaN            NaN            NaN
  1459.67        2500.00        99.1366       0.444263E-001  0.658444E-001  0.572917       0.180199                 NaN            NaN            NaN            NaN            NaN
  1458.19        2500.00        99.1428       0.434183E-001  0.604440E-001  0.567200       0.186181                 NaN            NaN            NaN            NaN            NaN
  1456.72        2500.00        99.1472       0.424756E-001  0.556813E-001  0.191318       0.563287                 NaN            NaN            NaN            NaN            NaN
  1455.24        2500.00        99.1543       0.411138E-001  0.565642E-001  0.558344       0.189705                 NaN            NaN            NaN            NaN            NaN
  1453.76        2500.00        99.1592       0.399330E-001  0.539843E-001  0.554246       0.192651                 NaN            NaN            NaN            NaN            NaN
  1452.28        2500.00        99.3764       0.301006E-001  0.330131E-001  0.409308       0.151182                 NaN            NaN            NaN            NaN            NaN
  1450.80        2500.00        98.9584       0.471449E-001  0.642632E-001  0.245853       0.684353                 NaN            NaN            NaN            NaN            NaN
  1449.33        2500.00        99.1757       0.365839E-001  0.470325E-001  0.199970       0.540719                 NaN            NaN            NaN            NaN            NaN
  1447.85        2500.00        99.1799       0.353853E-001  0.457429E-001  0.201833       0.537137                 NaN            NaN            NaN            NaN            NaN
  1446.37        2500.00        99.3238       0.282866E-001  0.436295E-001  0.444626       0.159656                 NaN            NaN            NaN            NaN            NaN
  1444.89        2500.00        99.0514       0.386816E-001  0.560283E-001  0.232361       0.621535                 NaN            NaN            NaN            NaN            NaN
  1443.41        2500.00        99.1958       0.321268E-001  0.417430E-001  0.525317       0.205022                 NaN            NaN            NaN            NaN            NaN
  1441.94        2500.00        99.1997       0.315429E-001  0.374347E-001  0.209531       0.521780                 NaN            NaN            NaN            NaN            NaN
  1440.46        2500.00        99.2054       0.301516E-001  0.381885E-001  0.517730       0.208528                 NaN            NaN            NaN            NaN            NaN
  1438.98        2500.00        99.2098       0.287409E-001  0.413723E-001  0.514960       0.205154                 NaN            NaN            NaN            NaN            NaN
  1437.50        2500.00        99.2143       0.278618E-001  0.391681E-001  0.511586       0.207067                 NaN            NaN            NaN            NaN            NaN
  1436.02        2500.00        99.2183       0.268782E-001  0.383572E-001  0.508577       0.207899                 NaN            NaN            NaN            NaN            NaN
  1434.55        2500.00        99.2222       0.257120E-001  0.380400E-001  0.505498       0.208504                 NaN            NaN            NaN            NaN            NaN
