|6.6.6
Archiving\03_Data\eqfrac/QFM_m0.5/TAY13/TAY13_3.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        Sp(TH)         ilm            q             
  1589.74        2500.00        99.9996       0.419702E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.26        2500.00        99.4669       0.852280E-001  0.447887                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.78        2500.00        99.3494       0.791506E-001  0.571437                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.31        2500.00        99.3551       0.783814E-001  0.566508                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.83        2500.00        99.3503       0.786683E-001  0.571076                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.35        2500.00        99.3771       0.744822E-001  0.548460                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.87        2500.00        99.3735       0.755605E-001  0.550960                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.39        2500.00        98.8864       0.135991       0.977563                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.92        2500.00        99.8649       0.154628E-001  0.119590                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00        99.7592       0.289416E-001  0.211883                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.96        2500.00        99.0404       0.113399       0.846218                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.48        2500.00        99.4026       0.709034E-001  0.526520                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.00        2500.00        99.4043       0.693290E-001  0.526323                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.53        2500.00        99.5074       0.570108E-001  0.435552                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.05        2500.00        99.3184       0.792775E-001  0.602285                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.57        2500.00        99.4200       0.668973E-001  0.513118                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.09        2500.00        99.4139       0.672550E-001  0.518829                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.61        2500.00        99.4419       0.638933E-001  0.494227                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.14        2500.00        99.4346       0.633798E-001  0.502000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.66        2500.00        99.4390       0.627415E-001  0.498215                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.18        2500.00        99.4438       0.625470E-001  0.493678                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.70        2500.00        99.4490       0.612574E-001  0.489750                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.22        2500.00        99.4521       0.603258E-001  0.487542                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.74        2500.00        99.4551       0.608349E-001  0.484018                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.27        2500.00        99.4653       0.582984E-001  0.476407                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.79        2500.00        99.4658       0.575760E-001  0.476593                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.31        2500.00        99.4692       0.568444E-001  0.473912                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.83        2500.00        99.4735       0.563139E-001  0.470180                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.35        2500.00        99.2814       0.596483E-001  0.658991                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.88        2500.00        99.6732       0.433450E-001  0.283440                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
