|6.6.6
Archiving\03_Data\eqfrac/QFM_m1.25/LAR/LAR_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          an             San(TH)        ilm            q             
  1413.46        2500.00       0.227203E-001   88.8170                 NaN   2.98769        7.55008                 NaN  0.622510                 NaN            NaN            NaN            NaN
  1412.42        2500.00       0.129955E-003   99.4972                 NaN  0.147550       0.335712                 NaN  0.193797E-001            NaN            NaN            NaN            NaN
  1411.39        2500.00       0.695064E-004   99.5042                 NaN  0.344185       0.106338                 NaN  0.451900E-001            NaN            NaN            NaN            NaN
  1410.35        2500.00       0.200783E-003   99.2197                 NaN  0.270906       0.507333                 NaN  0.188611E-002            NaN            NaN            NaN            NaN
  1409.32        2500.00       0.420706E-004   99.7671                 NaN  0.671580E-001  0.156020                 NaN  0.972239E-002            NaN            NaN            NaN            NaN
  1408.28        2500.00       0.930559E-004   99.5133                 NaN  0.323159       0.146994                 NaN  0.164731E-001            NaN            NaN            NaN            NaN
  1407.24        2500.00       0.792125E-004   99.5048                 NaN  0.148519       0.329528                 NaN  0.170567E-001            NaN            NaN            NaN            NaN
  1406.21        2500.00                 NaN   98.9628                 NaN  0.271153       0.562686                 NaN            NaN  0.203371                 NaN            NaN            NaN
  1405.17        2500.00       0.151809E-003   99.0891                 NaN  0.389189                 NaN            NaN  0.227908       0.293682                 NaN            NaN            NaN
  1404.13        2500.00       0.785419E-002   98.9496                 NaN  0.406449       0.549198E-001            NaN  0.253491       0.327717                 NaN            NaN            NaN
  1403.10        2500.00                 NaN   98.9232                 NaN  0.362375       0.203725                 NaN  0.187296       0.323403                 NaN            NaN            NaN
  1402.06        2500.00                 NaN   98.9203                 NaN  0.201667       0.362585                 NaN  0.190180       0.325261                 NaN            NaN            NaN
  1401.03        2500.00                 NaN   98.8498                 NaN  0.202956       0.393500                 NaN  0.205729       0.348033                 NaN            NaN            NaN
  1399.99        2500.00                 NaN   99.0292                 NaN  0.177847       0.327098                 NaN  0.173589       0.292283                 NaN            NaN            NaN
  1398.95        2500.00                 NaN   98.9490                 NaN  0.355471       0.188113                 NaN  0.190686       0.316681                 NaN            NaN            NaN
  1397.92        2500.00                 NaN   98.9601                 NaN  0.184485       0.352522                 NaN  0.189638       0.313299                 NaN            NaN            NaN
  1396.88        2500.00                 NaN   98.9689                 NaN  0.180024       0.350609                 NaN  0.189797       0.310717                 NaN            NaN            NaN
  1395.84        2500.00                 NaN   98.9769                 NaN  0.349029       0.175850                 NaN  0.189980       0.308284                 NaN            NaN            NaN
  1394.81        2500.00                 NaN   98.9881                 NaN  0.345354       0.172613                 NaN  0.189124       0.304817                 NaN            NaN            NaN
  1393.77        2500.00                 NaN   98.9969                 NaN  0.343150       0.168193                 NaN  0.189428       0.302337                 NaN            NaN            NaN
  1392.74        2500.00                 NaN   99.0058                 NaN  0.341121       0.164623                 NaN  0.188977       0.299518                 NaN            NaN            NaN
  1391.70        2500.00                 NaN   99.0143                 NaN  0.160986       0.338942                 NaN  0.188818       0.296942                 NaN            NaN            NaN
  1390.66        2500.00                 NaN   99.0222                 NaN  0.337083       0.157348                 NaN  0.188776       0.294543                 NaN            NaN            NaN
  1389.63        2500.00                 NaN   99.0308                 NaN  0.153021       0.335490                 NaN  0.188645       0.292088                 NaN            NaN            NaN
  1388.59        2500.00                 NaN   98.9429                 NaN  0.165184       0.366820                 NaN  0.207056       0.318018                 NaN            NaN            NaN
  1387.55        2500.00                 NaN   99.1415                 NaN  0.131951       0.298872                 NaN  0.169319       0.258351                 NaN            NaN            NaN
  1386.52        2500.00                 NaN   99.0569                 NaN  0.328173       0.143736                 NaN  0.187388       0.283838                 NaN            NaN            NaN
  1385.48        2500.00                 NaN   99.0636                 NaN  0.140172       0.327023                 NaN  0.187442       0.281797                 NaN            NaN            NaN
  1384.45        2500.00                 NaN   99.0712                 NaN  0.325164       0.136706                 NaN  0.187440       0.279455                 NaN            NaN            NaN
  1383.41        2500.00                 NaN   99.0794                 NaN  0.133515       0.323159                 NaN  0.186948       0.277020                 NaN            NaN            NaN
  1382.37        2500.00                 NaN   99.0860                 NaN  0.130521       0.321705                 NaN  0.186909       0.274916                 NaN            NaN            NaN
  1381.34        2500.00                 NaN   99.0947                 NaN  0.319409       0.127215                 NaN  0.186342       0.272290                 NaN            NaN            NaN
  1380.30        2500.00                 NaN   99.0990                 NaN  0.123594       0.319073                 NaN  0.187282       0.271041                 NaN            NaN            NaN
  1379.26        2500.00                 NaN   99.1082                 NaN  0.121828       0.316403                 NaN  0.185565       0.267996                 NaN            NaN            NaN
  1378.23        2500.00                 NaN   99.1186                 NaN  0.120038       0.312565                 NaN  0.184213       0.264561                 NaN            NaN            NaN
  1377.19        2500.00                 NaN   99.1228                 NaN  0.312281       0.116333                 NaN  0.185092       0.263457                 NaN            NaN            NaN
  1376.16        2500.00                 NaN   99.0291                 NaN  0.125505       0.346971                 NaN  0.206696       0.291747                 NaN            NaN            NaN
  1375.12        2500.00                 NaN   99.2393                 NaN  0.271616       0.979561E-001            NaN  0.162769       0.228367                 NaN            NaN            NaN
  1374.08        2500.00                 NaN   99.1439                 NaN  0.306950       0.108675                 NaN  0.183723       0.256770                 NaN            NaN            NaN
  1373.05        2500.00                 NaN   99.1506                 NaN  0.305334       0.105627                 NaN  0.183646       0.254805                 NaN            NaN            NaN
  1372.01        2500.00                 NaN   99.1568                 NaN  0.303699       0.103383                 NaN  0.183289       0.252838                 NaN            NaN            NaN
  1370.97        2500.00                 NaN   99.1632                 NaN  0.100635       0.302319                 NaN  0.183018       0.250806                 NaN            NaN            NaN
  1369.94        2500.00                 NaN   99.1696                 NaN  0.300373       0.992840E-001            NaN  0.182010       0.248697                 NaN            NaN            NaN
  1368.90        2500.00                 NaN   99.1758                 NaN  0.299504       0.931759E-001            NaN  0.184135       0.247404                 NaN            NaN            NaN
  1367.87        2500.00                 NaN   99.1835                 NaN  0.296243       0.970856E-001            NaN  0.179312       0.243842                 NaN            NaN            NaN
  1366.83        2500.00                 NaN   99.1885                 NaN  0.914507E-001  0.296188                 NaN  0.181009       0.242809                 NaN            NaN            NaN
  1365.79        2500.00                 NaN   99.1945                 NaN  0.293963       0.901406E-001            NaN  0.180439       0.240931                 NaN            NaN            NaN
  1364.76        2500.00                 NaN   99.1973                 NaN  0.293873       0.867356E-001            NaN  0.181914       0.240217                 NaN            NaN            NaN
  1363.72        2500.00                 NaN   99.2100                 NaN  0.876322E-001  0.289498                 NaN  0.177361       0.235530                 NaN            NaN            NaN
  1362.68        2500.00                 NaN   99.2083                 NaN  0.292167       0.813788E-001            NaN  0.181292       0.236880                 NaN            NaN            NaN
  1361.65        2500.00                 NaN   99.2194                 NaN  0.287511       0.855525E-001            NaN  0.175500       0.232052                 NaN            NaN            NaN
  1360.61        2500.00                 NaN   99.2231                 NaN  0.286902       0.809966E-001            NaN  0.177441       0.231548                 NaN            NaN            NaN
  1359.58        2500.00                 NaN   99.2291                 NaN  0.787492E-001  0.285483                 NaN  0.176938       0.229685                 NaN            NaN            NaN
  1358.54        2500.00                 NaN   99.2350                 NaN  0.283645       0.774291E-001            NaN  0.176166       0.227803                 NaN            NaN            NaN
  1357.50        2500.00                 NaN   99.2401                 NaN  0.282670       0.755527E-001            NaN  0.175560       0.226077                 NaN            NaN            NaN
  1356.47        2500.00                 NaN   99.2461                 NaN  0.280470       0.738508E-001            NaN  0.175198       0.224342                 NaN            NaN            NaN
  1355.43        2500.00                 NaN   99.2494                 NaN  0.697875E-001  0.281799                 NaN  0.175740       0.223305                 NaN            NaN            NaN
  1354.39        2500.00                 NaN   99.2579                 NaN  0.276558       0.741315E-001            NaN  0.171500       0.219930                 NaN            NaN            NaN
  1353.36        2500.00                 NaN   99.2617                 NaN  0.276923       0.675155E-001            NaN  0.174204       0.219618                 NaN            NaN            NaN
  1352.32        2500.00                 NaN   99.2653                 NaN  0.275289       0.699955E-001            NaN  0.171795       0.217624                 NaN            NaN            NaN
  1351.29        2500.00                 NaN   99.2727                 NaN  0.698846E-001  0.273038                 NaN  0.169288       0.215123                 NaN            NaN            NaN
  1350.25        2500.00                 NaN   99.2759                 NaN  0.659450E-001  0.273139                 NaN  0.170741       0.214272                 NaN            NaN            NaN
  1349.21        2500.00                 NaN   99.2797                 NaN  0.272053       0.659720E-001            NaN  0.169396       0.212917                 NaN            NaN            NaN
