|6.6.6
Archiving\03_Data\eqfrac/QFM_m1.25/LAR/LAR_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          an             San(TH)        ilm            q             
  1413.46        2500.00       0.150084E-001   90.4266                 NaN   2.54416        6.52076                 NaN  0.493510                 NaN            NaN            NaN            NaN
  1412.42        2500.00       0.844268E-004   99.5765                 NaN  0.123447       0.284893                 NaN  0.150924E-001            NaN            NaN            NaN            NaN
  1411.39        2500.00       0.451712E-004   99.5839                 NaN  0.291952       0.889190E-001            NaN  0.351655E-001            NaN            NaN            NaN            NaN
  1410.35        2500.00       0.130598E-003   99.3417                 NaN  0.226450       0.430234                 NaN  0.146668E-002            NaN            NaN            NaN            NaN
  1409.32        2500.00       0.273543E-004   99.8042                 NaN  0.560668E-001  0.132158                 NaN  0.754679E-002            NaN            NaN            NaN            NaN
  1408.28        2500.00       0.605673E-004   99.5907                 NaN  0.273757       0.122721                 NaN  0.127909E-001            NaN            NaN            NaN            NaN
  1407.24        2500.00       0.515659E-004   99.5838                 NaN  0.123924       0.279019                 NaN  0.132321E-001            NaN            NaN            NaN            NaN
  1406.21        2500.00                 NaN   99.0897                 NaN  0.229632       0.469547                 NaN            NaN  0.211126                 NaN            NaN            NaN
  1405.17        2500.00       0.987572E-004   99.1896                 NaN  0.329179                 NaN            NaN  0.176398       0.304681                 NaN            NaN            NaN
  1404.13        2500.00       0.510704E-002   99.0697                 NaN  0.343592       0.457356E-001            NaN  0.195993       0.339890                 NaN            NaN            NaN
  1403.10        2500.00                 NaN   99.0445                 NaN  0.306110       0.169509                 NaN  0.144573       0.335273                 NaN            NaN            NaN
  1402.06        2500.00                 NaN   99.0427                 NaN  0.167647       0.306038                 NaN  0.146584       0.337050                 NaN            NaN            NaN
  1401.03        2500.00                 NaN   98.9801                 NaN  0.168781       0.332102                 NaN  0.158538       0.360501                 NaN            NaN            NaN
  1399.99        2500.00                 NaN   99.1408                 NaN  0.147569       0.275627                 NaN  0.133394       0.302569                 NaN            NaN            NaN
  1398.95        2500.00                 NaN   99.0707                 NaN  0.299317       0.155954                 NaN  0.146334       0.327705                 NaN            NaN            NaN
