|6.6.6
Archiving\03_Data\eqfracLP/QFM/TIS/TIS_1.tab                              
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        O(HP)          Sp(TH)         an             San(TH)        ilm            q             
  1423.08        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1422.02        500.000        99.5438       0.962411E-003  0.421160       0.340599E-001            NaN            NaN            NaN            NaN            NaN
  1420.96        500.000        99.3118       0.279749       0.408433                 NaN            NaN            NaN            NaN            NaN            NaN
  1419.90        500.000        99.3131       0.281079       0.405801                 NaN            NaN            NaN            NaN            NaN            NaN
  1418.84        500.000        99.3169       0.264988       0.407590       0.104788E-001            NaN            NaN            NaN            NaN            NaN
  1417.78        500.000        99.3217       0.277237       0.401057                 NaN            NaN            NaN            NaN            NaN            NaN
  1416.72        500.000        99.3234       0.276843       0.399764                 NaN            NaN            NaN            NaN            NaN            NaN
  1415.66        500.000        99.3254       0.398566       0.276083                 NaN            NaN            NaN            NaN            NaN            NaN
  1414.60        500.000        99.3199       0.401819       0.278286                 NaN            NaN            NaN            NaN            NaN            NaN
  1413.54        500.000        99.3404       0.389626       0.270013                 NaN            NaN            NaN            NaN            NaN            NaN
  1412.48        500.000        99.3339       0.272099       0.394027                 NaN            NaN            NaN            NaN            NaN            NaN
  1411.42        500.000        99.3382       0.391386       0.270381                 NaN            NaN            NaN            NaN            NaN            NaN
  1410.36        500.000        99.3059       0.409764       0.284331                 NaN            NaN            NaN            NaN            NaN            NaN
  1409.30        500.000        99.3786       0.367566       0.253822                 NaN            NaN            NaN            NaN            NaN            NaN
  1408.24        500.000        99.3471       0.267156       0.385699                 NaN            NaN            NaN            NaN            NaN            NaN
  1407.17        500.000        99.3483       0.266615       0.385057                 NaN            NaN            NaN            NaN            NaN            NaN
  1406.11        500.000        99.3516       0.265133       0.383311                 NaN            NaN            NaN            NaN            NaN            NaN
  1405.05        500.000        99.3526       0.265059       0.382351                 NaN            NaN            NaN            NaN            NaN            NaN
  1403.99        500.000        99.3581       0.378850       0.262770                 NaN  0.318013E-003            NaN            NaN            NaN            NaN
  1402.93        500.000        99.3588       0.378687       0.262169                 NaN  0.369752E-003            NaN            NaN            NaN            NaN
  1401.87        500.000        99.3629       0.261262       0.375067                 NaN  0.785414E-003            NaN            NaN            NaN            NaN
  1400.81        500.000        99.3640       0.374668       0.260544                 NaN  0.768784E-003            NaN            NaN            NaN            NaN
  1399.75        500.000        99.9924       0.734799E-002            NaN            NaN  0.209081E-003            NaN            NaN            NaN            NaN
  1398.69        500.000        98.7445       0.743942       0.510288                 NaN  0.122676E-002            NaN            NaN            NaN            NaN
  1397.63        500.000        99.2912       0.290312       0.417718                 NaN  0.749034E-003            NaN            NaN            NaN            NaN
  1396.57        500.000        99.4549       0.321368       0.223153                 NaN  0.561645E-003            NaN            NaN            NaN            NaN
  1395.51        500.000        99.1178       0.387997       0.370978                 NaN  0.410823E-003  0.122829                 NaN            NaN            NaN
  1394.45        500.000        98.6834       0.565273       0.421057                 NaN  0.265248E-004  0.330216                 NaN            NaN            NaN
  1393.39        500.000        98.6973       0.559538       0.416731                 NaN  0.281127E-004  0.326440                 NaN            NaN            NaN
